,short_term_parking,car_park_type,y_coord,x_coord,free_parking,gantry_height,car_park_basement,night_parking,address,car_park_decks,_id,car_park_no,type_of_parking_system
0,WHOLE DAY,BASEMENT CAR PARK,31490.4942,30314.7936,NO,1.8,Y,YES,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,1,1,ACB,ELECTRONIC PARKING
1,WHOLE DAY,MULTI-STOREY CAR PARK,33695.5198,33758.4143,SUN & PH FR 7AM-10.30PM,2.1,N,YES,BLK 98A ALJUNIED CRESCENT,5,2,ACM,ELECTRONIC PARKING
2,WHOLE DAY,SURFACE CAR PARK,34500.3599,29257.7203,SUN & PH FR 7AM-10.30PM,0,N,YES,BLK 101 JALAN DUSUN,0,3,AH1,ELECTRONIC PARKING
3,7AM-7PM,SURFACE CAR PARK,39012.6664,28185.4359,NO,0,N,NO,BLOCK 253 ANG MO KIO STREET 21,0,4,AK19,COUPON PARKING
4,NO,SURFACE CAR PARK,38684.1754,29482.029,NO,0,N,NO,BLK 302/348 ANG MO KIO ST 31,0,5,AK31,COUPON PARKING
5,WHOLE DAY,SURFACE CAR PARK,39382.8134,29889.3457,NO,0,N,YES,BLOCK 513 ANG MO KIO ST 53,0,6,AK52,COUPON PARKING
6,7AM-10.30PM,SURFACE CAR PARK,39647.8906,29283.7324,SUN & PH FR 7AM-10.30PM,0,N,NO,BLOCK 728 ANG MO KIO AVE 6,0,7,AK6,COUPON PARKING
7,NO,SURFACE CAR PARK,39851.6191,31397.2241,NO,0,N,NO,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,0,8,AK83,COUPON PARKING
8,NO,SURFACE CAR PARK,40616.875,29674.8184,NO,0,N,NO,ANG MO KIO AVENUE 9,0,9,AK9,COUPON PARKING
9,WHOLE DAY,MULTI-STOREY CAR PARK,38973.9528,28777.0707,NO,2.15,N,YES,BLK 227 ANG MO KIO ST 23,6,10,AM14,ELECTRONIC PARKING
10,WHOLE DAY,MULTI-STOREY CAR PARK,39151.8344,28267.0582,SUN & PH FR 7AM-10.30PM,2.15,N,YES,BLK 256A ANG MO KIO STREET 21,2,11,AM16,ELECTRONIC PARKING
11,7AM-10.30PM,MULTI-STOREY CAR PARK,38619.9953,29257.6457,NO,2.15,N,NO,BLK 308C ANG MO KIO AVE 1,3,12,AM18,ELECTRONIC PARKING
12,WHOLE DAY,MULTI-STOREY CAR PARK,38989.9965,28134.9305,SUN & PH FR 7AM-10.30PM,2.15,N,YES,BLK 260 ANG MO KIO ST 21,6,13,AM19,ELECTRONIC PARKING
13,WHOLE DAY,MULTI-STOREY CAR PARK,38526.8611,29421.1502,SUN & PH FR 7AM-10.30PM,2.15,N,YES,BLK 309B ANG MO KIO ST 31,12,14,AM20,ELECTRONIC PARKING
14,WHOLE DAY,MULTI-STOREY CAR PARK,38514.7606,29595.2539,SUN & PH FR 7AM-10.30PM,2.15,N,YES,BLK 316B ANG MO KIO STREET 31,12,15,AM22,ELECTRONIC PARKING
15,WHOLE DAY,MULTI-STOREY CAR PARK,39172.0389,28117.7689,NO,2.15,N,YES,BLK 255A ANG MO KIO ST 21,2,16,AM32,ELECTRONIC PARKING
16,WHOLE DAY,MULTI-STOREY CAR PARK,38959.5487,30669.2379,SUN & PH FR 7AM-10.30PM,2.15,N,YES,BLK 455 ANG MO KIO ST 44,7,17,AM43,ELECTRONIC PARKING
17,WHOLE DAY,MULTI-STOREY CAR PARK,39354.0323,30234.4145,NO,2.15,N,YES,BLK 588 ANG MO KIO STREET 52,5,18,AM46,ELECTRONIC PARKING
18,WHOLE DAY,MULTI-STOREY CAR PARK,39103.7605,29489.025,SUN & PH FR 7AM-10.30PM,2.15,N,YES,BLK 700 ANG MO KIO AVE 6,12,19,AM51,ELECTRONIC PARKING
19,WHOLE DAY,MULTI-STOREY CAR PARK,39274.274,30201.236,SUN & PH FR 7AM-10.30PM,2.15,N,YES,BLK 590 ANG MO KIO ST 51,12,20,AM64,ELECTRONIC PARKING
20,WHOLE DAY,MULTI-STOREY CAR PARK,39370.6063,30004.2224,SUN & PH FR 7AM-10.30PM,2.15,N,YES,BLK 596 ANG MO KIO STREEET 52,12,21,AM79,ELECTRONIC PARKING
21,WHOLE DAY,MULTI-STOREY CAR PARK,39184.6976,28950.7223,SUN & PH FR 7AM-10.30PM,2.15,N,YES,BLK 130A ANG MO KIO ST 12,4,22,AM80,ELECTRONIC PARKING
22,WHOLE DAY,MULTI-STOREY CAR PARK,39294.4158,28960.3285,SUN & PH FR 7AM-10.30PM,2.15,N,YES,BLK 132A ANG MO KIO ST 12,4,23,AM81,ELECTRONIC PARKING
