,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,9925,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ZcNRqDuJ0ErI_nXg4AesDHGU0_lindama_sf.jpg,Lin Da Ma Lei Cha,69,ABC Brickworks Market & Food Centre,01-02,,"Mon - Sat: 7.30am-8pm, Closed on Sun",73.0,"[{'Name': 'Thunder Rice Tea', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ZcNRqDuJ0ErI_nXg4AesDHGU0_lindama_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thunder Tea Rice']
1,9926,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/ABC Brickworks Market _ Food Centre/hongsheng_sf.jpg,Hong Sheng Fish Soup,68,ABC Brickworks Market & Food Centre,01-03,,,0.0,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Spinach Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/ABC Brickworks Market _ Food Centre/hongsheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Spinach Soup']"
2,9927,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/uT5K6M388j6R_ezCThAyBy460_thebowlstory_sf.jpg,The Bowl Story,73,ABC Brickworks Market & Food Centre,01-04,,"Mon - Sat: 11.45am-8pm, Closed on Sun",0.0,"[{'Name': 'Japanese', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/uT5K6M388j6R_ezCThAyBy460_thebowlstory_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Japanese Cuisine']
3,9928,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/tdj8bYl7XrsJ_rosmuslim_sf.PNG,Ros Muslim Food Stall,68,ABC Brickworks Market & Food Centre,01-05,,"Mon - Sat: 6am-4pm, Closed on Sundays",70.0,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/tdj8bYl7XrsJ_rosmuslim_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Mee Siam', 'Mee Soto', 'Lontong', 'Nasi Lemak']"
4,9929,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/SKSeQ7lWSut5_makskitchen_sf.PNG,Mak's Kitchen,67,ABC Brickworks Market & Food Centre,01-06,,Mon - Sun: 9.30am-10pm,72.0,"[{'Name': 'Fried Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hor Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/SKSeQ7lWSut5_makskitchen_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fried Rice', 'Hor Fun']"
5,9930,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/rhCiLyovNvfI_47uBWRmeCBgN_abangbotakcorner_sf.jpg,Abang Botak Corner,68,ABC Brickworks Market & Food Centre,01-01/07,,"Mon - Sat: 9am-9pm, Closed on Sun",78.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rhCiLyovNvfI_47uBWRmeCBgN_abangbotakcorner_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chicken Rice & Noodles', 'Satay']"
6,9931,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/TOEXogZys1sb_opy0Wrcr90qj_habibspower_sf.jpg,Habib's Power Mee Stall,65,ABC Brickworks Market & Food Centre,01-08,,Mon - Sun: 6am-9.30pm,68.0,"[{'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/TOEXogZys1sb_opy0Wrcr90qj_habibspower_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mutton Soup (Indian)', 'Mee Goreng', 'Nasi Goreng', 'Roti John', 'Indian Rojak', 'Murtabak']"
7,9932,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Cv87CqM0TENj_oUDCADiKDMS1_mjcafecorner_sf.J%20Cafe%20Corner%2009.jpg,M.J Cafe Corner,0,ABC Brickworks Market & Food Centre,01-09,,Mon - Sun: 6am-9pm,74.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Cv87CqM0TENj_oUDCADiKDMS1_mjcafecorner_sf.J%2520Cafe%2520Corner%252009.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
8,9933,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/OFM5DvrOj1ek_WC9PKIYcZlXa_yrarasoolfatimah_sf.jpg,Y.R.A Rasool Fatimah,82,ABC Brickworks Market & Food Centre,01-10,,"Fri - Wed: 7am-9pm, Closed on Thu",77.0,"[{'Name': 'Mee Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Tulang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/OFM5DvrOj1ek_WC9PKIYcZlXa_yrarasoolfatimah_sf.R.A%2520Rasool%2520Fatimah%252010.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Goreng', 'Tulang', 'Nasi Goreng', 'Mutton Soup (Indian)']"
9,9934,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201124/ETDvCZHZbzZS_HP Maskhead2-02.jpg,Mohd Zaid Kueh,73,ABC Brickworks Market & Food Centre,01-11,,Mon - Sun: 5am-6pm,67.0,"[{'Name': 'Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201124/ETDvCZHZbzZS_HP%20Maskhead2-02.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Kueh']
