,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6218,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/WiqWR2IzNJLP_mings_sf.jpg,Ming's Prawn Noodle,87,Alexandra Village Food Centre,01-01,,"Thu - Tue: 7am-3pm, Closed on Wed",74.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/WiqWR2IzNJLP_mings_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
1,6219,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/P7EdvST890V2_hocksinkee_sf.jpg,Hock Sin Kee Tze Char,69,Alexandra Village Food Centre,01-02,,Mon - Sun: 10am-9pm,0.0,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/P7EdvST890V2_hocksinkee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Zi Char']
2,6220,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Alexandra Village Food Centre/staryongkwang_sf.jpg,Star Yong Kwang BBQ Seafood,77,Alexandra Village Food Centre,01-03/04/08,,Mon - Sun: 4pm-11pm,0.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Alexandra Village Food Centre/staryongkwang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Alexandra Village Food Centre/staryongkwang_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['BBQ Seafood']
3,6221,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/a6BaDNtI693w_dangerclose_sf.jpg,Danger Close Beverage Company,0,Alexandra Village Food Centre,01-05,,"Tue - Sun: 12pm-2.30pm, 5pm-9.30pm, Closed on Mon",0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/a6BaDNtI693w_dangerclose_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
4,6222,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/za5rY9PUshLP_healthyfoodjuices_sf.jpg,Healthy Food Juices,0,Alexandra Village Food Centre,01-06,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/za5rY9PUshLP_healthyfoodjuices_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
5,6223,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/gpTESj3Ae7lJ_wuweixiang_sf.jpg,Wu Wei Xiang Economic Veg Rice Porridge,73,Alexandra Village Food Centre,01-07,,"Tue - Sun: 11.30am-2pm, 5pm-8.30pm, Closed on Mon",0.0,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/gpTESj3Ae7lJ_wuweixiang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Economy Rice']
6,6225,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/Baka9umgPczH_doverroadkaikee_sf.jpg,Dover Road Kai Kee Wanton Noodle,81,Alexandra Village Food Centre,01-09,,Mon - Sun: 6am-5pm,79.0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/Baka9umgPczH_doverroadkaikee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210618/OTyQcLeNCEdt_Screenshot%202021-06-18%20at%205.52.17%20PM.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210618/ZaGnVPqOfYPO_Screenshot%202021-06-18%20at%205.52.31%20PM.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210618/ULhUBEBTNwL2_Screenshot%202021-06-18%20at%205.52.24%20PM.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
7,6226,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/EqYveZHDdIei_tiongbahrulienfa_sf.jpg,Tiong Bahru Lien Fa Shui Jing Pau,72,Alexandra Village Food Centre,01-10,,"Tue - Sat: 8.30am-9pm, Closed on Mon & Sun",0.0,"[{'Name': 'Pau', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/EqYveZHDdIei_tiongbahrulienfa_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dim Sum']
8,6227,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/DfH5K5WjqVgu_fengsheng_sf.jpg,Feng Sheng Alexandra Village Avocado,0,Alexandra Village Food Centre,01-11,,Mon - Sun: 10am-8.30pm,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/DfH5K5WjqVgu_fengsheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
9,6228,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/9f6OgmVA2Ysq_106nasilemak_sf.jpg,106 Nasi Lemak,74,Alexandra Village Food Centre,01-12,,"Mon - Sat: 10am-7pm, Closed on Sun",0.0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/9f6OgmVA2Ysq_106nasilemak_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak']
