,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,11952,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/zY7XjLng6I6k_yunosnfamily_sf.jpg,Yunos N Family,68,Ang Mo Kio Ave 6 Blk 724,01-01,,"Mon - Sat: 11am-9.30pm, Closed on Sun",72.5,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/zY7XjLng6I6k_yunosnfamily_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Satay', 'Mee Rebus']"
1,11953,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ydQg2MSFPoUN_ummusalmah_sf.jpg,Ummu Salmah Muslim Food,68,Ang Mo Kio Ave 6 Blk 724,01-02,,,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ydQg2MSFPoUN_ummusalmah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Indian Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Indian Rojak', 'Mee Goreng']"
2,11954,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/fquSC60p885a_topfresh_sf.jpg,Top Fresh The Original Fresh Fruits Maker,0,Ang Mo Kio Ave 6 Blk 724,01-03,,Mon - Sun: 8am-8pm,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/fquSC60p885a_topfresh_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
3,11955,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 724 Ang Mo Kio Ave 6 - 45 stalls/alzamirarestaurant_sf.jpg,Al Zamira Restaurant,65,Ang Mo Kio Ave 6 Blk 724,01-04,,"Mon - Sat: 11am-9.30pm, Closed on Sun",0.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 724 Ang Mo Kio Ave 6 - 45 stalls/alzamirarestaurant_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Fish Head Curry', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Fish Head Curry', 'Biryani']"
4,11956,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 724 Ang Mo Kio Ave 6 - 45 stalls/houseofdesserts_sf.jpg,House of Desserts,67,Ang Mo Kio Ave 6 Blk 724,01-05,,Mon - Sun: 8am-10pm,0.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 724 Ang Mo Kio Ave 6 - 45 stalls/houseofdesserts_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Dessert']
5,11957,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/WvSYuc8hPzdC_happygarden_sf.jpg,Happy Garden,70,Ang Mo Kio Ave 6 Blk 724,01-06,,Mon - Sun: 6am-3pm,70.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/WvSYuc8hPzdC_happygarden_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Prawn Noodles', 'Lor Mee']"
6,11958,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/f90bPP5FaxMp_sugarcanesoyabean_sf.jpg,AMK Sugar Cane Juice & Soya Bean Drink,0,Ang Mo Kio Ave 6 Blk 724,01-07,,,72.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/f90bPP5FaxMp_sugarcanesoyabean_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages']
7,11959,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/9EcLp61viuu8_vincent_sf.jpg,Vincent Western Food,74,Ang Mo Kio Ave 6 Blk 724,01-08,,,78.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/9EcLp61viuu8_vincent_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Western Cuisine']
8,11960,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/NiRlmsW2IpFA_limhaisheng_sf.jpg,Lim Hai Sheng Cooked Food,80,Ang Mo Kio Ave 6 Blk 724,01-09,,Mon - Sun: 8am-10pm,69.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/NiRlmsW2IpFA_limhaisheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Carrot Cake']
9,11961,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/tuuX1wN7z6ip_leongleong_sf.jpg,Leong Leong Sugar Cane Juice,0,Ang Mo Kio Ave 6 Blk 724,01-10,,,75.2,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/tuuX1wN7z6ip_leongleong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages']
