,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8229,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/hockkee_sf.jpg,Hock Kee Drinks,0,Circuit Road Blk 80,02-01,,Mon - Sun: 6am-1pm,74,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/hockkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
1,8230,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/hQcWWeKZK5PH_tuckbee_sf.jpg,Tuck Bee Cooked Food,71,Circuit Road Blk 80,02-02,,Mon - Sun: 6am-1.30pm,77,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/hQcWWeKZK5PH_tuckbee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
2,8231,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/xiangyuanyu_sf.jpg,Xiang Yuan Vegetarian Food,72,Circuit Road Blk 80,02-03,,,67,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/xiangyuanyu_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Vegetarian']
3,8232,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/wgnANG7ItLHy_taiseer_sf.jpg,Taiseer,68,Circuit Road Blk 80,02-04,,,70,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/wgnANG7ItLHy_taiseer_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Malay Cuisine']"
4,8233,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/s9CASZpd4GEV_misterrempeyek_sf.jpg,Mister Rempeyek,67,Circuit Road Blk 80,02-05,,,0,"[{'Name': 'Epok Epok', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/s9CASZpd4GEV_misterrempeyek_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Epok Epok']
5,8234,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/leongkee_sf.jpg,Leong Kee Noodle,68,Circuit Road Blk 80,02-06,,,72,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/leongkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Wanton Mee']
6,8235,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/charkwayteow_sf.jpg,Char Kway Teow Stall,72,Circuit Road Blk 80,02-07,,,0,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/charkwayteow_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Char Kway Teow', 'Carrot Cake']"
7,8236,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/tianxiang_sf.jpg,Tian Xiang Nasi Lemak Fried Mee Hoon,72,Circuit Road Blk 80,02-08,,,80,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fried Mee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/tianxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Economy Bee Hoon']"
8,8237,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/mvR8E9w4zNv9_linmingji_sf.jpg,Lin Ming Ji Niang Dou Fu,70,Circuit Road Blk 80,02-09,,Mon - Sun: 8am-1pm,72,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/mvR8E9w4zNv9_linmingji_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Yong Tau Foo']
9,8238,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/bxxbtSbAMX7b_number10noodlehouse_sf.jpg,Number 10 Noodle House,68,Circuit Road Blk 80,02-10,,,80,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/bxxbtSbAMX7b_number10noodlehouse_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Bak Chor Mee']"
10,8239,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/vWBl8hMovB1u_huphengcafe_sf.jpg,Hup Heng Cafe,0,Circuit Road Blk 80,02-11,,Mon - Sun: 5am-3pm,72,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/vWBl8hMovB1u_huphengcafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
11,8240,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/lengheng_sf.jpg,Leng Heng Hot Cold Drink,0,Circuit Road Blk 80,02-12,,,70,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/lengheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
12,8241,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/FlCmwrCeA6k3_yuan_sf.jpg,Yuan Noodle Soup Porridge,73,Circuit Road Blk 80,02-13,,,81,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/FlCmwrCeA6k3_yuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge']
13,8242,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/huphup_sf.jpg,Hup Hup,66,Circuit Road Blk 80,02-14,,Mon - Sun: 6am-2pm,74,"[{'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 80 Circuit Road -16 stalls/huphup_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Mee Siam', 'Laksa']"
14,8243,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/DGYb0ggZC4g7_xinxiang_sf.jpg,Xin Xiang Nasi Lemak,68,Circuit Road Blk 80,02-15,,,0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/DGYb0ggZC4g7_xinxiang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Economy Bee Hoon']"
