,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8085,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/yowwCfTkZ5T0_K09Uav6dJs4q_arifinali_m1.JPG,Arifin Ali Indian Muslim Food,72,Clementi West Street 2 Blk 726,01-176,,Mon - Sun: 6am-Midnight,67,"[{'Name': 'Indian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/yowwCfTkZ5T0_K09Uav6dJs4q_arifinali_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Indian']
1,8086,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/AvcarsC6KJFZ_bhCq5DUIPlg8_puterisberlian_m1.JPG,Puteri's Berlian,70,Clementi West Street 2 Blk 726,01-177,,Mon - Sun: 8am-6pm,70,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/AvcarsC6KJFZ_bhCq5DUIPlg8_puterisberlian_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Nasi Lemak']"
2,8087,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/1esACbTsniqi_aanifood_sf.JPG,Aani Food Stall,73,Clementi West Street 2 Blk 726,01-178,,,0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/1esACbTsniqi_aanifood_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Malay Cuisine']"
3,8088,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/soonsoon_m1.JPG,Soon Soon Cold / Hot Drinks,0,Clementi West Street 2 Blk 726,01-179,,Mon - Sun: 9am-9pm,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/soonsoon_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
4,8089,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/bedok511bbqchickenwing_m1.JPG,Bedok 5  BBQ Chicken Wing,72,Clementi West Street 2 Blk 726,01-180,,,85,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'BBQ Chicken', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/bedok511bbqchickenwing_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Carrot Cake', 'BBQ Chicken']"
5,8090,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/meifengshaola_m1.JPG,Mei Feng Shao La Ji Fan,70,Clementi West Street 2 Blk 726,01-181 / 185,,Mon - Sun: 10am-8pm,70,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/meifengshaola_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Char Siew Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Chicken Rice & Noodles']
6,8091,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/R7neZsQvc0zU_Bye75bXob0n8_huphengnoodlehouse_m1.JPG,Hup Heng Noodle House,69,Clementi West Street 2 Blk 726,01-182,,"Tue - Sun: 9am-1.30pm, 5pm-10pm, Closed on Mon",72,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Popiah', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/R7neZsQvc0zU_Bye75bXob0n8_huphengnoodlehouse_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Wanton Mee', 'Popiah']"
7,8092,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Zn5LBJXuN8Ye_I5glkb0wkd1G_bluedragonfly_m1.JPG,Blue Dragonfly Minced Meat Noodle,68,Clementi West Street 2 Blk 726,01-183,,,0,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Zn5LBJXuN8Ye_I5glkb0wkd1G_bluedragonfly_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Bak Chor Mee']"
8,8093,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/soonlee_m1.JPG,Soon Lee Fishball Noodle,69,Clementi West Street 2 Blk 726,01-184,,Mon - Sun: 9am-11pm,72,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/soonlee_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Bak Chor Mee']"
9,8095,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/hainanesecurryrice_m1.JPG,Hainanese Curry Rice,72,Clementi West Street 2 Blk 726,01-166,,,81,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/hainanesecurryrice_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Curry']
