,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,5507,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/yf90UZexUxgK_cendol_sf.jpg,Cendol Geylang Serai,71,Geylang Serai Market,02-107,,"Mon: 9.30am-3pm, Tue - Sun: 9.30am-5pm",0,"[{'Name': 'Chendol', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/yf90UZexUxgK_cendol_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chendol', 'Beverages']"
1,5508,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/hgXmixze5tOw_sajianmakdara_sf.jpg,Sajian Mak-Dara Nasi Lemak Bubur Kampung,68,Geylang Serai Market,02-108,,Mon - Sun: 5am-4pm,72,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/hgXmixze5tOw_sajianmakdara_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak']
2,5509,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/oC8971pbZTR9_doriginalebumbu_sf.jpg,D' Originale Bumbu,68,Geylang Serai Market,02-109,,Mon - Sun: 8am-4pm,0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Ambeng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/oC8971pbZTR9_doriginalebumbu_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Indonesian Cuisine']"
3,5510,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/Ts1eRvkDicgD_takdenama_sf.jpg,Takdenama,68,Geylang Serai Market,02-110,,Mon - Sun: 10am-6pm,0,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/Ts1eRvkDicgD_takdenama_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Chicken Rice & Noodles']"
4,5511,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/AlrmJw87pWO0_muhamad_sf.jpg,Muhamad Cafe Hot & Cold Drinks,0,Geylang Serai Market,02-111,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/AlrmJw87pWO0_muhamad_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
5,5512,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/jxSU85AjYWEw_warongkeluarga_sf.jpg,Warong Keluarga,68,Geylang Serai Market,02-112,,Mon - Sun: 7am-4.30pm,0,"[{'Name': 'Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Min Jiang Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/jxSU85AjYWEw_warongkeluarga_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Kueh', 'Min Jiang Kueh']"
6,5513,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/kYPMlfolNJfR_fhoulmadinahistimewa_sf.jpg,Fhoul Madinah Istimewa,71,Geylang Serai Market,02-114,,"Tue - Sun: 8am-1pm, Closed on Mon",77,"[{'Name': 'Kacang Phool', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Shashuka', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/kYPMlfolNJfR_fhoulmadinahistimewa_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Malay Cuisine', 'Western Cuisine']"
7,5514,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/34nEqRIa4H9F_cafecorner_sf.jpg,Cafe Corner,0,Geylang Serai Market,02-115,,Mon - Sun: 10am-10pm,69,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/34nEqRIa4H9F_cafecorner_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
8,5515,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/aBSh5kFrBVlU_kafetropika_sf.jpg,Kafe Tropika,0,Geylang Serai Market,02-116,,Mon - Sun: 7am-6pm,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/aBSh5kFrBVlU_kafetropika_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
9,5516,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ctWq78gd0dxH_biryaniexpress_sf.jpg,Biryani Express Singapore,80,Geylang Serai Market,02-119,,"Tue - Sun: 8.30am-11pm, Closed on Mon",0,"[{'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ctWq78gd0dxH_biryaniexpress_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Biryani']
