,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8877,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/6xSom0eMURLo_pEMiLpMGktTS_guangli_sf.jpg,Guang Li Wanton Noodle,69,Havelock Road Blks 22A/B ,01-01,,,0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/6xSom0eMURLo_pEMiLpMGktTS_guangli_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
1,8878,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/neKjqlCGmLMo_dRdHUUZjxdEo_ahkhoo_sf.jpg,Ah Khoo Hot & Cold Drink,0,Havelock Road Blks 22A/B ,01-02,,,66,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/neKjqlCGmLMo_dRdHUUZjxdEo_ahkhoo_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
2,8879,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/soonheng_sf.jpg,Soon Heng Hong Kong Style,72,Havelock Road Blks 22A/B ,01-03,,,75,"[{'Name': 'Roast Meat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/soonheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
3,8880,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/havelock_sf.jpg,Havelock Turtle Soup,72,Havelock Road Blks 22A/B ,01-04,,"Mon - Sat: 9.30am-3pm, Closed on Sun",77,"[{'Name': 'Turtle Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Frog Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/havelock_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Turtle Soup', 'Frog Leg']"
4,8881,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/fAZ05jdP9QOn_uME0q5slqkhc_coventgardenkwaychap_sf.jpg,Covent Garden Kway Chap,73,Havelock Road Blks 22A/B ,01-05,,Mon - Sun: 6am-1am,67,"[{'Name': 'Kway Chap', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/fAZ05jdP9QOn_uME0q5slqkhc_coventgardenkwaychap_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Kway Chap']
5,8882,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/NbzGjISWuI3O_4idGEgpf36Re_khinkee_sf.jpg,Khin Kee Fishball Kway Teow,71,Havelock Road Blks 22A/B ,01-06,,"Wed - Sun: 8am-5pm, Closed on Mon & Tue",70,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/NbzGjISWuI3O_4idGEgpf36Re_khinkee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
6,8883,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/mengkee_sf.jpg,Meng Kee Fried Kway Teow,82,Havelock Road Blks 22A/B ,01-07,,"Mon - Sat: 9am-6pm, Closed on Sun",0,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/mengkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Char Kway Teow']
7,8884,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/guangfa_sf.jpg,Guang Fa Laksa,76,Havelock Road Blks 22A/B ,01-08,,"Mon, Tue, Thu - Sat: 7am-1.30pm, Closed on Wed & Sun",66,"[{'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/guangfa_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Laksa']
8,8885,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/oIojmsO2Ee8B_7gCnpZg02Uk2_rongfa_sf.jpg,Rong Fa Chng Tng,69,Havelock Road Blks 22A/B ,01-09,,,0,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/oIojmsO2Ee8B_7gCnpZg02Uk2_rongfa_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dessert']
9,8886,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/dudu_sf.jpg,Du Du Cooked Food,69,Havelock Road Blks 22A/B ,01-10,,,80,"[{'Name': 'Tu Tu Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/dudu_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dessert']
10,8887,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/qzzZH5Omfjbr_5UvLK6wNmgjq_ivansporridge_sf.jpg,Ivan's Porridge,67,Havelock Road Blks 22A/B ,01-11,,"Tue - Sun: 7am-1pm, Closed on Mon",72,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/qzzZH5Omfjbr_5UvLK6wNmgjq_ivansporridge_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge']
11,8888,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/zhen_sf.jpg,Zhen Nasi Lemak,69,Havelock Road Blks 22A/B ,01-12,,,0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/zhen_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Nasi Lemak']
12,8889,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/WEpdSUFzhuU9_zMRXedZKWwC0_siamsquaremookata_sf.jpg,Siam Square Mookata,71,Havelock Road Blks 22A/B ,01-14,,,72,"[{'Name': 'Thai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/WEpdSUFzhuU9_zMRXedZKWwC0_siamsquaremookata_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thai']
13,8890,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/dsWFop2pcGn6_gCDFlbPgLrhy_yumeimeishi_sf.jpg,Yu Mei Mei Shi,73,Havelock Road Blks 22A/B ,01-15,,Mon - Sat: 9am-3pm,70,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Seafood Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/dsWFop2pcGn6_gCDFlbPgLrhy_yumeimeishi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Seafood Soup']"
14,8891,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/WzKEBcxV831E_4lySumhnlsjQ_shenghua_sf.jpg,Sheng Hua Hot & Cold Beverage,0,Havelock Road Blks 22A/B ,01-16,,,81,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/WzKEBcxV831E_4lySumhnlsjQ_shenghua_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
