,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7326,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/t0t0onAbUdJG_SD2c5Fmqxtei_jili_m1.JPG,Ji Li,70,Holland Drive Blk 44 ,02-34,,,0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/t0t0onAbUdJG_SD2c5Fmqxtei_jili_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Lor Mee']"
1,7327,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/rduupbx8Q5Tz_TLPy0rYgC8Sw_xianyiwan_m1.JPG,Xian Yi Wan,72,Holland Drive Blk 44 ,02-35,,"Tue - Sat: 8.30am-2.30pm, Closed on Sun & Mon",69,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rduupbx8Q5Tz_TLPy0rYgC8Sw_xianyiwan_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/dMUqg4f6lbGe_xianyiwan_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fish Soup']
2,7328,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ZTwmL4YM6c7k_rvJmZPIynf0i_leongwei_sf.JPG,Leong Wei Roasted Delight,71,Holland Drive Blk 44 ,02-36,,"Fri - Wed: 11am-7pm, Closed on Thu",0,"[{'Name': 'Roast Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Roast Meat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ZTwmL4YM6c7k_rvJmZPIynf0i_leongwei_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
3,7329,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/gB1PkpxOHBdI_uwjPndSspG7V_fifty_m2.JPG,Fifty Yong Tau Fu,73,Holland Drive Blk 44 ,02-37,,,77,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/gB1PkpxOHBdI_uwjPndSspG7V_fifty_m2.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/PGxPToroMZcd_f14vXiIlIrzN_fifty_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210319/91Itt1L0C5vW_Fifty%20Yong%20Tau%20Fu%20-%20menu%201%20%40%20Holland%20Drive%20Blk%2044.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Yong Tau Foo']
4,7330,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 44 Holland Drive/freshfruitjuice_m1.JPG,Fresh Fruit Juice,0,Holland Drive Blk 44 ,02-38,,,67,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 44 Holland Drive/freshfruitjuice_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
5,7331,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 44 Holland Drive/teckkee_m1.JPG,Teck Kee Hainanese Chicken Rice,66,Holland Drive Blk 44 ,02-39,,,70,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 44 Holland Drive/teckkee_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
6,7332,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/QxbNRPHCDsl8_yvf2UwVR3GZ2_greenhealthyvegetarian_m1.JPG,Green Healthy Vegetarian,66,Holland Drive Blk 44 ,02-40,,Mon - Sun: 6.30am-4pm,0,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/QxbNRPHCDsl8_yvf2UwVR3GZ2_greenhealthyvegetarian_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian']
7,7333,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Jd3kroPt9t8Q_lftWDf6EaLyy_congeehouse_m2.JPG,Congee House,74,Holland Drive Blk 44 ,02-41,,Mon - Sun: 6.30am-1pm,0,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Jd3kroPt9t8Q_lftWDf6EaLyy_congeehouse_m2.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge']
8,7334,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/fMcGbNpjHNil_RtRwitynDQt9_onglai_m1.JPG,Ong Lai Economic Rice Sweet Potato Porridge Fried Bee Hoon,66,Holland Drive Blk 44 ,02-42,,,0,"[{'Name': 'Kolo Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Pok', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/fMcGbNpjHNil_RtRwitynDQt9_onglai_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Kolo Mee', 'Fishball Noodles']"
9,7335,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/O8Dqvx5phtbI_LGF62fHaVa18_laochenji_m2.JPG,Lao Chen Ji,70,Holland Drive Blk 44 ,02-43,,"Sat - Thu: 7am-4pm, Closed on Fri",80,"[{'Name': 'Kolo Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Pok', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/O8Dqvx5phtbI_LGF62fHaVa18_laochenji_m2.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rR1IT55Bfxct_wTYVaEEhCbr7_laochenji_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/DwjPzrNTvzDq_laochenji_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Kolo Mee', 'Fishball Noodles']"
