,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6366,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 112 Jalan Bukit Merah/kimkee_sf.jpg,Kim Kee Vegetarian Food,69,Jalan Bukit Merah Blk 112,01-01,,,68,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 112 Jalan Bukit Merah/kimkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Vegetarian']
1,6367,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/GOA0U4DBXFHW_W3PawCcVItvg_laoding_sf.jpg,Lao Ding Mei Shi,68,Jalan Bukit Merah Blk 112,01-02,,,74,"[{'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/GOA0U4DBXFHW_W3PawCcVItvg_laoding_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chee Cheong Fun', 'Chwee Kueh']"
2,6368,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ZCfB9fQX1Ps5_clE43XRjN6IW_easterncoffeeshop_sf.jpg,Eastern Coffee Shop,0,Jalan Bukit Merah Blk 112,01-03,,,77,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ZCfB9fQX1Ps5_clE43XRjN6IW_easterncoffeeshop_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
3,6369,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 112 Jalan Bukit Merah/guangfa_sf.jpg,Guang Fa Mixed Vegetable Rice,73,Jalan Bukit Merah Blk 112,01-04,,,67,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 112 Jalan Bukit Merah/guangfa_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Economy Rice']
4,6370,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/dCyoaYInOG32_oxuSj1EYhhwc_limlengreyinpin_sf.jpg,Lim Leng Re Yin Pin Xiao Shi Tang,0,Jalan Bukit Merah Blk 112,01-06,,,70,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/dCyoaYInOG32_oxuSj1EYhhwc_limlengreyinpin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
5,6371,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 112 Jalan Bukit Merah/ricegarden_sf.jpg,Rice Garden,72,Jalan Bukit Merah Blk 112,01-07,,,0,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 112 Jalan Bukit Merah/ricegarden_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Economy Rice']
6,6372,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/YhWltHCHm1GK_SRBSXxs6CkD0_hongyongcoffee_sf.jpg,Hong Yong Coffee Stall,0,Jalan Bukit Merah Blk 112,01-08,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/YhWltHCHm1GK_SRBSXxs6CkD0_hongyongcoffee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
7,6373,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/s2BLmkiuU96Q_WbOsEjKPux6J_hongyongchaozhou_sf.jpg,Hong Yong Chao Zhou Yu Yuan Guo Tiao Mian,71,Jalan Bukit Merah Blk 112,01-09,,,0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/s2BLmkiuU96Q_WbOsEjKPux6J_hongyongchaozhou_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
8,6374,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/YuidGLdsbRRf_F5dtCJaqsEIO_ahbao_sf.jpg,Ah Bao Mei Shi,71,Jalan Bukit Merah Blk 112,01-10,,,80,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hor Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/YuidGLdsbRRf_F5dtCJaqsEIO_ahbao_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Hor Fun']"
9,6375,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/vHJKSmazxoUQ_0mIoN4XaWwLA_lujiang_sf.jpg,Lu Jiang,69,Jalan Bukit Merah Blk 112,01-11,,,72,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/vHJKSmazxoUQ_0mIoN4XaWwLA_lujiang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Soya Bean']
10,6376,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/9Ha9bm2DaAtF_Nm80SlbFFgOz_chinastreet_sf.jpg,China Street Mei Shi,72,Jalan Bukit Merah Blk 112,01-12,,,0,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/9Ha9bm2DaAtF_Nm80SlbFFgOz_chinastreet_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Char Kway Teow']"
