,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6298,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/BU939gdw0ebZ_pdLEq5c6NBEL_ichicks_sf.jpg,Ichicks,67,Jalan Kukoh Blk 1,01-02,,,70,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/BU939gdw0ebZ_pdLEq5c6NBEL_ichicks_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine']
1,6299,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/rcBg6RNxbA2s_X4WFYVWcpS0M_adelinecafe_sf.jpg,Adeline Cafe,0,Jalan Kukoh Blk 1,01-03,,Mon - Sun: 6.30am-11pm,81,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rcBg6RNxbA2s_X4WFYVWcpS0M_adelinecafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
2,6300,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/T9ftA62zUssV_8RQSsRZTOIAd_traditionalhandmadepau_sf.jpg,Traditional Handmade Pau Tim,67,Jalan Kukoh Blk 1,01-04,,,74,"[{'Name': 'Dim Sum', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/T9ftA62zUssV_8RQSsRZTOIAd_traditionalhandmadepau_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dim Sum']
3,6301,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/iEREtdQL9kUB_Ne3sRwVbBYqw_yuguang_sf.jpg,Yu Guang Cooked Food,66,Jalan Kukoh Blk 1,01-05,,,0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/iEREtdQL9kUB_Ne3sRwVbBYqw_yuguang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']"
4,6302,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/1m8M1LWYT6LW_yZy2aXRiWitM_warunghan_sf.jpg,Warung Han Nasi Padang,68,Jalan Kukoh Blk 1,01-06,,,0,"[{'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/1m8M1LWYT6LW_yZy2aXRiWitM_warunghan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Siam', 'Lontong']"
5,6303,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/KEDMUdPUl51m_PifU863cyhdp_coffeehouse_sf.jpg,Coffee House,0,Jalan Kukoh Blk 1,01-08,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/KEDMUdPUl51m_PifU863cyhdp_coffeehouse_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
6,6304,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/4x88ceDb9Xvi_lqOh64ICL9Br_traditionalhainanesecurryrice_sf.jpg,Traditional Hainanese Curry Rice,71,Jalan Kukoh Blk 1,01-09,,,0,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/4x88ceDb9Xvi_lqOh64ICL9Br_traditionalhainanesecurryrice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Curry']
7,6305,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 1 Jalan Kukoh/hengheng_sf.jpg,Heng Heng Mixed Veg Rice,73,Jalan Kukoh Blk 1,01-10,,,0,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 1 Jalan Kukoh/hengheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Economy Rice']
8,6306,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/m6bc5c9r9sxF_2TmdiRBgTSKy_teochewpigsorganssoup_sf.jpg,Teochew Pig's Organs Soup,70,Jalan Kukoh Blk 1,01-11,,"Mon - Sat: 10.15am-9pm, Closed on Sun",0,"[{'Name': 'Pork Organ Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/m6bc5c9r9sxF_2TmdiRBgTSKy_teochewpigsorganssoup_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Pork Organ Soup']
9,6307,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/a1D6bFNeqp2x_WYLER0pEjSWZ_mariaqiheng_sf.jpg,Maria Qi Heng Coffee,0,Jalan Kukoh Blk 1,01-12,,,72,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/a1D6bFNeqp2x_WYLER0pEjSWZ_mariaqiheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
10,6308,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 1 Jalan Kukoh/porridge_sf.jpg,Jalan Kukoh Porridge,65,Jalan Kukoh Blk 1,01-13,,Mon - Sun: 5.30am-1pm,66,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 1 Jalan Kukoh/porridge_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Porridge']
11,6309,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Xvt0b0b9gC6J_AN5soMdEZCoB_bedok69traditionalwantonnoodle_sf.jpg,Bedok 69 Traditional Wanton Noodle,72,Jalan Kukoh Blk 1,01-14,,,75,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Xvt0b0b9gC6J_AN5soMdEZCoB_bedok69traditionalwantonnoodle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
12,6310,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 1 Jalan Kukoh/teochewfishporridge_sf.jpg,TeoChew Fish Porridge,73,Jalan Kukoh Blk 1,01-15,,Mon - Sun: 10am-3pm,81,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 1 Jalan Kukoh/teochewfishporridge_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Porridge', 'Fish Soup']"
13,6311,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ZKeqf0Aio9uY_uTvUkJcalg9a_coffeearoma_sf.jpg,Coffee Aroma,0,Jalan Kukoh Blk 1,01-17,,Mon - Sun: 7am-9pm,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ZKeqf0Aio9uY_uTvUkJcalg9a_coffeearoma_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
14,6312,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/pexnZAj4af7i_UrzkUBsjdJLu_kejia_sf.jpg,Ke Jia Niang Dou Fu,76,Jalan Kukoh Blk 1,01-18,,Mon - Sun: 7am-12pm,0,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/pexnZAj4af7i_UrzkUBsjdJLu_kejia_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Yong Tau Foo']
15,6313,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 1 Jalan Kukoh/teochewkueh_sf.jpg,Jalan Kukoh Teochew Kueh,66,Jalan Kukoh Blk 1,01-19,,"Tue: 5.30pm-7pm, Wed - Sat: 7am-9am, 5.30pm-7pm, Closed on Mon & Sun",80,"[{'Name': 'Teochew Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 1 Jalan Kukoh/teochewkueh_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 1 Jalan Kukoh/teochewkueh_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Teochew Kueh', 'Carrot Cake']"
