,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,5655,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/2iji56Cxy5Ns_EcoQKlZMVMrb_albismi_sf.jpg,Al Bismi Teh Halla,0,Market Street Food Centre,01-01,,,77.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/2iji56Cxy5Ns_EcoQKlZMVMrb_albismi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
1,5656,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/8GMd9y3Hyvuj_d8SWHY8w0Plx_goldennur_sf.jpg,Golden Nur,68,Market Street Food Centre,01-02,,,0.0,"[{'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/8GMd9y3Hyvuj_d8SWHY8w0Plx_goldennur_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Malay Cuisine', 'Mee Rebus']"
2,5657,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/goldennurspecial_sf.jpg,Golden Nur Nasi Biryani Special,72,Market Street Food Centre,01-03,,,77.0,"[{'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/goldennurspecial_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Biryani', 'Roti Prata']"
3,5658,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/nuramin_sf.jpg,Nuramin Nasi Padang,72,Market Street Food Centre,01-04,,,81.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/nuramin_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/nuramin_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 2}, {'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Nasi Padang']
4,5659,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/tianci_sf.jpg,Tian Ci Traditional Prawn Noodles,72,Market Street Food Centre,01-05,,,0.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/tianci_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
5,5660,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/wangchengji_sf.jpg,Wang Cheng Ji Fishball & Meatball Noodles,69,Market Street Food Centre,01-06,,,0.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/wangchengji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
6,5661,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/yuguo_sf.jpg,Yu Guo Curry Rice,66,Market Street Food Centre,01-07,,,80.5,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/yuguo_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Curry']
7,5662,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/teochewkwayteowmee_sf.jpg,Teochew Kway Teow Mee,70,Market Street Food Centre,01-08,,,0.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/teochewkwayteowmee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
8,5663,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/fishsoup_sf.jpg,Fish Soup,52,Market Street Food Centre,01-09,,,70.0,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/fishsoup_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fish Soup']
9,5664,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/J1aTo3uncuzg_icR5oKD238rP_selerabonda_sf.jpg,Selera Bonda,70,Market Street Food Centre,01-11,,,73.0,"[{'Name': 'Nasi Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/J1aTo3uncuzg_icR5oKD238rP_selerabonda_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chicken Rice & Noodles', 'Mee Rebus']"
