,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,9825,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/guanyinsu_sf.jpg,Guan Yin Su,72,North Bridge Road Market & Food Centre,01-85,,"Mon - Sat: 6.30am-8.30pm, Closed on Sun",0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/guanyinsu_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Hum Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['You Tiao']
1,9826,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/delisnacks_sf.jpg,Delisnacks,67,North Bridge Road Market & Food Centre,01-86,,,0,"[{'Name': 'Hum Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/delisnacks_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao']
2,9827,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/specialyongtaufoo_sf.jpg,Special Yong Tau Foo,70,North Bridge Road Market & Food Centre,01-87,,Mon - Sun: 7am-1pm,0,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/specialyongtaufoo_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Yong Tau Foo']
3,9828,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/6FeoVT6ZXilC_friedbeehoon_sf.jpg,88 Fried Bee Hoon,68,North Bridge Road Market & Food Centre,01-88,,,79,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/6FeoVT6ZXilC_friedbeehoon_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Char Kway Teow']"
4,9829,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/f0JLelCXiXNL_mingshu_sf.jpg,Ming Shu Yin Liao,0,North Bridge Road Market & Food Centre,01-89,,,80,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/f0JLelCXiXNL_mingshu_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
5,9830,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/hupheng_sf.jpg,Hup Heng Mixed Veg RIce,70,North Bridge Road Market & Food Centre,01-90,,Mon - Sun: 9am-4pm,72,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/hupheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Economy Rice']
6,9831,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/athe14yLiz0v_chicagonasilemak_sf.jpg,Chicago Nasi Lemak,72,North Bridge Road Market & Food Centre,01-92,,Mon - Sun: 8am-4pm,0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/athe14yLiz0v_chicagonasilemak_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak']
7,9832,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/oJRDr6i7EJkT_hoe_sf.jpg,Hoe Fried Hokkien Mee,72,North Bridge Road Market & Food Centre,01-93,,"Mon - Sat: 9am-6.30pm, Closed on Sun",72,"[{'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/oJRDr6i7EJkT_hoe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Hokkien Mee']
8,9833,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/mnFgUzfZU1Jb_happysnack_sf.jpg,Happy Snack,66,North Bridge Road Market & Food Centre,01-94,,,70,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/mnFgUzfZU1Jb_happysnack_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine']
9,9834,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/o0Rg4frn3IPo_mehfilmuglai_sf.jpg,Mehfil Muglai,70,North Bridge Road Market & Food Centre,01-95,,,81,"[{'Name': 'Indian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/o0Rg4frn3IPo_mehfilmuglai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Indian']
