,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8370,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/jYMP4mUpvO2L_ZJXLtvqQlGFl_alifatimah_sf.jpg,Ali Fatimah Food Stall,76,Redhill Food Centre,01-01,,,70.0,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/jYMP4mUpvO2L_ZJXLtvqQlGFl_alifatimah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Roti Prata']
1,8371,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/GVI8cL9dW5w7_ZfsQyFiheMzr_sweetsnacks_sf.jpg,Sweet Snacks,71,Redhill Food Centre,01-02,,,81.0,"[{'Name': 'Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/GVI8cL9dW5w7_ZfsQyFiheMzr_sweetsnacks_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Kueh']
2,8372,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/nX2eRQQ8qPgy_VEYGATKBXtiQ_chinastreetraditional_sf.jpg,China Street Traditional Hainanese Curry Rice,83,Redhill Food Centre,01-03,,Mon - Sun: 11am-8.30pm,74.0,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/nX2eRQQ8qPgy_VEYGATKBXtiQ_chinastreetraditional_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Curry']
3,8373,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 85 Redhill Lane/yeapseng_sf.jpg,Yeap Seng Handmade Pau Tim,70,Redhill Food Centre,01-04,,Mon - Sun: 6.30am-2.30pm,0.0,"[{'Name': 'Dim Sum', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 85 Redhill Lane/yeapseng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dim Sum']
4,8374,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Ufyn5uMSXVG7_otde2mgrjBHP_hometown_sf.jpg,Home Town,69,Redhill Food Centre,01-05,,,0.0,"[{'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Butterfly Buns', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Ufyn5uMSXVG7_otde2mgrjBHP_hometown_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['You Tiao']
5,8375,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 85 Redhill Lane/hotcolddrinks_sf.jpg,Hot & Cold Drinks,0,Redhill Food Centre,01-06,,Mon - Sun: 5.30am-6pm,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 85 Redhill Lane/hotcolddrinks_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
6,8376,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/jKeVan4xwY0w_zH4dZtjCQwhD_ahmalumian_sf.jpg,Ah Ma Lu Mian,66,Redhill Food Centre,01-07,,"Thu - Tue: 6am-2pm, Wed: 5.30am-6pm",78.0,"[{'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/jKeVan4xwY0w_zH4dZtjCQwhD_ahmalumian_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Lor Mee', 'Laksa']"
7,8377,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/HkCNpKCPOZ9h_yW9xUKtPkxqj_108cafe_sf.jpg,108 Cafe,0,Redhill Food Centre,01-08,,Mon - Sun: 6.30am-8.30pm,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/HkCNpKCPOZ9h_yW9xUKtPkxqj_108cafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
8,8378,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/xp630OfZLrc6_qgShOYw5AW1a_berkahmalaya_sf.jpg,Berkah Malaya Food,65,Redhill Food Centre,01-09,,,0.0,"[{'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/xp630OfZLrc6_qgShOYw5AW1a_berkahmalaya_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Malay Cuisine', 'Mee Siam']"
9,8379,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/B6PWancr2w1c_IIC411D26sOk_mfmmalayfoodcorner_sf.jpg,MFM Malay Food Corner,71,Redhill Food Centre,01-10,,Mon - Sun: 6am-6pm,72.0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/B6PWancr2w1c_IIC411D26sOk_mfmmalayfoodcorner_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Lontong']"
10,8380,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/5AJycJI1Q0Am_XxIqTwjdKZRc_jommakan_sf.jpg,Jom Makan,69,Redhill Food Centre,01-11,,,66.0,"[{'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Sambal Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/5AJycJI1Q0Am_XxIqTwjdKZRc_jommakan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Lontong', 'Nasi Goreng']"
