,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,11855,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/dyAWnGo9DIKy_KjJ2wASlrglk_madbros_sf.jpg,Mad Bros,68,Tanjong Pagar Plaza Blk 6,02-03,,,72,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/dyAWnGo9DIKy_KjJ2wASlrglk_madbros_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Japanese', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Japanese Cuisine']
1,11856,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/rongxing_sf.jpg,Rong Xing Yong Tau Fu,76,Tanjong Pagar Plaza Blk 6,02-04,,"Mon - Sat: 7am-2.30pm, Closed on Sun",0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/rongxing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Yong Tau Foo']
2,11857,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/4xkS08Xno67Z_YSoMItyC5iM9_peter_sf.jpg,Peter Fried Kway Teow Mee,76,Tanjong Pagar Plaza Blk 6,02-05,,Mon - Sun: 11am-8pm,0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/4xkS08Xno67Z_YSoMItyC5iM9_peter_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Char Kway Teow']
3,11858,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/huatkee_sf.jpg,Huat Kee Cooked Food,74,Tanjong Pagar Plaza Blk 6,02-06,,,72,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/huatkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Economy Rice']
4,11859,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/xiangxiang_sf.jpg,Xiang Xiang Nasi Lemak,68,Tanjong Pagar Plaza Blk 6,02-08,,"Mon - Sat: 6am-2pm, Closed on Sun",66,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/xiangxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Nasi Lemak']
5,11860,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/uxUD30yRPonV_hxaZ9ueZ5b32_tanjongpagarfriedkwayteow_sf.jpg,Tanjong Pagar Fried Kway Teow,73,Tanjong Pagar Plaza Blk 6,02-09,,,75,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/uxUD30yRPonV_hxaZ9ueZ5b32_tanjongpagarfriedkwayteow_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Char Kway Teow']
6,11861,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/ahseng_sf.jpg,Ah Seng Laksa & Prawn Mee,75,Tanjong Pagar Plaza Blk 6,02-10,,"Mon - Fri: 7am-2pm, Closed on Sat & Sun",81,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/ahseng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Prawn Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Laksa']
7,11862,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Ow6GVpazoTRe_a8fLV7jcnwsU_uppcrossstsoyachicken_sf.jpg,Upp Cross St Soya Chicken Noodle & Rice,70,Tanjong Pagar Plaza Blk 6,02-11,,Mon - Sun: 6am-2.30pm,0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Ow6GVpazoTRe_a8fLV7jcnwsU_uppcrossstsoyachicken_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Chicken Rice & Noodles']
8,11863,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/sliimuffin_sf.jpg,SL II Muffin,68,Tanjong Pagar Plaza Blk 6,02-12,,"Mon - Sat: 8am-5pm, Closed on Sun",0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/sliimuffin_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Muffins', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Muffins']
9,11864,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/F6dYi8g3G1Uz_jsQwwaBSPYjX_issanthai_sf.jpg,Issan Thai Food,69,Tanjong Pagar Plaza Blk 6,02-13,,"Mon - Fri: 11.30am-3pm, 5.30pm-8pm, Sat: 11.30am-5pm, Closed on Sun",80,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/F6dYi8g3G1Uz_jsQwwaBSPYjX_issanthai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Thai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Thai']
