,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,10017,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/BNi0qYVPASHv_PkUi9YBTRl7l_noordima_sf.jpg,Noordima Malay Food Stall,68,Telok Blangah Crescent Blk 11,01-78,,,0,"[{'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/BNi0qYVPASHv_PkUi9YBTRl7l_noordima_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Malay Cuisine', 'Nasi Lemak']"
1,10018,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210405/Geee9ehocGFg_Juiceman - Telok Blangah Blk 11.png,The Juice Man,0,Telok Blangah Crescent Blk 11,01-79,,Mon - Sun: 11am-9.30pm,74,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210405/Geee9ehocGFg_Juiceman%20-%20Telok%20Blangah%20Blk%2011.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
2,10019,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 11 Telok Blangah Crescent/nanfang_sf.jpg,Nan Fang Cooked Food,68,Telok Blangah Crescent Blk 11,01-80,,Mon - Sun: 11am-8pm,0,"[{'Name': 'Pork Chop', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 11 Telok Blangah Crescent/nanfang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Western Cuisine', 'Fish Soup']"
3,10020,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/mB0ItYBov0hB_qW0Eejg274cU_guanseng_sf.jpg,Guan Seng Carrot Cake,72,Telok Blangah Crescent Blk 11,01-81,,,0,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/mB0ItYBov0hB_qW0Eejg274cU_guanseng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Carrot Cake']
4,10021,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/7P8g4QntVyse_jL5t7zgzkJ1b_chinsin_sf.jpg,Chin Sin Beverage,0,Telok Blangah Crescent Blk 11,01-82,,Mon - Sun: 6am-5pm,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/7P8g4QntVyse_jL5t7zgzkJ1b_chinsin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
5,10022,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 11 Telok Blangah Crescent/healthyvegetarian_sf.jpg,Healthy Vegetarian Food,72,Telok Blangah Crescent Blk 11,01-83,,"Sun - Fri: 5.30am-2pm, Closed on Sat",72,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 11 Telok Blangah Crescent/healthyvegetarian_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Vegetarian']
6,10023,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 11 Telok Blangah Crescent/teckkee_sf.jpg,Teck Kee Fried Hokkien Prawn Mee,68,Telok Blangah Crescent Blk 11,01-84,,,66,"[{'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 11 Telok Blangah Crescent/teckkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Hokkien Mee']
7,10024,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/usD8scTXBw2y_oLFmTd3V4YTS_tawakkaltualallah_sf.jpg,Tawakkaltu Alallah,68,Telok Blangah Crescent Blk 11,01-85,,,75,"[{'Name': 'Mee Soto', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/usD8scTXBw2y_oLFmTd3V4YTS_tawakkaltualallah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Soto', 'Mee Rebus']"
8,10025,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/DZUMY587jGTH_ROojk2YnH6so_gemsharvest_sf.jpg,Gems Harvest,70,Telok Blangah Crescent Blk 11,01-86,,Mon - Sun: 6.30am-4pm,81,"[{'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bowl Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/DZUMY587jGTH_ROojk2YnH6so_gemsharvest_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chwee Kueh', 'Yam Cake']"
9,10026,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/FciaAHzh5VtR_ysWfBMlwYnW7_nmhussain_sf.jpg,N M Hussain Mee Goreng Stall,68,Telok Blangah Crescent Blk 11,01-87,,Mon - Sun: 11am-10pm,0,"[{'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/FciaAHzh5VtR_ysWfBMlwYnW7_nmhussain_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mutton Soup (Indian)', 'Mee Goreng']"
