,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7236,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/NWondmxCTyav_therscafe _sf.PNG,The R's Cafe,0,Telok Blangah Rise Blk 36 ,01-30,,Mon - Sun: 6am-7pm,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/NWondmxCTyav_therscafe%20_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
1,7237,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/MEq7DgVXkWVg_radinmaspratahut_sf.PNG,Radin Mas Prata Hut,72,Telok Blangah Rise Blk 36 ,01-31,,Mon - Sun: 5am-12pm,0.0,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Murtabak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/MEq7DgVXkWVg_radinmaspratahut_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti Prata', 'Murtabak']"
2,7238,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/JS0m24T5d0Ex_publicscurryrice_sf.PNG,Public's Curry Rice,71,Telok Blangah Rise Blk 36 ,01-32,,"Wed - Mon: 4.30am-9am, Closed on Tue",80.0,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/JS0m24T5d0Ex_publicscurryrice_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Curry']
3,7239,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210330/MpTUBIM3yio8_Hai Yan Coffee Stall @ Telok Blangah Rise Blk 36.PNG,Hai Yan Coffee Stall,0,Telok Blangah Rise Blk 36 ,01-33,,Mon - Sun: 3am-9pm,72.33333333,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210330/MpTUBIM3yio8_Hai%20Yan%20Coffee%20Stall%20%40%20Telok%20Blangah%20Rise%20Blk%2036.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
4,7240,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/3eiCy3vBczzP_bukittimahviewfishballmincednoodles_sf.PNG,Bukit Timah View Fishball Minced Noodles,71,Telok Blangah Rise Blk 36 ,01-34,,,71.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/3eiCy3vBczzP_bukittimahviewfishballmincednoodles_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Laksa']"
5,7241,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210330/ymWYunfewOy7_SG Soya Sauce Chick Rise @ Telok Blangah Rise Blk 36.PNG,SG Soya Sauce Chicken Rice,68,Telok Blangah Rise Blk 36 ,01-35/36,,,72.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210330/ymWYunfewOy7_SG%20Soya%20Sauce%20Chick%20Rise%20%40%20Telok%20Blangah%20Rise%20Blk%2036.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
6,7243,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/GhwvGq6fE06E_sweethouse_sf.PNG,Sweet House,71,Telok Blangah Rise Blk 36 ,01-37,,,81.0,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/GhwvGq6fE06E_sweethouse_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Soya Bean']
7,7244,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210330/i59M2tDqddSX_Hai Yan Fried Kway Teow Mee @ Telok Blangah Rise Blk 36.PNG,Hai Yan Fried Kway Teow Mee,68,Telok Blangah Rise Blk 36 ,01-38,,Mon - Sun: 11am-9.30pm,0.0,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210330/i59M2tDqddSX_Hai%20Yan%20Fried%20Kway%20Teow%20Mee%20%40%20Telok%20Blangah%20Rise%20Blk%2036.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Char Kway Teow']
8,7245,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Jp43vdgwuQwy_kimtianlv_sf.PNG,Kim Tian LV Carrot Cake,70,Telok Blangah Rise Blk 36 ,01-39,,Mon - Sun: 7am-12pm,78.0,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Jp43vdgwuQwy_kimtianlv_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Carrot Cake']
9,7246,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/kp16XftswN1w_jinmen_sf.PNG,Jin Men Xiao Chi,73,Telok Blangah Rise Blk 36 ,01-40,,Mon - Sun: 5am-2pm,0.0,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/kp16XftswN1w_jinmen_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge']
10,7247,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/FOZi6ro58Rup_topbestchinesecuisine_sf.PNG,Top Best Chinese Cuisine,68,Telok Blangah Rise Blk 36 ,01-41,,"Mon - Fri: 12pm-10pm, Sat & Sun: 3pm-10pm",0.0,"[{'Name': 'Fish Head Curry', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/FOZi6ro58Rup_topbestchinesecuisine_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Zi Char']
