,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6645,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/VfGMcRzQpjPK_mohdariffinmohdrashid_sf.jpg,Mohd Ariffin Mohd Rashid,67,Upper Boon Keng Road Blk 17,01-01,,,71.0,"[{'Name': 'Roti John', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mutton Steak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/VfGMcRzQpjPK_mohdariffinmohdrashid_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti John', 'Mutton Steak']"
1,6646,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/C0V7fZoaE8Lm_effandi_sf.jpg,Effandi Food Corner,67,Upper Boon Keng Road Blk 17,01-02,,Mon - Sun: 10am-10pm,0.0,"[{'Name': 'Roti John', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mutton Steak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/C0V7fZoaE8Lm_effandi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti John', 'Mutton Steak']"
2,6647,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Ih6P2WL6ckKB_hajimabdulrajak_sf.jpg,Haji M. Abdul Rajak Stall Soup Kambing,66,Upper Boon Keng Road Blk 17,01-03,,"Wed - Mon: 11am-11.30pm, Closed on Tue",0.0,"[{'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Ih6P2WL6ckKB_hajimabdulrajak_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Mutton Soup (Indian)']
3,6648,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/dmuD4UiK16OP_menjamuselera_sf.jpg,Menjamu Selera Drink Stall,0,Upper Boon Keng Road Blk 17,01-04,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/dmuD4UiK16OP_menjamuselera_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
4,6649,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/6wqDNhQKhJcZ_mohamedgani_sf.jpg,Mohamed Gani Mutton Soup,67,Upper Boon Keng Road Blk 17,01-05,,,77.0,"[{'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/6wqDNhQKhJcZ_mohamedgani_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Mutton Soup (Indian)']
5,6650,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/KyLYjyupY1vX_shahanafatimah_sf.jpg,Shahana Fatimah Food Stall,68,Upper Boon Keng Road Blk 17,01-06,,Mon - Sun: 11am-11.30pm,65.0,"[{'Name': 'Mee Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Tulang Merah', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/KyLYjyupY1vX_shahanafatimah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Goreng', 'Tulang']"
6,6651,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/KjAcH9c5TzPz_hajjahratmah_sf.jpg,Hajjah Ratmah Family Food Stall,70,Upper Boon Keng Road Blk 17,01-07,,,0.0,"[{'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/KjAcH9c5TzPz_hajjahratmah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Siam', 'Lontong']"
7,6652,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/nJfzzuFJghkE_penang_sf.jpg,Penang Fried Kway Teow,72,Upper Boon Keng Road Blk 17,01-08,,"Wed - Sun: 11am-6pm, Closed on Mon & Tue",0.0,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/nJfzzuFJghkE_penang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Char Kway Teow']
8,6653,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 17 Upper Boon Keng Road - 84 stalls/guankee_sf.jpg,Guan Kee Cooked Food,71,Upper Boon Keng Road Blk 17,01-09,,,0.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 17 Upper Boon Keng Road - 84 stalls/guankee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Dumplings', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Dumplings', 'Chwee Kueh']"
9,6654,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 17 Upper Boon Keng Road - 84 stalls/sengkee_sf.jpg,Seng Kee Minced Pork Noodles,69,Upper Boon Keng Road Blk 17,01-10,,,0.0,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 17 Upper Boon Keng Road - 84 stalls/sengkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Bak Chor Mee']"
