,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,11216,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/PBPfhQByCrhp_b33lHr6uST7z_halalhotcolddrinks_sf.jpg,Halal Hot & Cold Drinks,0,Yishun Park Hawker Centre,01-06,,,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/PBPfhQByCrhp_b33lHr6uST7z_halalhotcolddrinks_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]",['Beverages']
1,11217,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/AZk41fLABmOg_uHXaDrP08SWR_memeshiguang_sf.jpg,Me Me Shi Guang,0,Yishun Park Hawker Centre,01-09,,,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/AZk41fLABmOg_uHXaDrP08SWR_memeshiguang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
2,11218,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/LIupr0u54MGg_frludrPzR3hH_sjrotiprata_sf.jpg,SJ Roti Prata,71,Yishun Park Hawker Centre,01-10,,"Mon - Sun: 6am-10pm, Closed on alternate Wed",0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/LIupr0u54MGg_frludrPzR3hH_sjrotiprata_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Mee Goreng', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Roti Prata', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Mee Goreng', 'Roti Prata']"
3,11219,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/bYVWNgt6bUOp_wvVuVrqA1Jy2_68spinachsoup_sf.jpg,68 Spinach Soup,66,Yishun Park Hawker Centre,01-11,,"Mon, Tue, Thu, Fri: 10am-8pm, Sat, Sun & PH: 8am-8pm, Closed on Wed",72.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/bYVWNgt6bUOp_wvVuVrqA1Jy2_68spinachsoup_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Yong Tau Foo', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Spinach Soup', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Yong Tau Foo', 'Spinach Soup']"
4,11220,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/iynmVH8tARG1_Zj8ATwMbszSk_handmadewantonnoodles_sf.jpg,Handmade Wanton Noodles,68,Yishun Park Hawker Centre,01-12,,"Tue - Sun: 9am-8pm, Closed on Mon",0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/iynmVH8tARG1_Zj8ATwMbszSk_handmadewantonnoodles_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Wanton Mee', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]",['Wanton Mee']
5,11221,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/hsqp23vB7GKo_3EfpnbeiyQp9_nainaskitchen_sf.jpg,Naina's Kitchen,66,Yishun Park Hawker Centre,01-13,,,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/hsqp23vB7GKo_3EfpnbeiyQp9_nainaskitchen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Biryani', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Indian Rojak', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Biryani', 'Indian Rojak']"
6,11222,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ln8l9dztrqYH_AdWoILDa7pli_flavourfulfishsoup_sf.jpg,Flavourful Fish Soup,60,Yishun Park Hawker Centre,01-14,,,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ln8l9dztrqYH_AdWoILDa7pli_flavourfulfishsoup_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]",['Fish Soup']
7,11223,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/M4kcQ75mpIMQ_J5LD8y9hWpcM_dasanyuan_sf.jpg,Da San Yuan Fishball Minced Meat Noodle,71,Yishun Park Hawker Centre,01-15,,Fri - Wed: 7am-9pm. Closed on Thu,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/M4kcQ75mpIMQ_J5LD8y9hWpcM_dasanyuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']"
8,11224,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/bvkdIGpGZRCo_ro0u7W14xSqD_roasteddelight_sf.jpg,Roaster Delight,68,Yishun Park Hawker Centre,01-16,,,77.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/bvkdIGpGZRCo_ro0u7W14xSqD_roasteddelight_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Roast Meat', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Char Siew Rice', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
9,11225,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/2C0lbPaYFhAf_cglD9rd6t8Pk_hidekiaburigoodness_sf.jpg,Hideki ,74,Yishun Park Hawker Centre,01-17,,Mon - Sun: 11am-8pm,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/2C0lbPaYFhAf_cglD9rd6t8Pk_hidekiaburigoodness_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Japanese', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Japanese Cuisine']
