,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,11167,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ZRm5KcOXvZMH_18zion_sf.png,No. 18 Zion Road Fried Kway Teow,80,Zion Riverside Food Centre,01-17,,Mon - Sun: 12.30pm - 9pm,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ZRm5KcOXvZMH_18zion_sf.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Char Kway Teow']
1,11168,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/2vpfuyA3KRM4_laugoh_sf.png,Lau Goh Teochew Chye Thow Kway,90,Zion Riverside Food Centre,01-26,,"Mon, Wed - Sat: 11am-3.30pm, 6pm-11pm, Sun: 8.30am-4pm, Closed on Tue",0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/2vpfuyA3KRM4_laugoh_sf.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Carrot Cake']
2,11169,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/NcSitIlKxxpx_ahwang_sf.png,Ah Wang La Mian Xiao Long Bao,95,Zion Riverside Food Centre,01-22,,"Tue - Sun: 11am-10pm, Closed on Mon",100.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/NcSitIlKxxpx_ahwang_sf.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/6cm0mQSoPkOb_ahwang_m1.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Xiao Long Bao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201116/cXw2OwZwT3t7_IMG_0892.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201116/DnrvSiDjmxZK_XLB.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201116/aHW2vkJJp5GK_XLB2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Xiao Long Bao']
3,11170,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201209/GgxOWOS20bAn_Seng Huat Western Food_Stall.png,Seng Huat Western Food,70,Zion Riverside Food Centre,01-12,,"Fri - Wed: 11.30am-2pm, 4pm-8.30pm, Closed on Thu",70.0,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201209/GgxOWOS20bAn_Seng%20Huat%20Western%20Food_Stall.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201209/sQAP1rfnJfdC_Seng%20Huat%20Western%20Food_Menu.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/FJycOcg09wtX_Seng%20Huat%20%40%20Zion_Img1.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201026/d5DZUApVjm9e_Seng%20Huat%20%40%20Zion_Img2.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201026/8nsHf0OAEOYu_Seng%20Huat%20%40%20Zion_Img3.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201026/L6rPP99vGRMc_Seng%20Huat%20%40%20Zion_Img4.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine']
4,11171,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201124/u13YAeFIunUp_btk_sf.png,Boon Tong Kee Kway Chap,78,Zion Riverside Food Centre,01-24,,"Mon, Tue, Thu - Sun: 11am-10pm, Closed on Wed",72.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201124/u13YAeFIunUp_btk_sf.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Kway Chap', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Kway Chap']
5,11172,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Zion Riverside FC/soya_sf.jpg,House of Soya Bean,80,Zion Riverside Food Centre,01-11,,,78.0,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Zion Riverside FC/soya_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Zion Riverside FC/soya_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/9XniHstnCEbE_House%20of%20Soya%20Bean_Img2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/NmolaV4Bfhsu_House%20of%20Soya%20Bean_Img3.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/EhQfA4ZUa04f_House%20of%20Soya%20Bean_Img4.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/nI9gN0w3H2Me_House%20of%20Soya%20Bean_Img1.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Soya Bean']
6,11173,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210812/YlpFWH53EiTi_Screenshot 2021-08-12 at 9.21.27 AM.png,Zion Road Big Prawn Noodle,90,Zion Riverside Food Centre,01-04,,"Mon - Sun: 12pm-3pm, 6pm-11.30pm",76.25,"[{'Name': 'Prawn Noodle', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/ibRKxUysCh1x_Fresh%20Taste%20Adam%20Road%20Prawn%20Noodles_Img3.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/O9230DCSYiMQ_Fresh%20Taste%20Adam%20Road%20Prawn%20Noodles_Img2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
7,11175,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/Mig2rp1OE4F6_wuxiang_sf.png,Five Spice Prawn Fritter,98,Zion Riverside Food Centre,01-07,,"Tue - Sun: 12pm-2pm, Closed on Mon",77.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/Mig2rp1OE4F6_wuxiang_sf.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Ngoh Hiang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Ngoh Hiang']
8,11176,https://ewr1.vultrobjects.com/hawkerpedia/stall/Kang%27sWantonNoodle.jpeg,Kang's Wanton Noodle ,60,Zion Riverside Food Centre,01-06,,,67.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/4GynPrRGzdZ0_xf_sf.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Wanton Mee']
9,13225,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/848FreshFruitSugarCaneJuice.jpeg,848 Fresh Fruit & Sugar Cane Juice,72,Zion Riverside Food Centre,01-16,,,70.0,"[{'Name': 'Fruit Juice', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Fruit Juice', 'Beverages']"
