id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
s8v8QCkPtNSN6gjZkV1Qug,ha-ha-big-prawn-noodle-singapore,Ha Ha Big Prawn Noodle,,False,https://www.yelp.com/biz/ha-ha-big-prawn-noodle-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,1,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",5.0,"{'latitude': 1.2887659999999999, 'longitude': 103.827528}",[],$,"{'address1': '38A Beo Crescent', 'address2': '#01-81', 'address3': '', 'city': 'Singapore', 'zip_code': '169982', 'country': 'SG', 'state': 'SG', 'display_address': ['38A Beo Crescent', '#01-81', 'Singapore 169982', 'Singapore']}",+6596274858,+65 9627 4858,3690.8278177943826
wOFi7ld-JlIlcvFMINdN7g,kee-hock-singapore,Kee Hock,https://s3-media3.fl.yelpcdn.com/bphoto/xSin1EXN7XDZ24Bil7r_nw/o.jpg,False,https://www.yelp.com/biz/kee-hock-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,2,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",4.0,"{'latitude': 1.31318, 'longitude': 103.7645299}",[],$,"{'address1': 'Blk 448 Clementi Ave 3', 'address2': 'Clementi Central Hawker Centre and Market', 'address3': None, 'city': 'Singapore', 'zip_code': '120448', 'country': 'SG', 'state': 'SG', 'display_address': ['Blk 448 Clementi Ave 3', 'Clementi Central Hawker Centre and Market', 'Singapore 120448', 'Singapore']}",,,9385.554921560686
Js_MbzlnXtZIsKT7jNER4Q,hock-kee-fried-oyster-singapore,Hock Kee Fried Oyster,https://s3-media4.fl.yelpcdn.com/bphoto/JDxxoQyxV5DVInYSzZaYYw/o.jpg,False,https://www.yelp.com/biz/hock-kee-fried-oyster-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,1,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",5.0,"{'latitude': 1.36320603119765, 'longitude': 103.866560718778}",[],,"{'address1': '49A Serangoon Garden Way', 'address2': '#01-19', 'address3': 'Serangoon Garden Market & Food Centre', 'city': 'Singapore', 'zip_code': '555945', 'country': 'SG', 'state': 'SG', 'display_address': ['49A Serangoon Garden Way', '#01-19', 'Serangoon Garden Market & Food Centre', 'Singapore 555945', 'Singapore']}",+6591755244,+65 9175 5244,5798.2320951905585
fzmdHsBjkHMNym2HlAMEAg,da-cheng-kway-chap-singapore,Da Cheng Kway Chap,https://s3-media3.fl.yelpcdn.com/bphoto/XrcYoTP3LJO9TezOUiRrfg/o.jpg,False,https://www.yelp.com/biz/da-cheng-kway-chap-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,2,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",4.0,"{'latitude': 1.34177, 'longitude': 103.85158}",[],,"{'address1': '127 Lorong 1 Toa Payoh', 'address2': '02-14', 'address3': '', 'city': 'Singapore', 'zip_code': '310127', 'country': 'SG', 'state': 'SG', 'display_address': ['127 Lorong 1 Toa Payoh', '02-14', 'Singapore 310127', 'Singapore']}",,,2700.3383973569544
TpeiYFFeSqBvBiHEOjPdxg,circuit-road-food-centre-singapore,Circuit Road Food Centre,https://s3-media3.fl.yelpcdn.com/bphoto/wNkVIpSk4LMku_hakhp8Xg/o.jpg,False,https://www.yelp.com/biz/circuit-road-food-centre-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,2,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",3.5,"{'latitude': 1.32529, 'longitude': 103.88487}",[],$,"{'address1': '79A Circuit Rd', 'address2': '', 'address3': '', 'city': 'Singapore', 'zip_code': '371079', 'country': 'SG', 'state': 'SG', 'display_address': ['79A Circuit Rd', 'Singapore 371079', 'Singapore']}",,,4198.340176918108
ecf2YdcIx2BZCoIU4wN1rw,sin-kee-famous-chicken-rice-singapore-2,Sin Kee Famous Chicken Rice,https://s3-media2.fl.yelpcdn.com/bphoto/746IEnVdJ97KuTtn8E44Gg/o.jpg,False,https://www.yelp.com/biz/sin-kee-famous-chicken-rice-singapore-2?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,2,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",3.5,"{'latitude': 1.29324, 'longitude': 103.80288}",[],,"{'address1': '159 Mei Chin Rd', 'address2': '#02-22', 'address3': '', 'city': 'Singapore', 'zip_code': '140159', 'country': 'SG', 'state': 'SG', 'display_address': ['159 Mei Chin Rd', '#02-22', 'Singapore 140159', 'Singapore']}",,,5622.022289424324
kurndne2WB-llMWWZR5nqg,tong-fong-fatt-boneless-chicken-rice-singapore,Tong Fong Fatt Boneless Chicken Rice,https://s3-media2.fl.yelpcdn.com/bphoto/xMjyZHCvPv_DLDIaIrZk7w/o.jpg,False,https://www.yelp.com/biz/tong-fong-fatt-boneless-chicken-rice-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,2,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",3.5,"{'latitude': 1.3203210314912601, 'longitude': 103.934922678566}",[],,"{'address1': '16 Bedok S Rd', 'address2': '#01-53', 'address3': None, 'city': 'Singapore', 'zip_code': '', 'country': 'SG', 'state': 'SG', 'display_address': ['16 Bedok S Rd', '#01-53', 'Singapore', 'Singapore']}",,,9581.652866739083
6fgyQ0tddaeI28PfjhgTTA,rahmath-cheese-prata-singapore,Rahmath Cheese Prata,https://s3-media2.fl.yelpcdn.com/bphoto/BCvKoMUpv_uV-ba4ktetPQ/o.jpg,False,https://www.yelp.com/biz/rahmath-cheese-prata-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,1,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",4.0,"{'latitude': 1.33482609228722, 'longitude': 103.851803477158}",[],$,"{'address1': 'Blk 74 Lorong 4 Toa Payoh', 'address2': '#01-08, Toa Payoh Vista Market', 'address3': '', 'city': 'Singapore', 'zip_code': '310074', 'country': 'SG', 'state': 'SG', 'display_address': ['Blk 74 Lorong 4 Toa Payoh', '#01-08, Toa Payoh Vista Market', 'Singapore 310074', 'Singapore']}",,,2323.8723480172057
KG3tFxrWSAnIRJIEDtDbbw,oishii-corner-singapore,Oishii Corner,https://s3-media3.fl.yelpcdn.com/bphoto/9gzkrYlg0Gqmb8XqcZTw8Q/o.jpg,False,https://www.yelp.com/biz/oishii-corner-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,1,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",4.0,"{'latitude': 1.33524, 'longitude': 103.85703}",[],,"{'address1': '22A Lor 7 Toa Payoh', 'address2': '#01-161', 'address3': 'Kim Keat Palm Market & Food Centre', 'city': 'Singapore', 'zip_code': '311022', 'country': 'SG', 'state': 'SG', 'display_address': ['22A Lor 7 Toa Payoh', '#01-161', 'Kim Keat Palm Market & Food Centre', 'Singapore 311022', 'Singapore']}",,,2543.964418573868
obbmApmqh0UqGiYOMId4Bg,tan-coffee-stall-singapore,Tan Coffee Stall,https://s3-media2.fl.yelpcdn.com/bphoto/xGyyd7X_SmI1s_Z5Epeb4Q/o.jpg,False,https://www.yelp.com/biz/tan-coffee-stall-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,1,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",4.0,"{'latitude': 1.33524, 'longitude': 103.85703}",[],,"{'address1': '22 Lorong 7 Toa Payoh', 'address2': None, 'address3': '', 'city': 'Singapore', 'zip_code': '310022', 'country': 'SG', 'state': 'SG', 'display_address': ['22 Lorong 7 Toa Payoh', 'Singapore 310022', 'Singapore']}",,,2512.9392566013794
