,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6134,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/dessertstation_sf.jpg,Dessert Station,72,Albert Centre Market & Food Centre,01-41,,Mon - Sun: 7am-10pm,73,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/dessertstation_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dessert']
1,6135,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Z3OBAWyL7zu7_queenstreetcoffee_sf.jpg,Queen Street Coffee Stall,0,Albert Centre Market & Food Centre,01-42,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Z3OBAWyL7zu7_queenstreetcoffee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
2,6136,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/0i3kV7V4aZMO_serkee_sf.jpg,Ser Kee Restaurant,67,Albert Centre Market & Food Centre,01-43,,,73,"[{'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/0i3kV7V4aZMO_serkee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck']
3,6137,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/IYtFYGpClEIb_junji_sf.jpg,Jun Ji,66,Albert Centre Market & Food Centre,01-44,,"Mon - Sat: 8am-7pm, Closed on Sun",67,"[{'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/IYtFYGpClEIb_junji_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chee Cheong Fun', 'Economy Bee Hoon']"
4,6138,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/M5myYJ3QiCkR_singaporefamousrojak_sf.jpg,Singapore Famous Rojak,71,Albert Centre Market & Food Centre,01-45,,,0,"[{'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/M5myYJ3QiCkR_singaporefamousrojak_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Rojak']
5,6139,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/uivIjRtHombq_waterloostreetgorengpisang_sf.jpg,Waterloo Street Goreng Pisang,73,Albert Centre Market & Food Centre,01-46,,Mon - Sun: 8am-5pm,0,"[{'Name': 'Goreng Pisang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/uivIjRtHombq_waterloostreetgorengpisang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Goreng Pisang', 'Snacks']"
6,6140,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/9InePRG7KK6Z_queenstreetchankee_sf.jpg,Queen Street Chan Kee Sugar Cane Juice,0,Albert Centre Market & Food Centre,01-47,,,69,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/9InePRG7KK6Z_queenstreetchankee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
7,6141,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/uEFseivDkZjz_tongchengyuan_sf.jpg,Tong Cheng Yuan Soya Bean,68,Albert Centre Market & Food Centre,01-48,,Mon - Sun: 7.30am-9.30pm,77,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/uEFseivDkZjz_tongchengyuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Soya Bean']
8,6142,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/f3UfLMPUjpfL_leongyeow_sf.jpg,Leong Yeow Famous Waterloo St Chicken Rice,68,Albert Centre Market & Food Centre,01-49,,Mon - Sun: 11am-8pm,67,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/f3UfLMPUjpfL_leongyeow_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
9,6143,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/4GnYJrLs88Jy_aromacafe_sf.jpg,Aroma Cafe,0,Albert Centre Market & Food Centre,01-50,,Mon - Sun: 7.30am-10pm,70,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/4GnYJrLs88Jy_aromacafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
10,6144,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/ricegarden_sf.jpg,Rice Garden,68,Albert Centre Market & Food Centre,01-51,,Mon - Sun: 10am-7.30pm,0,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/ricegarden_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Curry', 'Economy Rice']"
11,6145,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/dCUnMUsN1Rfi_xinxianggang_sf.jpg,Xin Xiang Gang Congee Centre Traditional Claypot Rice,66,Albert Centre Market & Food Centre,01-52,,,78,"[{'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Claypot Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/dCUnMUsN1Rfi_xinxianggang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Herbal Soup', 'Claypot']"
12,6146,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/xIc3rQ0ckGVX_famousfriend_sf.jpg,Changi Airport T2 Famous Friend Fish Soup Fishball Noodle,72,Albert Centre Market & Food Centre,01-53,,,0,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/xIc3rQ0ckGVX_famousfriend_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Fishball Noodles', 'Minced Meat Noodles', 'Laksa', 'Bak Chor Mee']"
13,6147,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/vegetarianfood_sf.jpg,Vegetarian Food,75,Albert Centre Market & Food Centre,01-54,,,0,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/vegetarianfood_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Vegetarian']
14,6148,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/tankaohei_sf.jpg,Tan Kao Hei Cha Shao,68,Albert Centre Market & Food Centre,01-55,,,72,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Char Siew Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/tankaohei_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Wanton Mee', 'Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
15,6149,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/whampoasoyabean_sf.jpg,Whampoa Soya Bean,66,Albert Centre Market & Food Centre,01-56,,,66,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/whampoasoyabean_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Soya Bean']
16,6150,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/tongfongfatt_sf.jpg,Tong Fong Fatt Hainanese Boneless Chicken Rice,69,Albert Centre Market & Food Centre,01-57,,,75,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/tongfongfatt_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
17,6151,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/jiale_sf.jpg,Jia Le Spinach Soup,67,Albert Centre Market & Food Centre,01-58,,,81,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Spinach Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/jiale_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Yong Tau Foo', 'Spinach Soup']"
18,6152,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/yuanji_sf.jpg,Yuan Ji Zheng Zong Fried Carrot Cake,66,Albert Centre Market & Food Centre,01-59,,Mon - Sun: 7am-2.30pm,71,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/yuanji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Carrot Cake']
19,6153,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/mingji_sf.jpg,Ming Ji Wanton Noodle,71,Albert Centre Market & Food Centre,01-60,,,0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/mingji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Wanton Mee']
20,6154,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/yongfa_sf.jpg,Yong Fa Eating House,67,Albert Centre Market & Food Centre,01-61,,,80,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/yongfa_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Zi Char']
21,6155,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/wanxing_sf.jpg,Wan Xing Nasi Lemak,73,Albert Centre Market & Food Centre,01-62,,Mon - Sun: 6.30pm-9pm,0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/wanxing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Nasi Lemak']
22,6156,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/T3YSBrdQvUfx_goodtaste_sf.jpg,Good Taste Zhu Chao,73,Albert Centre Market & Food Centre,01-63,,,70,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/T3YSBrdQvUfx_goodtaste_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Zi Char', 'Fish Soup']"
23,6157,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/zhengxing_sf.jpg,Zheng Xing Mei Shi,68,Albert Centre Market & Food Centre,01-64,,"Tue, Wed, Fri & Sat: 9am-2pm, Closed on Mon, Thu & Fri",81,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/zhengxing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dessert']
24,6158,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/fvRbQJMrAXsK_yummyrice_sf.jpg,Yummy Rice Shop,73,Albert Centre Market & Food Centre,01-65,,Mon - Sun: 11.30am-8.30pm,0,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/fvRbQJMrAXsK_yummyrice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Economy Rice']
25,6159,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/dfah0BtJkB59_bakkuttehipohhorfun_sf.jpg,Bak Kut Teh Ipoh Hor Fun,65,Albert Centre Market & Food Centre,01-66,,,0,"[{'Name': 'Bak Kut Teh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hor Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/dfah0BtJkB59_bakkuttehipohhorfun_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Bak Kut Teh', 'Hor Fun']"
26,6160,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/mabolormee_sf.jpg,Ma Bo Lor Mee,68,Albert Centre Market & Food Centre,01-67,,Mon - Sun: 8am-2pm,80,"[{'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/mabolormee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Lor Mee', 'Laksa']"
27,6161,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/ai71VW2Bs4V1_fattkee_sf.jpg,Fatt Kee,67,Albert Centre Market & Food Centre,01-68,,,0,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/ai71VW2Bs4V1_fattkee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Porridge', 'Chee Cheong Fun']"
28,6162,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/tMBI0S6BaZ5j_haofishsoup_sf.jpg,Hao Fish Soup,65,Albert Centre Market & Food Centre,01-69,,,70,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Seafood Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/tMBI0S6BaZ5j_haofishsoup_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Seafood Soup']"
29,6163,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/ucB85gm8X9E9_hangkee_sf.jpg,Hang Kee Coffee Stall,0,Albert Centre Market & Food Centre,01-70,,Mon - Sun: 6am-11pm,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/ucB85gm8X9E9_hangkee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
30,6164,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/ahheng_sf.jpg,Ah Heng Duck Rice,65,Albert Centre Market & Food Centre,01-71,,"Tue - Sun: 6.30am-4pm, Closed on Mon",0,"[{'Name': 'Duck Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/ahheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck']
