,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,10007,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/ABC Brickworks Market _ Food Centre/yuguo_sf.jpg,Yuguo Curry Rice,77,Amoy Street Food Centre,01-13,,Mon - Fri: 11am-8.00pm,80.0,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/ABC Brickworks Market _ Food Centre/yuguo_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Curry']
1,10154,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/friedkwayteow_sf.jpg,Fried Kway Teow,66,Amoy Street Food Centre,01-01,,"Mon - Sat: 9.30am-2.30pm, Closed on Sun",67.0,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/friedkwayteow_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Char Kway Teow']
2,10155,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/xiangxiang_sf.jpg,Xiang Xiang Hainanese Chicken Rice,69,Amoy Street Food Centre,01-02,,Mon - Sun: 7am-3.30pm,70.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/xiangxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
3,10156,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/yongtaufoo_m1.jpg,Yong Tau Foo,74,Amoy Street Food Centre,01-03,,,0.0,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/yongtaufoo_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Yong Tau Foo']
4,10157,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210913/4vTGkCfpWMSe_New Hong Kong Congee @ Amoy Street FC.png,New Hong Kong Congee,90,Amoy Street Food Centre,01-04,,"Mon - Fri: 11.30am-9pm, Closed on Sat & Sun",0.0,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/stall/20210913/eUQF825SXLV2_New%20Hong%20Kong%20Congee%20%40%20Amoy%20Street%20FC.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/stall/20210913/rxpE03e9RBZf_New%20Hong%20Kong%20Congee%20%281%29%20%40%20Amoy%20Street%20FC.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/stall/20210913/n8jxh5V1ncql_New%20Hong%20Kong%20Congee%20%282%29%20%40%20Amoy%20Street%20FC.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge']
5,10158,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/hotcolddrink_sf.jpg,Hot & Cold Drink Stall,0,Amoy Street Food Centre,01-05,,Mon - Sun: 6am-4pm,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/hotcolddrink_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
6,10159,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/DPSY7JwZGFUZ_lhappyduck_sf.jpg,L Happy Duck,69,Amoy Street Food Centre,01-06,,,80.0,"[{'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/DPSY7JwZGFUZ_lhappyduck_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck']
7,10160,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/USu8DBONt7vG_grandmabanmee_sf.jpg,Grandma Ban Mee,76,Amoy Street Food Centre,01-07,,"Mon - Sat: 10am-8pm, Closed on Sun",72.0,"[{'Name': 'Ban Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/USu8DBONt7vG_grandmabanmee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Ban Mian']
8,10161,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/FrWNZsBGTs58_amoystreetlormee_sf.jpg,Famous Amoy Street Lor Mee,73,Amoy Street Food Centre,01-08,,Mon - Sun: 8am-2pm,0.0,"[{'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/FrWNZsBGTs58_amoystreetlormee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Lor Mee']
9,10162,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/soonlee_sf.jpg,Soon Lee Vegetarian,70,Amoy Street Food Centre,01-09,,Mon - Sun: 7am-6pm,72.0,"[{'Name': 'You tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Ham Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/soonlee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao']
