,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6958,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201228/ImsMg36t6VQt_amk266H_angmokiofreshfruit _sf.jpg,Ang Mo Kio Fresh Fruit,0,Ang Mo Kio Street 22 Blk 226H ,01-01,,Mon - Sun: 11am-9.30pm,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201228/ImsMg36t6VQt_amk266H_angmokiofreshfruit%20_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
1,6959,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/YCyBTiNwEpm1_a1houseofclaypot_sf.jpg,A1 House Of Claypot,71,Ang Mo Kio Street 22 Blk 226H ,01-02,,,72,"[{'Name': 'Claypot', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/YCyBTiNwEpm1_a1houseofclaypot_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Claypot']
2,6960,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/0QrjByGWSLMs_lifaji_sf.jpg,Li Fa Ji,72,Ang Mo Kio Street 22 Blk 226H ,01-03,,,70,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/0QrjByGWSLMs_lifaji_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Carrot Cake', 'Oyster Omelette']"
3,6961,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/kCbM8nrUogj2_jiaxiangjingqin _sf.jpg,Jia Xiang Jing Qin Mixed Rice,72,Ang Mo Kio Street 22 Blk 226H ,01-04,,,81,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/kCbM8nrUogj2_jiaxiangjingqin%20_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Economy Rice']
4,6962,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/hockkee_sf.jpg,Hock Kee Wanton Noodle,68,Ang Mo Kio Street 22 Blk 226H ,01-05,,,74,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/hockkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Wanton Mee']
5,6963,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/wangxiangchashi_sf.jpg,Wang Xiang Cha Shi,0,Ang Mo Kio Street 22 Blk 226H ,01-06,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/wangxiangchashi_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
6,6964,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/seletarshengmian_sf.jpg,Seletar Sheng Mian Mian Fen Guo,68,Ang Mo Kio Street 22 Blk 226H ,01-07,,"Sat - Thu: 5.30am-2pm, Closed on Fri",72,"[{'Name': 'Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/seletarshengmian_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",[]
7,6965,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/vKanaM8idwSm_bonelesschickenrice_sf.jpg,Boneless Chicken Rice,71,Ang Mo Kio Street 22 Blk 226H ,01-08,,Mon - Sun: 9am-7pm,0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/vKanaM8idwSm_bonelesschickenrice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
8,6966,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/iEAqIGdwnHV7_jirongvegetarian_sf.jpg,Ji Rong Vegetarian,74,Ang Mo Kio Street 22 Blk 226H ,01-09,,,0,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/iEAqIGdwnHV7_jirongvegetarian_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian']
9,6967,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/chyekee_sf.jpg,Chye Kee Hainanese Chicken Rice,72,Ang Mo Kio Street 22 Blk 226H ,01-10,,"Tue - Sun: 8am-7pm, Closed on Mon",0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/chyekee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
