,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7133,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210812/GRMlGNGbS5ZD_Hock Heng Delights @ Teck Ghee FC.jpeg,Hock Heng Delights,65,Ang Mo Kio Ave 1 Blk 341,01-01,,"Mon - Sun: 10am-2pm, 5pm-10pm",68.0,"[{'Name': 'Fish Head Curry', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210615/z8Cjxvd8CGYd_49j7Ol3uadXh_stallfront%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210615/IM16s4T9OK7Y_QSW4ClleOQYM_full%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210615/Qitca45iVXeh_wPVquaq2UEUQ_asam%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210615/HzVJjCx8A42z_DeBq1Zi6ZThp_beehoon%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fish Head Curry']
1,7134,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ydfm60ELOxtC_sweehenghillview_sf.jpg,Swee Heng Hillview Steam Food,68,Ang Mo Kio Ave 1 Blk 341,01-02,,"Wed - Mon: 5.45am-10.30pm, Closed on Tue",83.0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ydfm60ELOxtC_sweehenghillview_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Nasi Lemak']"
2,7135,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/yuanwei_sf.jpg,Yuan Wei Sha Bo Xiao Shi,65,Ang Mo Kio Ave 1 Blk 341,01-03,,Mon - Sun: 5am-5pm,0.0,"[{'Name': 'Claypot Dishes', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/yuanwei_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Claypot']
3,7136,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/yongji_sf.jpg,Yong Ji Rou Gu Cha,75,Ang Mo Kio Ave 1 Blk 341,01-04,,"Tue- Sun: 10am-3pm, Closed on Mon",71.0,"[{'Name': 'Bak Kut Teh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/yongji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Bak Kut Teh']
4,7137,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/bMRK0jQ17eW3_ommanipadmehum_sf.jpg,Vegetarian Food Om Mani Padme Hum,68,Ang Mo Kio Ave 1 Blk 341,01-05,,"Mon - Sun: 7am-1.30pm, 3.30pm-8pm",0.0,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/bMRK0jQ17eW3_ommanipadmehum_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian']
5,7138,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/2a9cJUvg9SJG_yongcoffeeteahouse_sf.jpg,Yong Coffee Tea House,0,Ang Mo Kio Ave 1 Blk 341,01-06,,Mon - Sun: 3am-3pm,69.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/2a9cJUvg9SJG_yongcoffeeteahouse_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
6,7139,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/hupsenghuat_sf.jpg,Hup Seng Huat Cooked Food,68,Ang Mo Kio Ave 1 Blk 341,01-07,,"Sat - Thu: 7.30am-2pm, Closed on Fri",0.0,"[{'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/hupsenghuat_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Laksa', 'Minced Meat Noodles', 'Bak Chor Mee']"
7,7140,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/341cookedfood_sf.jpg,341 Cooked Food,71,Ang Mo Kio Ave 1 Blk 341,01-08,,,66.0,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/341cookedfood_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Mee Siam', 'Lor Mee']"
8,7141,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/engkee_sf.jpg,Eng Kee,72,Ang Mo Kio Ave 1 Blk 341,01-09,,Mon - Sun: 8am-3pm,75.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/engkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Prawn Noodles']"
9,7142,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/boontongkee_sf.jpg,Boon Tong Kee Kway Chap Braised Duck,68,Ang Mo Kio Ave 1 Blk 341,01-10,,,81.0,"[{'Name': 'Kway Chap', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/boontongkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Kway Chap', 'Braised Meat & Duck']"
