,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,5290,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bedok Food Centre/soonlee_sf.jpg,Soon Lee,71,Bedok Food Centre,01-02,,"Tue - Sun: 12pm-8pm, Closed on Mon",0,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bedok Food Centre/soonlee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Char Kway Teow', 'Oyster Omelette']"
1,5291,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/0jf5gzTTCYcP_apCz9QvRemd3_faiz_sf.jpg,Faiz Drink Stall,0,Bedok Food Centre,01-03,,,80,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/0jf5gzTTCYcP_apCz9QvRemd3_faiz_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
2,5292,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/50isAT5ubU3Z_w4dUpmpwy21J_sinanrancahaya_sf.jpg,Sinanran Cahaya Bedok Corner,70,Bedok Food Centre,01-04,,,72,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/50isAT5ubU3Z_w4dUpmpwy21J_sinanrancahaya_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Satay']
3,5293,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/DAkdgLBHpn48_D6kegviKYLrT_oleolejaviyan_sf.jpg,Ole Ole Javiyan,67,Bedok Food Centre,01-05,,"Thu - Tue: 8am-9.30pm, Closed on Wed",72,"[{'Name': 'Bubur Soto', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/DAkdgLBHpn48_D6kegviKYLrT_oleolejaviyan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Bubur', 'Mee Rebus']"
4,5294,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/4jUixgPdHQCi_PtOKgbhPqkJj_allklasi_sf.jpg,Al-Iklasi Cafe,0,Bedok Food Centre,01-06,,Mon - Sun: 7am-11pm,72,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/4jUixgPdHQCi_PtOKgbhPqkJj_allklasi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
5,5295,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/2Mrc4SyPlXEA_ufinGmLtF8tV_nurindah_sf.jpg,Nur Indah Kitchen,67,Bedok Food Centre,01-07,,Mon - Sun: 9am-9.30pm,70,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/2Mrc4SyPlXEA_ufinGmLtF8tV_nurindah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Chicken Rice & Noodles']"
6,5296,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/CXwcPwefajg8_FgRB0ioH8nVJ_abumubarak_sf.jpg,Abu Mubarak Mandi Rice,73,Bedok Food Centre,01-08,,"Thu - Tue: 11.30am-10pm, Closed on Wed",81,"[{'Name': 'Mandi Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/CXwcPwefajg8_FgRB0ioH8nVJ_abumubarak_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Biryani']
7,5297,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bedok Food Centre/sataysolo_sf.jpg,Satay Solo,68,Bedok Food Centre,01-09,,Mon - Sun: 7am-10pm,74,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bedok Food Centre/sataysolo_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Satay', 'Nasi Lemak']"
8,5298,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bedok Food Centre/shananas_sf.jpg,Shahanas Cafe,0,Bedok Food Centre,01-10,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bedok Food Centre/shananas_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
9,5299,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/rXjIofwT4AtH_zhe3Us8sjjaa_ayampenyetno1_sf.jpg,Ayam Penyet No 1,69,Bedok Food Centre,01-11,,Mon - Sun: 6am-10pm,0,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rXjIofwT4AtH_zhe3Us8sjjaa_ayampenyetno1_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Satay']"
