,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6866,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/chengji_sf.jpg,Cheng Ji Noodle House,68,Bedok North Street 1 Blk 216,01-01,,Mon - Sun: 7am-6pm,69.0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/chengji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Wanton Mee']
1,6867,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/xianjin_sf.jpg,Xian Jin Mixed Vegetable Rice,72,Bedok North Street 1 Blk 216,01-02,,Mon - Sun: 7am-4pm,72.0,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/xianjin_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Economy Rice']
2,6868,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/zQJsIwALuNHg_5e1r786m8rkH_jinyi_sf.jpg,Jin Yi Coffee,0,Bedok North Street 1 Blk 216,01-03,,,70.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/zQJsIwALuNHg_5e1r786m8rkH_jinyi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
3,6869,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/9qIjYJVcyLBU_SHYiV4QzsikX_joochiatprawnnoodles_sf.jpg,Joo Chiat Pork Ribs Prawn Noodle,72,Bedok North Street 1 Blk 216,01-04,,,81.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/9qIjYJVcyLBU_SHYiV4QzsikX_joochiatprawnnoodles_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
4,6870,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Ij65mZYrrGJD_3cghF8hfAeGn_vegetarianpancakes_sf.jpg,Vegetarian Pancakes,71,Bedok North Street 1 Blk 216,01-05,,,74.0,"[{'Name': 'Vegetarian Pancakes', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Ij65mZYrrGJD_3cghF8hfAeGn_vegetarianpancakes_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian']
5,6871,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/lowsengkim_sf.jpg,Low Seng Kim,74,Bedok North Street 1 Blk 216,01-06,,,0.0,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/lowsengkim_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Mee Siam']"
6,6872,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/honnikitchen_sf.jpg,Hon Ni Kitchen,68,Bedok North Street 1 Blk 216,01-07,,"Tue - Sat: 6am-1pm, Closed on Sun & Mon",70.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/honnikitchen_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Economic Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Economy Bee Hoon']
7,6873,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ObI90DrUbDkP_42nODcwD5k6v_pingji_sf.jpg,Ping Ji Chicken Rice,68,Bedok North Street 1 Blk 216,01-08,,,81.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ObI90DrUbDkP_42nODcwD5k6v_pingji_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
8,6874,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/honnikitchen_m1.jpg,Hon Ni Kitchen,74,Bedok North Street 1 Blk 216,01-09,,Mon - Sun: 5am-1pm,0.0,"[{'Name': 'Chicken Otak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/honnikitchen_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Otak']
9,6875,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/bedok_sf.jpg,Bedok Soya Bean Drink,67,Bedok North Street 1 Blk 216,01-10,,,68.0,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/bedok_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Soya Bean']
10,6876,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/JamaWt0GHXCY_P3ox7v0CBMzL_arrahman_sf.jpg,Ar Rahman Cuisine,71,Bedok North Street 1 Blk 216,01-11,,,80.25,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/JamaWt0GHXCY_P3ox7v0CBMzL_arrahman_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Roti Prata']
11,6877,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/sheikallaudindum_sf.jpg,Sheik Allaudin Dum Biryani,70,Bedok North Street 1 Blk 216,01-12,,,0.0,"[{'Name': 'Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chapathi', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 216 Bedok North Street 1/sheikallaudindum_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Biryani', 'Indian']"
