,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7935,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/i543r9eySL3P_YoNvnsaRDCo3_dachang_sf.jpg,Da Chang Fish Head Steamboat,69,Bedok Reservoir Road Blk 630,01-01,,,68.0,"[{'Name': 'Fish Head Steamboat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/i543r9eySL3P_YoNvnsaRDCo3_dachang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Zi Char', 'Fish Soup']"
1,7936,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 630 Bedok Reservoir Road/shunfa_sf.jpg,Shun Fa Cooked Food,71,Bedok Reservoir Road Blk 630,01-03,,,0.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 630 Bedok Reservoir Road/shunfa_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
2,7937,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/kY98K6CJEFE7_NWCGKep67kLw_zaafirafamousfoodplace_sf.jpg,Zaafira Famous Food Place,74,Bedok Reservoir Road Blk 630,01-04,,Mon - Sun: 7am-5pm,0.0,"[{'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/kY98K6CJEFE7_NWCGKep67kLw_zaafirafamousfoodplace_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Biryani', 'Roti Prata']"
3,7938,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 630 Bedok Reservoir Road/tamanselera_sf.jpg,Taman Selera,68,Bedok Reservoir Road Blk 630,01-05,,,0.0,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 630 Bedok Reservoir Road/tamanselera_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Nasi Padang']
4,7939,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Z8wfiAN5PWog_ieFFSDfJECcS_dalbaasithplace_sf.jpg,D'Al Baasith Place,68,Bedok Reservoir Road Blk 630,01-06,,"Tue - Sun: 6.30am-5pm, Closed on Mon",82.0,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Z8wfiAN5PWog_ieFFSDfJECcS_dalbaasithplace_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Malay Cuisine']"
5,7940,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 630 Bedok Reservoir Road/vegetarian_sf.jpg,630 Vegetarian,72,Bedok Reservoir Road Blk 630,01-07,,"Wed - Mon: 4am-1.30pm, Closed on Tue",81.0,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 630 Bedok Reservoir Road/vegetarian_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Vegetarian']
6,7941,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/1an6cWFlCCxd_YfoRroVGJbvr_xueshanshushi_sf.jpg,Xue Shan Shu Shi,66,Bedok Reservoir Road Blk 630,01-08,,,82.0,"[{'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/1an6cWFlCCxd_YfoRroVGJbvr_xueshanshushi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chee Cheong Fun', 'Porridge']"
7,7942,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/b2JVbGCOwQCq_4Syfv1Ov6frK_taisengavenuecarrotcake_sf.jpg,Tai Seng Avenue Carrot Cake,69,Bedok Reservoir Road Blk 630,01-09,,,76.0,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/b2JVbGCOwQCq_4Syfv1Ov6frK_taisengavenuecarrotcake_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Carrot Cake']
8,7943,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/LRGzLGBwHdnr_EbB1QqRkgt4U_xinglishoushi_sf.jpg,Xing Li Shou Shi,70,Bedok Reservoir Road Blk 630,01-10,,"Tue - Sun: 7am-1pm, Closed on Mon",0.0,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/LRGzLGBwHdnr_EbB1QqRkgt4U_xinglishoushi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Carrot Cake']
9,7944,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 630 Bedok Reservoir Road/chengfa_sf.jpg,Cheng Fa Fried Kway Teow,72,Bedok Reservoir Road Blk 630,01-11,,Mon - Sun: 9am-2pm,60.5,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 630 Bedok Reservoir Road/chengfa_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Char Kway Teow']
