,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7058,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/amigo_sf.jpg,Amigo,72,Bendemeer Road Blk 29,01-12,,,0.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/amigo_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Minced Meat Noodles', 'Bak Chor Mee']"
1,7100,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/xiangji_sf.jpg,Xiang Ji Gao Dian,69,Bendemeer Road Blk 29,01-56,,,0.0,"[{'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/xiangji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chee Cheong Fun']
2,7115,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/soonhuat_sf.jpg,Soon Huat Cooked Food,71,Bendemeer Road Blk 29,01-71,,,71.0,"[{'Name': 'Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/soonhuat_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Kueh']
3,11480,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/meisi_sf.jpg,Mei Si Noodles,71,Bendemeer Road Blk 29,01-01,,,0.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/meisi_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Bak Chor Mee']"
4,11481,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/fuxing_sf.jpg,Fu Xing Fresh Fruits Juice,0,Bendemeer Road Blk 29,01-02,,,0.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/fuxing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
5,11482,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/fuquan_sf.jpg,Fu Quan Mixed Vegetables Rice Bee Hoon Mee,70,Bendemeer Road Blk 29,01-03,,Mon - Sun: 10am-7pm,70.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/fuquan_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Economy Rice', 'Economy Bee Hoon']"
6,11483,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/bendemeer_sf.jpg,Bendemeer Curry Rice,68,Bendemeer Road Blk 29,01-04,,"Wed - Mon: 7.30am-3pm, Closed on Tue",0.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/bendemeer_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Curry', 'Economy Bee Hoon']"
7,11484,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/litlitsin_sf.jpg,Lit Lit Sin Dessert,74,Bendemeer Road Blk 29,01-05,,Mon - Sun: 10am-5pm,78.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/litlitsin_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Dessert']
8,11485,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/economicbeehoonnasilemak_sf.jpg,Economic Bee Hoon Nasi Lemak,68,Bendemeer Road Blk 29,01-06,,,68.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/economicbeehoonnasilemak_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Economy Bee Hoon', 'Nasi Lemak']"
9,11486,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/wangui_m1.jpg,Wan Gui Beverages,0,Bendemeer Road Blk 29,01-07,,Mon - Sun: 9am-11pm,72.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/wangui_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
