,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8811,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 221 A-B Boon Lay Place/delisnacks_sf.jpg,Delisnacks,68,Boon Lay Place Blks 221A/B,01-95,,,0.0,"[{'Name': 'Hum Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 221 A-B Boon Lay Place/delisnacks_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao']
1,8812,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 221 A-B Boon Lay Place/hepotraditional_sf.JPG,He Po Traditional Hakka Lui Cha,68,Boon Lay Place Blks 221A/B,01-96,,Mon - Sun: 6am-2pm,80.0,"[{'Name': 'Thunder Rice Tea', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 221 A-B Boon Lay Place/hepotraditional_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Thunder Tea Rice']
2,8813,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 221 A-B Boon Lay Place/feifei_m1.JPG,Fei Fei,70,Boon Lay Place Blks 221A/B,01-97,,,0.0,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 221 A-B Boon Lay Place/feifei_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Yong Tau Foo', 'Economy Bee Hoon']"
3,8814,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210312/VgTyclLeS7PU_JVAE6eL6zS6F_Bedok%20511%20BBQ%20Chicken%20Wing%20%20%40%20Boon%20Lay%20Place%20221.jpeg.JPG,Bedok 5  BBQ Chicken Wing,66,Boon Lay Place Blks 221A/B,01-98,,,74.0,"[{'Name': 'BBQ Chicken', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/VgTyclLeS7PU_JVAE6eL6zS6F_Bedok%2520511%2520BBQ%2520Chicken%2520Wing%2520%2520%2540%2520Boon%2520Lay%2520Place%2520221.jpeg.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/jsUWNNE3ENV5_Lfb359BGFanT_Bedok%2520511%2520BBQ%2520Chicken%2520Wing%2520-%2520Menu%2520%2540%2520Boon%2520Lay%2520Place%2520221.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['BBQ Chicken', 'Satay']"
4,8815,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/pcXrqRrJORls_FnGjymTDi4xM_wu_m1.JPG,Wu Shao Kao Hai Xian,69,Boon Lay Place Blks 221A/B,01-99,,"Thu - Tue: 7am-10pm, Closed on Wed",0.0,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/pcXrqRrJORls_FnGjymTDi4xM_wu_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/jkD9wNsVai6o_Wu%20Shao%20Kao%20Hai%20Xian%20-%20Menu%20%40%20Boon%20Lay%20Place%20221.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Zi Char']
5,8816,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 221 A-B Boon Lay Place/soyabean_sf.JPG,Boon Lay Soya Bean Drink,71,Boon Lay Place Blks 221A/B,01-100,,,78.0,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 221 A-B Boon Lay Place/soyabean_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Soya Bean']
6,8817,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210312/dtbEj8wEdHMr_Yao Heng Cooked Food @ Boon Lay Place 221.JPG,Yao Heng Cooked Food,68,Boon Lay Place Blks 221A/B,01-101,,Mon - Sun: 7am-11.30pm,77.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bak Kut Teh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/dtbEj8wEdHMr_Yao%20Heng%20Cooked%20Food%20%40%20Boon%20Lay%20Place%20221.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/jpc8RXOH6zA6_Yao%20Heng%20Cooked%20Food%20-%20Menu%20%40%20Boon%20Lay%20Place%20221.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Bak Kut Teh']"
7,8818,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 221 A-B Boon Lay Place/kuehberkatchahya_sf.JPG,Kueh Berkat Chahya,72,Boon Lay Place Blks 221A/B,01-102,,,0.0,"[{'Name': 'Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 221 A-B Boon Lay Place/kuehberkatchahya_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Kueh']
8,8819,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210312/Bao5lkWJAoCa_Eng Seng Coffee Stall @ Boon Lay Place 221.JPG,Eng Seng Coffee Stall,0,Boon Lay Place Blks 221A/B,01-103,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/Bao5lkWJAoCa_Eng%20Seng%20Coffee%20Stall%20%40%20Boon%20Lay%20Place%20221.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/tuMP5kRkQn5F_bMGRqmfQ5Wyc_engseng_m2.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/Rc0v10OKAsv1_Eng%20Seng%20Coffee%20Stall%20-%20menu%20%40%20Boon%20Lay%20Place%20221.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
9,8820,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/TnDgRxrKpz9x_5m3ZVPS0aK9t_imohamedismail_m2.jpg,I.Mohamed Ismail Food Stall,71,Boon Lay Place Blks 221A/B,01-104,,Mon - Sun: 4am-10pm,73.0,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/TnDgRxrKpz9x_5m3ZVPS0aK9t_imohamedismail_m2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/OxQcjNbG0ZVJ_imohamedismail_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/T6ww3Vt2hifF_acT1T00Zcgw1_imohamedismail_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti Prata', 'Biryani']"
