,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6600,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/TWZDdIXwxL85_goldfishsoup_sf.jpg,Gold Fish Soup,67,Bukit Merah Central Blk 163,02-01,,,0.0,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/TWZDdIXwxL85_goldfishsoup_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fish Soup']
1,6601,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 163 Bukit Merah Central/lianheng_sf.jpg,Lian Heng Hot & Cold Desserts,68,Bukit Merah Central Blk 163,02-02,,Mon - Sun: 8am-8pm,70.0,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 163 Bukit Merah Central/lianheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dessert']
2,6602,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 163 Bukit Merah Central/meiji_sf.jpg,Mei ji Fish Ball Noodles,68,Bukit Merah Central Blk 163,02-03,,Mon - Sun: 8am-8pm,0.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 163 Bukit Merah Central/meiji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
3,6603,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/ju3n6pTEI7mL_zhongpin_sf.jpg,Zhong Pin Noodle House,70,Bukit Merah Central Blk 163,02-04,,"Sun - Fri: 8am-3pm, Closed on Sat",71.0,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/ju3n6pTEI7mL_zhongpin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Laksa', 'Bak Chor Mee']"
4,6604,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/jky9MjaWer14_lingheng_sf.jpg,Ling Heng Roast Meat,71,Bukit Merah Central Blk 163,02-05,,Mon - Sun: 10.30am-8pm,77.75,"[{'Name': 'Roast Meat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/jky9MjaWer14_lingheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Wanton Mee', 'Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
5,6605,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/55TxxudswnYy_lanxiang_sf.jpg,Lan Xiang Mee Hoon Kueh,68,Bukit Merah Central Blk 163,02-06,,"Mon - Fri: 11am-8pm, Sat & Sun: 11am-3pm",0.0,"[{'Name': 'Ban Mian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/55TxxudswnYy_lanxiang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Ban Mian']
6,6606,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 163 Bukit Merah Central/hupheng_sf.jpg,Hup Heng Economic Mixed Vegetable Rice,72,Bukit Merah Central Blk 163,02-07,,,0.0,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 163 Bukit Merah Central/hupheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Economy Rice']
7,6607,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/X6xsrNzoy7gk_soonlihuat_sf.jpg,Soon Li Huat Economic Bee Hoon & Nasi Lemak,68,Bukit Merah Central Blk 163,02-08,,,73.0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/X6xsrNzoy7gk_soonlihuat_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/QHlNg29Akptb_soonlihuat_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Economy Bee Hoon']"
8,6608,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/IJGgRCaZHs8R_sealaihong_sf.jpg,Sea Lai Hong Sugarcane Juice,0,Bukit Merah Central Blk 163,02-09,,Mon - Sun: 11.30am-8.30pm,67.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/IJGgRCaZHs8R_sealaihong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
9,6609,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/5733234JQJQ5_leesinhoon_sf.jpg,Lee Sin Hoon Coffee Stall,0,Bukit Merah Central Blk 163,02-10,,Mon - Sun: 6am-9pm,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/5733234JQJQ5_leesinhoon_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
