,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,10072,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/PtHyaN9DaajO_sisaket_sf.jpg,Sisaket Thai Food,90,Bukit Merah View Blk 115,01-01,,"fri - Wed: 10.30am-9.30pm, Closed on Thu",0,"[{'Name': 'Basil Pork Rice', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Tom Yum Fried Rice', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/BFOaBjvczCUi_Stallfront%20%288%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/Azj7a3GYysyc_Dish2_2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/NexS86iW7uLF_Dish1_Action1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thai']
1,10073,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/786yusoff_sf.jpg,786 Yusoff Mee Mutton Soup and Briyani,70,Bukit Merah View Blk 115,01-02,,Mon - Sun: 6am-10pm,72,"[{'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/786yusoff_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Mutton Soup (Indian)', 'Biryani']"
2,10074,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/fishballnoodles_sf.jpg,Fishball Noodles,69,Bukit Merah View Blk 115,01-03,,Mon - Sun: 5.30am-3pm,66,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/fishballnoodles_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
3,10075,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/wUNsevQANBW2_115cafe_sf.jpg,115 Cafe,0,Bukit Merah View Blk 115,01-04,,,75,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/wUNsevQANBW2_115cafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
4,10076,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/kimhuat_sf.jpg,Kim Huat Wanton Mee,81,Bukit Merah View Blk 115,01-05,,Mon - Sun: 6am-2.30pm,81,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/kimhuat_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Wanton Mee']
5,10077,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/laiheng_sf.jpg,Lai Heng,80,Bukit Merah View Blk 115,01-06,,"Tue - Sun: 10am-10pm, Closed on Mon",0,"[{'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fried Oyster', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/gUFRUS6cbxRn_Stallfront%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/QIEufOKC8I4E_Dishes_3.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/KeS9oYGoKvSu_Dish2_3.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Hokkien Mee', 'Fried Oyster']"
6,10078,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210913/p47891UkIueN_Hong Xing Handmade Fishball Meatball Noodles @ 115 Bukit Merah View.jpeg,Hong Xing Handmade Fishball Meatball Noodle,80,Bukit Merah View Blk 115,01-07,,"Thu - Tue: 7am-6pm, Closed on Wed",0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Meatball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/eePgzWyIE7fZ_Stallfront%20%2819%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/Wo65gO5gnJey_Dish_Action1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/0KFy0xmOjrEj_Dish_4%20%282%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']"
7,10079,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/fengji_sf.jpg,Feng Ji Xiao Chi,67,Bukit Merah View Blk 115,01-08,,"Mon - Sun: 12pm-2pm, 5pm-10.30pm",0,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/fengji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Zi Char']
8,10080,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/6Ero9KOjdQba_charcoalgrilled_sf.jpg,Charcoal Grilled,78,Bukit Merah View Blk 115,01-09,,Mon - Sun: 5.30pm-9pm,0,"[{'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/6Ero9KOjdQba_charcoalgrilled_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Rojak', 'Satay']"
9,10081,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/eelotMUpGH7Y_risheng_sf.jpg,Ri Sheng F & B,76,Bukit Merah View Blk 115,01-10,,Mon - Sun: 7am-10pm,0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/eelotMUpGH7Y_risheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]",['Beverages']
