,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8689,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/IwHpjvGwHJf0_warongtehkopitarik_sf.jpg,Warong Teh N Kopi Tarik,0,Changi Village Road Blks 2 & 3 ,01-01,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/IwHpjvGwHJf0_warongtehkopitarik_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
1,8690,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210312/WWY29X08FTHE_hajjahsapiah_sf.jpg,Hajjah Sapiah Muslim Stall,68,Changi Village Road Blks 2 & 3 ,01-02,,,0,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/WWY29X08FTHE_hajjahsapiah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Padang', 'Mee Rebus']"
2,8691,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/PLHTYZOSjEco_internationalmuslimfood_sf.jpg,International Muslim Food Stall Nasi Lemak,77,Changi Village Road Blks 2 & 3 ,01-03,,"Mon - Fri: 9.30am-1.30pm, 6pm-Midnight, Sat: 9.30am-7.30pm, Sun: 9.30am-Midnight",0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/PLHTYZOSjEco_internationalmuslimfood_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak']
3,8692,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/qOuqvKzZ6u9n_hjhsalbiah_sf.jpg,HJH. Salbiah,68,Changi Village Road Blks 2 & 3 ,01-04,,,0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/qOuqvKzZ6u9n_hjhsalbiah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Lontong']"
4,8693,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/uWmaZ8QJkIIn_naseebmuslim_sf.jpg,Naseeb Muslim Food Stall,66,Changi Village Road Blks 2 & 3 ,01-05,,,0,"[{'Name': 'Roti John', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/uWmaZ8QJkIIn_naseebmuslim_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti John', 'Mee Goreng']"
5,8694,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/K6clnW6BljmQ_safitehtarik_sf.jpg,Safi Teh Tarik Corner,0,Changi Village Road Blks 2 & 3 ,01-06,,,76,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/K6clnW6BljmQ_safitehtarik_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
6,8695,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210312/3m25IYzAzeXQ_aspirasi_sf.jpg,Aspirasi,71,Changi Village Road Blks 2 & 3 ,01-07,,,72,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/3m25IYzAzeXQ_aspirasi_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
7,8696,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/0tfBlD1FCHoN_desserthouse_sf.jpg,Changi V. Dessert House,68,Changi Village Road Blks 2 & 3 ,01-08,,"Thu - Tue: 11.30am-10pm, Closed on Wed",66,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/0tfBlD1FCHoN_desserthouse_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dessert']
8,8697,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/1hgehj1JPq4m_01019bbq_sf.jpg,01019 BBQ,67,Changi Village Road Blks 2 & 3 ,01-09,,,75,"[{'Name': 'Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/1hgehj1JPq4m_01019bbq_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Seafood']
9,8698,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/JbHWJjDqtK0Y_angtecklim_sf.jpg,Ang Teck Lim Drink Stall,0,Changi Village Road Blks 2 & 3 ,01-10,,,81,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/JbHWJjDqtK0Y_angtecklim_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
10,8699,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/A2Bw5Eb7XPaO_warungmamapower_sf.jpg,Warung Mama Power,73,Changi Village Road Blks 2 & 3 ,01-11,,,0,"[{'Name': 'Tulang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/A2Bw5Eb7XPaO_warungmamapower_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Tulang', 'Mee Goreng']"
11,8700,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/xIlgpMChcq0n_traditionalnasilemak_sf.jpg,Traditional Nasi Lemak,74,Changi Village Road Blks 2 & 3 ,01-12,,,0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/xIlgpMChcq0n_traditionalnasilemak_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak']
12,8701,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210312/MdTdpKFDMkJ2_carrotcake_sf.jpg,Changi Village Carrot Cake,67,Changi Village Road Blks 2 & 3 ,01-13,,Mon - Sun: 7am-7pm,80,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/MdTdpKFDMkJ2_carrotcake_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Carrot Cake']
13,8702,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/WvVb5oEmWed5_riversidesugarcanejuice_sf.jpg,Riverside Sugarcane Juice,0,Changi Village Road Blks 2 & 3 ,01-14,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/WvVb5oEmWed5_riversidesugarcanejuice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
14,8703,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/vrGeKDSJzUvL_haowii_sf.jpg,Haowii,67,Changi Village Road Blks 2 & 3 ,01-15,,,70,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/vrGeKDSJzUvL_haowii_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Bak Chor Mee']"
15,8704,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/pXIyUNVbFqya_zhuanglong_sf.jpg,Zhuang Long Sugarcane Juice Ice Blended Drinks,0,Changi Village Road Blks 2 & 3 ,01-16,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/pXIyUNVbFqya_zhuanglong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
16,8705,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210312/S27Hroxty42v_fruitjuicestall_sf.jpg,Fruit Juice Stall,0,Changi Village Road Blks 2 & 3 ,01-17,,,76,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/S27Hroxty42v_fruitjuicestall_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
17,8706,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210312/eJ32fpQJhZkO_originaltaste_sf.jpg,Original Taste Ipoh Hor Fun,72,Changi Village Road Blks 2 & 3 ,01-18/19,,,77,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hor Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/eJ32fpQJhZkO_originaltaste_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/0BqifhArtw3m_originaltaste_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Hor Fun']"
18,8707,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/hF7GUBEVOr8y_satay_sf.jpg,Changi Village Satay,72,Changi Village Road Blks 2 & 3 ,01-20,,,0,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/hF7GUBEVOr8y_satay_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Satay']
19,8708,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/sAvxAYu1fTJm_delightwesterncorner_sf.jpg,Delight Western Corner,73,Changi Village Road Blks 2 & 3 ,01-21,,,0,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/sAvxAYu1fTJm_delightwesterncorner_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine']
20,8709,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/qVq1OwhXdz9F_pmzackariadrinksstall_sf.jpg,P.M. Zackaria Drinks Stall,0,Changi Village Road Blks 2 & 3 ,01-22,,,73,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/qVq1OwhXdz9F_pmzackariadrinksstall_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
21,8710,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/dBcKT3NNriYq_paeletbymizzycorner_sf.jpg,Paelet by Mizzy Corner,68,Changi Village Road Blks 2 & 3 ,01-23,,,67,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Rawon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/dBcKT3NNriYq_paeletbymizzycorner_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Indonesian Cuisine']"
