,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,9154,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/vQOyahi2z0cy_meishiquan_sf.jpg,Mei Shi Quan,74,Ci Yuan Hawker Centre,01-04,,Mon - Sun: 11am-11pm,70.0,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/vQOyahi2z0cy_meishiquan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Char Kway Teow', 'Oyster Omelette']"
1,9155,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/voXHcRQXH8kq_ahkhoonauthentic_sf.jpg,Ah Khoon Authentic Hainanese Chicken Rice,74,Ci Yuan Hawker Centre,01-05,,Mon - Sun: 6.30am-10.30pm,81.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/voXHcRQXH8kq_ahkhoonauthentic_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
2,9156,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/RJb7cSrJvNbm_hkwantonnoodle_sf.jpg,HK Wanton Noodle,71,Ci Yuan Hawker Centre,01-06,,Mon - Sun: 7am-12pm,74.0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/RJb7cSrJvNbm_hkwantonnoodle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
3,9157,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/d6IBnUlzdHtH_teochewhandmade_sf.jpg,Teochew Handmade Fishball Noodle,72,Ci Yuan Hawker Centre,01-07,,24 hours daily,0.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/d6IBnUlzdHtH_teochewhandmade_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
4,9158,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/HUZAAmgHxM3a_meehoonkueh_sf.jpg,Mee Hoon Kueh Stall,73,Ci Yuan Hawker Centre,01-08,,Mon - Sun: 7am-Midnight,0.0,"[{'Name': 'Mee Hoon Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/HUZAAmgHxM3a_meehoonkueh_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ban Mian', 'Porridge']"
5,9159,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/Avde8M9b68On_namkeepau_sf.jpg,Nam Kee Pau,68,Ci Yuan Hawker Centre,01-09,,,0.0,"[{'Name': 'Dim Sum', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/Avde8M9b68On_namkeepau_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dim Sum']
6,9160,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/4O2RVafrR8Rl_yiwangyangshengtang_sf.jpg,Yi Wang Yang Sheng Tang,68,Ci Yuan Hawker Centre,01-10,,,0.0,"[{'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/4O2RVafrR8Rl_yiwangyangshengtang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Herbal Soup']
7,9161,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/WYwtdxPvN3Yy_126vegrice_sf.jpg,126 Veg Rice,65,Ci Yuan Hawker Centre,01-11,,,0.0,"[{'Name': 'Fish Head Curry', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/WYwtdxPvN3Yy_126vegrice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fish Head Curry', 'Economy Rice']"
8,9162,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Ci Yuan Hawker Centre - 40 stalls/yukee_sf.jpg,Yu Kee Duck Rice,68,Ci Yuan Hawker Centre,01-12,,Mon - Sun: 9am-9pm,0.0,"[{'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Ci Yuan Hawker Centre - 40 stalls/yukee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck']
9,9163,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/X4vjDQt06LcU_juedai_sf.jpg,Jue Dai Lor Mee,80,Ci Yuan Hawker Centre,01-13,,Mon - Sun: 7am-9pm,72.0,"[{'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/X4vjDQt06LcU_juedai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Lor Mee']
10,9164,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/tAfU90OTL2Z9_teochewsatay_sf.jpg,Teochew Satay Bee Hoon,66,Ci Yuan Hawker Centre,01-14,,,66.0,"[{'Name': 'Satay Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/tAfU90OTL2Z9_teochewsatay_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Satay Bee Hoon', 'Laksa']"
11,9165,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/YG6mBn5MyX8B_guangzai_sf.jpg,Guang Zai Teochew Fish Soup,67,Ci Yuan Hawker Centre,01-15,,,75.0,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Seafood Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/YG6mBn5MyX8B_guangzai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Seafood Soup']"
12,9166,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/6LAc38DJ4zdi_fattyfried_sf.jpg,Fatty Fried Hokkien Prawn Noodle / Carrot Cake,67,Ci Yuan Hawker Centre,01-16,,"Mon - Fri: 10am-9pm, Sat & Sun: 8am-9pm",80.57142857,"[{'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/6LAc38DJ4zdi_fattyfried_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Hokkien Mee', 'Carrot Cake']"
13,9167,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/nwiBZJcf3mVd_tamakoramenya_sf.jpg,Tamako Ramen-ya,74,Ci Yuan Hawker Centre,01-17,,,75.0,"[{'Name': 'Japanese', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/nwiBZJcf3mVd_tamakoramenya_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Japanese Cuisine']
14,9168,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/A29KMdX9Knal_wakerchicken_sf.jpg,Waker Chicken,66,Ci Yuan Hawker Centre,01-18,,,66.0,"[{'Name': 'Korean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/A29KMdX9Knal_wakerchicken_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Korean Cuisine']
15,9169,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/rMgxePwkCN2F_youtiansoyabean_sf.jpg,You Tiao Soya Bean,73,Ci Yuan Hawker Centre,01-19,,,80.0,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/rMgxePwkCN2F_youtiansoyabean_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Soya Bean', 'You Tiao']"
16,9170,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Ci Yuan Hawker Centre - 40 stalls/xingzai_sf.jpg,Xing Zai Mushroom Minced Meat Noodle,71,Ci Yuan Hawker Centre,01-20,,,0.0,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Ci Yuan Hawker Centre - 40 stalls/xingzai_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/article/20220121/IRH2NzIao7Fq_mushroom%20minced%20meat%20noodle.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/article/20220121/h1PTvG3FE0sx_L1010813.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/article/20220121/aRwXLyxk2HZl_L1010814.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/article/20220121/Zq27DNubAZfR_L1010822.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Bak Chor Mee']"
17,9171,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/NPCrnd5ChSUG_drinksstall_sf.jpg,Drinks Stall,0,Ci Yuan Hawker Centre,01-21,,,70.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/NPCrnd5ChSUG_drinksstall_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
18,9172,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/XAkAbwhVY3JY_yonghk_sf.jpg,Yong HK Roasted Meat,68,Ci Yuan Hawker Centre,01-22,,"Fri - Wed: 11am-8.30pm, Closed on Thu",0.0,"[{'Name': 'Roast Meat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Char Siew Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/XAkAbwhVY3JY_yonghk_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
19,9173,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/im02z2xDpOKL_hongkongchefskitchen_sf.jpg,Hong Kong Chef's Kitchen,69,Ci Yuan Hawker Centre,01-23/24,,Mon - Sun: 5pm-1am,0.0,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/im02z2xDpOKL_hongkongchefskitchen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Ci Yuan Hawker Centre - 40 stalls/hongkongchefskitchen_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Zi Char']
20,9174,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Ci Yuan Hawker Centre - 40 stalls/dessert_sf.jpg,Dessert Stall,68,Ci Yuan Hawker Centre,01-25,,Mon - Sun: 8.30am-10pm,77.0,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Ci Yuan Hawker Centre - 40 stalls/dessert_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dessert']
21,9175,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Ci Yuan Hawker Centre - 40 stalls/hkputienxinghua_sf.jpg,HK Pu Tien Xing Hua White Bee Hoon,70,Ci Yuan Hawker Centre,01-26,,"Wed - Mon: 9am-5pm, Closed on Tue",0.0,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Ci Yuan Hawker Centre - 40 stalls/hkputienxinghua_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Zi Char']
22,9176,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/TS6Gd7inJ5LW_jswestern_sf.jpg,J's Western,68,Ci Yuan Hawker Centre,01-27,,Mon - Sun: 10am-10pm,0.0,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/TS6Gd7inJ5LW_jswestern_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine']
23,9177,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Ci Yuan Hawker Centre - 40 stalls/hainanesecurryrice_sf.jpg,Hainanese Curry Rice,74,Ci Yuan Hawker Centre,01-28,,Mon - Sun: 9am-9pm,73.0,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Ci Yuan Hawker Centre - 40 stalls/hainanesecurryrice_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Curry']
