,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7522,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/fdLZtfX9xGFf_alham_sf.jpg,Alham (Eunos Crescent),72,Eunos Crescent Blk 4A ,01-01,,Mon - Sun: 6am-11.30pm,67,"[{'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/fdLZtfX9xGFf_alham_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Malay Cuisine', 'Mee Siam']"
1,7523,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/1MO8zlgKzYQZ_dapurmarmi_sf.jpg,Dapur Marmi,72,Eunos Crescent Blk 4A ,01-02,,,0,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/1MO8zlgKzYQZ_dapurmarmi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Padang', 'Lontong']"
2,7524,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ZOYi6zFeGtet_kacangpoolspecial_sf.jpg,Kacang Pool Special,73,Eunos Crescent Blk 4A ,01-03,,Mon - Sun: 6am-10pm,0,"[{'Name': 'Roti John', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Gado Gado', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ZOYi6zFeGtet_kacangpoolspecial_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti John', 'Gado Gado']"
3,7525,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/E6mjoZqa7FOI_hassansarbat_sf.jpg,Hassan Sarbat Stall,0,Eunos Crescent Blk 4A ,01-04,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/E6mjoZqa7FOI_hassansarbat_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
4,7526,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/FmDf7tAkC7KX_sjsickandarammalmuslim_m1.jpg,S.J Sickandar Ammal Muslim Foods,65,Eunos Crescent Blk 4A ,01-05,,Mon - Sun: 6.30am-10.30pm,0,"[{'Name': 'Roti John', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Gado Gado', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/FmDf7tAkC7KX_sjsickandarammalmuslim_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti John', 'Gado Gado']"
5,7527,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/qP8cCLojBrXE_shahsdelight_sf.jpg,Shah's Delight Cuisine,66,Eunos Crescent Blk 4A ,01-06,,Mon - Sun: 6.30am-11pm,0,"[{'Name': 'Apam Balek', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/qP8cCLojBrXE_shahsdelight_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Apam Balik']
6,7528,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/1R4M7DGTBHc8_jimmanashahan_sf.jpg,Jimmana Shahan Drink Stall,0,Eunos Crescent Blk 4A ,01-07,,,77,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/1R4M7DGTBHc8_jimmanashahan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
7,7529,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 4A Eunos Crescent - 42 stalls/sjsickandarammalindianrojak_sf.jpg,S.J Sickandar Ammal Muslim Foods Indian Rojak Nasi Briyani,70,Eunos Crescent Blk 4A ,01-08,,,67,"[{'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Indian Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 4A Eunos Crescent - 42 stalls/sjsickandarammalindianrojak_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Biryani', 'Indian Rojak']"
8,7530,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/vYqEBBTAObKd_epokepok_sf.jpg,Epok Epok Central Muslim Food,68,Eunos Crescent Blk 4A ,01-09,,"Tue - Sun: 2pm-7pm, Closed on Mon",70,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Epok Epok', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/vYqEBBTAObKd_epokepok_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Epok Epok']"
9,7531,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/F21uM390MSxy_darulaman_sf.jpg,Darul Aman Nasi Padang,71,Eunos Crescent Blk 4A ,01-10,,,0,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/F21uM390MSxy_darulaman_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Padang']
