,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7970,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/WbLujdO6yqr6_juxing_sf.jpg,Ju Xing Hainanese Boneless Chicken Rice,71,Geylang Bahru Blk 69,01-01,,,0.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/WbLujdO6yqr6_juxing_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
1,7971,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 69 Geylang Bahru - 78 stalls/tiantianxiang_sf.jpg,Tian Tian Xiang Rojak,71,Geylang Bahru Blk 69,01-02,,Mon - Sun: 12pm-10pm,0.0,"[{'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 69 Geylang Bahru - 78 stalls/tiantianxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Rojak']
2,7972,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/D7uYZu0imCHu_xingwangfa_sf.jpg,Xing Wang Fa,72,Geylang Bahru Blk 69,01-03,,"Mon - Sat: 4pm-9pm, Sun: 12pm-9pm",0.0,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/D7uYZu0imCHu_xingwangfa_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Carrot Cake', 'Oyster Omelette']"
3,7973,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/pO85XJpjWHHS_putianyazhujiaxiangxiaoshi_sf.jpg,Pu Tian Ya Zhu Jia Xiang Xiao Shi,71,Geylang Bahru Blk 69,01-04,,,0.0,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/pO85XJpjWHHS_putianyazhujiaxiangxiaoshi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Zi Char']
4,7974,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/qr7jLyCm6ZYP_zhuming_sf.jpg,Zhu Ming Ma La Xiang Guo,68,Geylang Bahru Blk 69,01-05,,,0.0,"[{'Name': 'Mala', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/qr7jLyCm6ZYP_zhuming_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Mala']
5,7975,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/2RV89tVxQ4en_shifunoodles_sf.jpg,Shi Fu Noodles,70,Geylang Bahru Blk 69,01-06,,,0.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/2RV89tVxQ4en_shifunoodles_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Laksa']"
6,7976,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/o0FycowFH1Ku_jjyongtaufu_sf.jpg,JJ Yong Tau Fu,68,Geylang Bahru Blk 69,01-07,,,71.0,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/o0FycowFH1Ku_jjyongtaufu_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Yong Tau Foo', 'Laksa']"
7,7977,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/gbSiegm2szbo_everyoneprawnnoodle_sf.jpg,Everyone Prawn Noodle,66,Geylang Bahru Blk 69,01-08,,Mon - Sun: 6.30am-1pm,0.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/gbSiegm2szbo_everyoneprawnnoodle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Laksa']"
8,7978,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/xf7PF7eGoXcq_dawangong_sf.jpg,Da Wan Gong Sliced Fish Seafood Soup,67,Geylang Bahru Blk 69,01-10,,"Sun - Fri: 10am-9pm, Closed on Sat",0.0,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Seafood Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/xf7PF7eGoXcq_dawangong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Seafood Soup']"
9,7979,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/OG5hiLagM31F_huaxing_sf.jpg,Hua Xing Coffee,0,Geylang Bahru Blk 69,01-11,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/OG5hiLagM31F_huaxing_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
