,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,5560,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/KlSRAUBG1OjW_nasiambengnenekleng_sf.jpg,Nasi Ambeng Nenek Leng,70,Golden Mile Food Centre,B1-01,,,77,"[{'Name': 'Nasi Ambeng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/KlSRAUBG1OjW_nasiambengnenekleng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Indonesian Cuisine']
1,5561,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Y0Xqm4qzWiHo_cookedfoodstall_sf.jpg,Cooked Food Stall,70,Golden Mile Food Centre,B1-02,,,0,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Y0Xqm4qzWiHo_cookedfoodstall_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Rice', 'Herbal Soup']"
2,5562,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/3aIZVMKJA7cT_51soyabean_sf.jpg,51 Soya Bean,72,Golden Mile Food Centre,B1-04,,,76,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/3aIZVMKJA7cT_51soyabean_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Soya Bean']
3,5563,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Golden Mile Food Centre - 112 stalls/ronghua_sf.jpg,Rong Hua Hot & Cold Drinks,0,Golden Mile Food Centre,B1-05/08,,,73,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Golden Mile Food Centre - 112 stalls/ronghua_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Golden Mile Food Centre - 112 stalls/ronghua_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
4,5564,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/fc94o1btEVqX_jahlicious_sf.jpg,Jahlicious,67,Golden Mile Food Centre,B1-06,,,67,"[{'Name': 'Epok Epok', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/fc94o1btEVqX_jahlicious_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Epok Epok']
5,5565,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Golden Mile Food Centre - 112 stalls/dzsatay_sf.jpg,D&Z Satay & Chicken Wing Specialist,71,Golden Mile Food Centre,B1-07,,,70,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'BBQ Chicken', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Golden Mile Food Centre - 112 stalls/dzsatay_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Satay', 'BBQ Chicken']"
6,5566,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/v2zkcZ6dr0NX_mbdeenrasa_sf.jpg,M B Deen Rasa,0,Golden Mile Food Centre,B1-09,,,72,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/v2zkcZ6dr0NX_mbdeenrasa_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
7,5567,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/alTEowY7zUUl_nurhidayah_sf.jpg,Nurhidayah Food Corner,69,Golden Mile Food Centre,B1-10,,,78,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/alTEowY7zUUl_nurhidayah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Chicken Rice & Noodles']"
8,5568,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/7pk203DHD8T9_beardmans_sf.jpg,Beardman's Nasi Lemak Pandan,73,Golden Mile Food Centre,B1-11,,,68,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/7pk203DHD8T9_beardmans_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak']
9,5569,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Yahnz7ZjAlZo_hipster_sf.jpg,Nasi Lemak And Chicken Rice Hipster,73,Golden Mile Food Centre,B1-12,,,74,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Yahnz7ZjAlZo_hipster_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chicken Rice & Noodles', 'Nasi Lemak']"
