,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8579,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/EZzrs8q1BNIi_bismillahdrinks_sf.jpg,Bismillah Drinks Corner,0,Haig Road Blks 13/14 ,01-01,,,74.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/EZzrs8q1BNIi_bismillahdrinks_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
1,8580,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/w67wA3KtcSJb_nurkhairiah_sf.jpg,Nur Khairiah,71,Haig Road Blks 13/14 ,01-02,,,80.0,"[{'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/w67wA3KtcSJb_nurkhairiah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Lontong', 'Mee Rebus']"
2,8581,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/WT5l3r9tLwoy_eeheehdatanglagi_sf.jpg,Eeh!! Eeh!! Datang Lagi!!!,76,Haig Road Blks 13/14 ,01-03,,,0.0,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bubur', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/WT5l3r9tLwoy_eeheehdatanglagi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Bubur']"
3,8582,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/FAYgNSqzFeDY_kmamdusofffamily_sf.jpg,Kma Md Usoff Family,71,Haig Road Blks 13/14 ,01-04,,,70.0,"[{'Name': 'Ayam Bakar', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bawal Bakar', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/FAYgNSqzFeDY_kmamdusofffamily_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Malay Cuisine']
4,8583,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 13-14 Haig Road - 72 stalls/langkawimuslim_sf.jpg,Langkawi Muslim Food,72,Haig Road Blks 13/14 ,01-05,,,81.0,"[{'Name': 'Tulang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Pattaya', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 13-14 Haig Road - 72 stalls/langkawimuslim_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Tulang', 'Nasi Goreng']"
5,8584,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 13-14 Haig Road - 72 stalls/sangnila_sf.jpg,Sang 'Nila Hot & Cold Drinks,0,Haig Road Blks 13/14 ,01-06,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 13-14 Haig Road - 72 stalls/sangnila_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
6,8585,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Tudu6iB4pzdi_traditionalhaigroadputupiring_sf.jpg,Traditional Haig Road Putu Piring,69,Haig Road Blks 13/14 ,01-07,,Mon - Sun: 9.45am-10pm,88.5,"[{'Name': 'Putu Piring', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Tudu6iB4pzdi_traditionalhaigroadputupiring_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dessert']
7,8586,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/3QThT5FAMRrE_anisahscurrypuff_sf.jpg,Anisah's Curry Puff,71,Haig Road Blks 13/14 ,01-08,,,0.0,"[{'Name': 'Curry Puff', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/3QThT5FAMRrE_anisahscurrypuff_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Curry Puffs']
8,8587,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/mo9PDvwjUXBv_hajjahjamillahrajmohamed_sf.jpg,Hajjah Jamillah Rajmohamed Muslim Food,70,Haig Road Blks 13/14 ,01-09,,,0.0,"[{'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mutton Steak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/mo9PDvwjUXBv_hajjahjamillahrajmohamed_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mutton Soup (Indian)', 'Mutton Steak']"
9,8588,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 13-14 Haig Road - 72 stalls/hjhaishahomarandfamily_sf.jpg,HJH Aishah Omar & Family Malay Rice & Yong Tau Foo,69,Haig Road Blks 13/14 ,01-10,,,74.75,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 13-14 Haig Road - 72 stalls/hjhaishahomarandfamily_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Yong Tau Foo', 'Lontong']"
