,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6315,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/mingfa_sf.jpg,Ming Fa Duck Rice,66,Hougang Ave 1 Blk 105,02-01,,"Tue - Sat: 7am-12pm, Closed on Sun & Mon",0,"[{'Name': 'Duck Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/mingfa_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck']
1,6316,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/va8zgsWqyhzS_maosheng_sf.jpg,Mao Sheng Teochew Porridge,73,Hougang Ave 1 Blk 105,02-02,,"Mon - Sat: 6am-7pm, Closed on Sun",75,"[{'Name': 'Teochew Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/va8zgsWqyhzS_maosheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Teochew Porridge']
2,6317,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/shanyuan_sf.jpg,Shan Yuan Vegetarian,69,Hougang Ave 1 Blk 105,02-03,,,80,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/shanyuan_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Vegetarian']
3,6318,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/KkP93heSsKZ8_dongjinyuan_sf.jpg,Dong Jin Yuan Dian Xin,70,Hougang Ave 1 Blk 105,02-04,,,72,"[{'Name': 'Carrot Cake Sticks', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/KkP93heSsKZ8_dongjinyuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Carrot Cake', 'Snacks']"
4,6319,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/8mFVqsYfnrRi_econfriedbeehoon_sf.jpg,Econ Fried Bee Hoon,68,Hougang Ave 1 Blk 105,02-05,,,0,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/8mFVqsYfnrRi_econfriedbeehoon_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Economy Bee Hoon']
5,6320,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/FVN6O8FarfOR_dadmumtraditional_sf.jpg,Dad & Mum Traditional Pancake,68,Hougang Ave 1 Blk 105,02-06,,,72,"[{'Name': 'Min Jiang Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/FVN6O8FarfOR_dadmumtraditional_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Min Jiang Kueh']
6,6321,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/TNS0hRpHz0yz_seletarnamhoe_sf.jpg,Seletar Nam Hoe Bak Kut Teh,72,Hougang Ave 1 Blk 105,02-07,,,70,"[{'Name': 'Bak Kut Teh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Pork Organ Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/TNS0hRpHz0yz_seletarnamhoe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Bak Kut Teh', 'Pork Organ Soup']"
7,6322,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/gLriIuWZWoWt_soonlong_sf.jpg,Soon Long Cafe,0,Hougang Ave 1 Blk 105,02-08,,,81,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/gLriIuWZWoWt_soonlong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
8,6323,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/hele_sf.jpg,He Le Boneless Hainanese Chicken Rice,65,Hougang Ave 1 Blk 105,02-09,,,74,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/hele_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
9,6324,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/WDjr1vrljGDE_long_sf.jpg,Long Prawn Noodles,74,Hougang Ave 1 Blk 105,02-10,,,0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/WDjr1vrljGDE_long_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
10,6325,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/wangwang_sf.jpg,Wang Wang Wanton Noodles,68,Hougang Ave 1 Blk 105,02-11,,Mon - Sun: 6am-2.30pm,0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/wangwang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Wanton Mee', 'Minced Meat Noodles', 'Bak Chor Mee']"
11,6326,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/StvNMYCLH0RZ_bedok85friedcarrotcake_sf.jpg,Bedok 85 Fried Carrot Cake,67,Hougang Ave 1 Blk 105,02-12,,,0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/StvNMYCLH0RZ_bedok85friedcarrotcake_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']"
