,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7165,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/malr4mBZfBa6_CYrXLF94k0Rt_Lamchan_m1.JPG,Lam Chan Mixed Veg Rice,72,Jurong East Ave 1 Blk 347,01-180,,,71.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/malr4mBZfBa6_CYrXLF94k0Rt_Lamchan_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 1}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Economy Rice']
1,7166,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/wO2Gqq07xAv6_HYC6t7m5A1CF_famoussenghengfamilyrestaurant_sf.JPG,Famous Seng Heng Family Restaurant,72,Jurong East Ave 1 Blk 347,01-179,,Mon - Sun: 6am-8.30pm,100.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/wO2Gqq07xAv6_HYC6t7m5A1CF_famoussenghengfamilyrestaurant_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
2,7167,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/HLlrmcLQeJFy_XnQW154C4IWC_jiaxiangxiaochi_sf.JPG,Jia Xiang Xiao Chi,71,Jurong East Ave 1 Blk 347,01-178,,,80.0,"[{'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Prawn Fritters', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/HLlrmcLQeJFy_XnQW154C4IWC_jiaxiangxiaochi_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Siam', 'Prawn Fritters']"
3,7168,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/tianle_m1.JPG,Tian Le,72,Jurong East Ave 1 Blk 347,01-177,,,0.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/tianle_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']"
4,7169,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/dessert_sf.JPG,Dessert Stall,69,Jurong East Ave 1 Blk 347,01-176,,,70.0,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/dessert_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/dessert_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dessert']
5,7170,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/yongkee_sf.JPG,Yong Kee Hainanese Chicken Rice,65,Jurong East Ave 1 Blk 347,01-175,,,0.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/yongkee_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
6,7171,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/urVTdxvYgYF1_uqVE6IsEaZ8K_inghockkue_m1.JPG,Ing Hock Kue Coffee Stall,0,Jurong East Ave 1 Blk 347,01-174,,Mon - Sun: 5am-5pm,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/urVTdxvYgYF1_uqVE6IsEaZ8K_inghockkue_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
7,7172,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/chaoyang_sf.JPG,Chao Yang Teochew Porridge Mixed Veg Rice,68,Jurong East Ave 1 Blk 347,01-173,,Mon - Sun: 9am-8pm,77.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/chaoyang_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/chaoyang_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 2}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Teochew Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Economy Rice', 'Teochew Porridge']"
8,7173,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Gv1ZaEWSx2rG_ovnvvWXZ2Mo8_huaxingzhengyu_m1.JPG,Hua Xing Zheng Yu,67,Jurong East Ave 1 Blk 347,01-172,,,0.0,"[{'Name': 'Steamed Fish', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Assam Fish Head', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Gv1ZaEWSx2rG_ovnvvWXZ2Mo8_huaxingzhengyu_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/FEDe9vn0ZjWI_huaxingzhengyu_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Zi Char', 'Assam Fish']"
9,7174,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/uF8qTtA2eGGt_p65BVsYUQTr8_huaxingrougucha_sf.JPG,Hua Xing Rou Gu Cha,76,Jurong East Ave 1 Blk 347,01-171,,"Tue - Sun: 8.30am-7pm, Closed on Mon",0.0,"[{'Name': 'Bak Kut Teh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/uF8qTtA2eGGt_p65BVsYUQTr8_huaxingrougucha_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Bak Kut Teh']
