,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8245,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/vN8KehoRuu6l_tehtarikcafe_sf.PNG,Teh Tarik Cafe,0,Marine Parade Central Blk 84,01-01,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/vN8KehoRuu6l_tehtarikcafe_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
1,8246,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/azizaputupuring_sf.jpg,Aziza Putu Piring,68,Marine Parade Central Blk 84,01-02,,,0,"[{'Name': 'Putu Piring', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Goreng Pisang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/azizaputupuring_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Dessert', 'Goreng Pisang']"
2,8247,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/yokmariyok_sf.jpg,Yok Mari Yok Nasi Padang,68,Marine Parade Central Blk 84,01-03,,,75,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/yokmariyok_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Nasi Padang', 'Nasi Lemak']"
3,8248,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/qianwei_sf.jpg,Qian Wei,60,Marine Parade Central Blk 84,01-04,,,0,"[{'Name': 'Fish Head Curry', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/qianwei_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fish Head Curry', 'Zi Char']"
4,8249,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/kuchingoriginal_sf.jpg,Kuching Original Kolo Noodle Laksa,71,Marine Parade Central Blk 84,01-05,,,70,"[{'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kolo Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/kuchingoriginal_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Laksa', 'Kolo Mee']"
5,8250,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/lAAjZ9b1udiB_LdHzGpZqTMqp_katongpohfreshfruitjuice_sf.jpg,Katong Poh Fresh Fruit Juice,0,Marine Parade Central Blk 84,01-06,,,72,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/lAAjZ9b1udiB_LdHzGpZqTMqp_katongpohfreshfruitjuice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
6,8251,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/jsGOJHUtphb0_MRsQIFXvCX6i_yilufa_sf.jpg,Yi Lu Fa Hong Kong Roasted Meat,69,Marine Parade Central Blk 84,01-07,,,78,"[{'Name': 'Roast Meat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/jsGOJHUtphb0_MRsQIFXvCX6i_yilufa_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
7,8252,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/xLolylHVqhfy_w9Sxm74tmQnN_77banmian_sf.jpg,77 Ban Mian,67,Marine Parade Central Blk 84,01-08,,,68,"[{'Name': 'Ban Mian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/xLolylHVqhfy_w9Sxm74tmQnN_77banmian_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Ban Mian']
8,8253,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ebdP6BKbBlx0_M3dquq7uw2Ch_junshin_sf.jpg,Junshin Fish Soup,76,Marine Parade Central Blk 84,01-09,,,74,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ebdP6BKbBlx0_M3dquq7uw2Ch_junshin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fish Soup']
9,8254,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/yukee_sf.jpg,Yu Kee Duck Rice,70,Marine Parade Central Blk 84,01-10,,,77,"[{'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/yukee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck']
