,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,5706,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/PFcp8nU1sfik_buT81uEaffjo_no1maxwell_sf.jpg,No1 Maxwell,68,Maxwell Food Centre,01-01,,,70.0,"[{'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/PFcp8nU1sfik_buT81uEaffjo_no1maxwell_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Hokkien Mee', 'Wanton Mee']"
1,5707,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/h1EP4JHfZvdp_RTmMYVaOsywA_traditionalchineseclaypot_sf.jpg,Traditional Chinese Claypot,68,Maxwell Food Centre,01-02,,,0.0,"[{'Name': 'Claypot', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/h1EP4JHfZvdp_RTmMYVaOsywA_traditionalchineseclaypot_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Claypot']
2,5708,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/MqOksAp3Sixj_M4yfmYXMPsMJ_fuzhouoystercake_sf.jpg,Maxwell Fuzhou Oyster Cake,85,Maxwell Food Centre,01-05,,Mon - Sun: 9am-7pm,81.0,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/MqOksAp3Sixj_M4yfmYXMPsMJ_fuzhouoystercake_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Carrot Cake']
3,5709,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/gBg1SKPj94J6_Kd7eUNc16frN_fuzhoufishballwantonmee_m1.jpg,Fuzhou Fishball Wanton Mee,71,Maxwell Food Centre,01-06,,Mon - Sun: 11am-8pm,0.0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/gBg1SKPj94J6_Kd7eUNc16frN_fuzhoufishballwantonmee_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/GkDRUWB6TlUW_CB3xyqfQTKQV_fuzhoufishballwantonmee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Wanton Mee', 'Fishball Noodles']"
4,5710,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/iZdn0gZaLdRc_XQ6mGc8Onk3K_ahyai_sf.jpg,Ah Tai Hainanese Chicken Rice,95,Maxwell Food Centre,01-07,,"Wed - Mon: 10am-8pm, Closed on Tue",73.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/iZdn0gZaLdRc_XQ6mGc8Onk3K_ahyai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
5,5711,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/rpv3bJz35Odm_rHNsy8ecgboF_xintraditional_m1.jpg,Xin Traditional Coffee & Bread,0,Maxwell Food Centre,01-08,,,80.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rpv3bJz35Odm_rHNsy8ecgboF_xintraditional_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
6,5712,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/yongxiang_sf.jpg,Alimama,78,Maxwell Food Centre,01-09,,,0.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/yongxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Laksa', 'Bak Chor Mee']"
7,5713,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/tiantian_sf.jpg,Tian Tian Hainanese Chicken Rice,80,Maxwell Food Centre,01-10/11,,"Tue - Sun: 9.30am-7.30pm, Closed on Mon",67.5,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/tiantian_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/tiantian_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Chicken Rice & Noodles']
8,5715,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/lioncity_sf.jpg,Famous Queens Briyani,92,Maxwell Food Centre,01-12,,,82.66666667,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/lioncity_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Biryani', 'Indian']"
9,5716,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/kNbPSCBAGJm1_9ZkPdOeL69dQ_quanyuan_sf.jpg,Quan Yuan Fresh Fruit Juice,0,Maxwell Food Centre,01-14,,Mon - Sun: 9am-9pm,77.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/kNbPSCBAGJm1_9ZkPdOeL69dQ_quanyuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
