,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6796,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/7VN0CDKFL0qH_2HP6XuwyXr2t_joohz_sf.jpg,Joohz Cold Pressed & Ice Blended,0,New Upper Changi Road Blk 208B,01-01,,"Tue - Sun: 11am-8.30pm, Closed on Mon",0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/7VN0CDKFL0qH_2HP6XuwyXr2t_joohz_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
1,6797,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/cdaTGP1PCbgj_C7kl4HYPu4l2_kinkhaoyang_sf.jpg,Kin Khao Yang,67,New Upper Changi Road Blk 208B,01-02,,,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/8BrATQU4TJ4Y_o5SrIuzxroOD_kinkhaoyang_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/cdaTGP1PCbgj_C7kl4HYPu4l2_kinkhaoyang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 2}, {'Name': 'Thai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Thai']
2,6798,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 208B New Upper Changi Road/pinxiang_m1.jpg,Pin Xiang Chicken Rice,71,New Upper Changi Road Blk 208B,01-03,,Mon - Sun: 9.30am-9.30pm,0.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 208B New Upper Changi Road/pinxiang_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
3,6799,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/dWRnQQ5JkB5A_9mKNk7j8OWKH_xianwei_sf.jpg,Xian Wei Seafood Soup,65,New Upper Changi Road Blk 208B,01-04,,,72.0,"[{'Name': 'Seafood Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/dWRnQQ5JkB5A_9mKNk7j8OWKH_xianwei_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Seafood Soup', 'Fish Soup']"
4,6800,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 208B New Upper Changi Road/whampoasoyabean_sf.jpg,Whampoa Soya Bean,69,New Upper Changi Road Blk 208B,01-05,,,66.0,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 208B New Upper Changi Road/whampoasoyabean_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Soya Bean']
5,6801,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 208B New Upper Changi Road/tongfongfatt_sf.jpg,Tong Fong Fatt Hainanese Boneless Chicken Rice,72,New Upper Changi Road Blk 208B,01-06,,,75.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 208B New Upper Changi Road/tongfongfatt_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
6,6802,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/uJiZ8czIBIMv_QyPxikWYbrGD_penangkitchen_sf.jpg,Penang Kitchen,69,New Upper Changi Road Blk 208B,01-07,,,81.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/uJiZ8czIBIMv_QyPxikWYbrGD_penangkitchen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Lor Mee']"
7,6803,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/MFXanprJWhjd_OUTH8agfUHB4_currymixedveg_sf.jpg,Curry Mixed Veg Rice,69,New Upper Changi Road Blk 208B,01-08,,,0.0,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/MFXanprJWhjd_OUTH8agfUHB4_currymixedveg_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Curry', 'Economy Rice']"
8,6804,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/1KQJYGhrJjPT_Ai7t5xugHcsk_xinkeesignature_sf.jpg,Xin Kee Signature Curry House,70,New Upper Changi Road Blk 208B,01-09,,"Mon - Sat: 11am-9pm, Closed on Sun",0.0,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/1KQJYGhrJjPT_Ai7t5xugHcsk_xinkeesignature_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Curry']
9,6805,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 208B New Upper Changi Road/meixiang_sf.jpg,Mei Xiang Prawn Noodle,77,New Upper Changi Road Blk 208B,01-10,,Mon - Sun: 11am-11pm,0.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 208B New Upper Changi Road/meixiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Lor Mee']"
