,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7835,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Zrml4nshTzKD_ugKgNHVoFmP7_baobao_sf.jpg,Bao Bao Vegetarian Food  8,73,New Upper Changi Road Blk 58 ,01-148,,"Mon - Fri: 5am-12pm, Sat & Sun: 5am-1pm",77,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Zrml4nshTzKD_ugKgNHVoFmP7_baobao_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian']
1,7836,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/AWMkOpigzrp7_rIKVaujSXMV8_thowyen_sf.jpg,Thow Yen Foodstuffs,71,New Upper Changi Road Blk 58 ,01-149,,,67,"[{'Name': 'Dim Sum', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/AWMkOpigzrp7_rIKVaujSXMV8_thowyen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dim Sum']
2,7837,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/xinxi_sf.jpg,Xin Xi Chwee Kueh,77,New Upper Changi Road Blk 58 ,01-150,,,70,"[{'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/xinxi_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Chwee Kueh', 'Chee Cheong Fun']"
3,7838,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/XMCTGbTCfhPU_Bxsvst5sXhED_58mincedmeatmee_sf.jpg,58 Minced Meat Mee,73,New Upper Changi Road Blk 58 ,01-151,,Mon - Sun: 5am-2pm,0,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/XMCTGbTCfhPU_Bxsvst5sXhED_58mincedmeatmee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Bak Chor Mee']"
4,7839,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/zeMAS5lQChe8_EUzFmf3bfFai_youcai_sf.jpg,You Cai Wanton Mee,69,New Upper Changi Road Blk 58 ,01-152,,,0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/zeMAS5lQChe8_EUzFmf3bfFai_youcai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
5,7840,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/originalchangitenmile_sf.jpg,Original Changi Ten Mile,68,New Upper Changi Road Blk 58 ,01-153,,,0,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/originalchangitenmile_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Carrot Cake']
6,7841,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/soonheng_sf.jpg,Soon Heng Coffee Stall,0,New Upper Changi Road Blk 58 ,01-154,,Mon - Sun: 2am-2pm,80,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/soonheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
7,7842,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/jxmCxy2OwUJe_qtIG4O8G9wno_tianlai_sf.jpg,Tian Lai Fried You Tiao,69,New Upper Changi Road Blk 58 ,01-155,,,72,"[{'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/jxmCxy2OwUJe_qtIG4O8G9wno_tianlai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['You Tiao']
8,7843,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Q2HQXEHOQZ5A_KAU0P2O667uF_guanhian_sf.jpg,Guan Hian Nasi LEmak,71,New Upper Changi Road Blk 58 ,01-156,,,0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Q2HQXEHOQZ5A_KAU0P2O667uF_guanhian_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak']
9,7844,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/xideli_sf.jpg,Xi De Li,68,New Upper Changi Road Blk 58 ,01-157,,,72,"[{'Name': 'Hum Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/xideli_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao']
