,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,9783,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/5sqoanYU4zRh_ahjuma_sf.jpg,Ahjuma Eco Bee Hoon,72,Hawker Centre @ Our Tampines Hub,01-31,,,66.85714286,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/5sqoanYU4zRh_ahjuma_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Economy Bee Hoon']
1,9784,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/jiale_sf.jpg,Jia Le Yong Tau Foo,66,Hawker Centre @ Our Tampines Hub,01-32,,,0.0,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/jiale_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Yong Tau Foo']
2,9785,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/cK0IZPILcLTt_coldhotbeverage_sf.jpg,Cold/Hot Beverage Coffee/Tea,0,Hawker Centre @ Our Tampines Hub,01-33,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/cK0IZPILcLTt_coldhotbeverage_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
3,9786,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/zLEkdP7R5gsE_japanesecurryhouse_sf.jpg,Japanese Curry House,68,Hawker Centre @ Our Tampines Hub,01-34,,,82.0,"[{'Name': 'Japanese', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/zLEkdP7R5gsE_japanesecurryhouse_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Japanese Cuisine']
4,9787,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/herbalsoup_sf.jpg,Herbal Soup,68,Hawker Centre @ Our Tampines Hub,01-35,,,82.0,"[{'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/herbalsoup_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Herbal Soup']
5,9788,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/3K3oZ9hBdyGQ_chinatownmala_sf.jpg,Chinatown Mala Hot Pot,70,Hawker Centre @ Our Tampines Hub,01-36,,,0.0,"[{'Name': 'Mala', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/3K3oZ9hBdyGQ_chinatownmala_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Mala']
6,9789,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/yukee_sf.jpg,Yu Kee Braised Duck Kway Chap,68,Hawker Centre @ Our Tampines Hub,01-37,,,0.0,"[{'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kway Chap', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/yukee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Braised Meat & Duck', 'Kway Chap']"
7,9790,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/yuanji_sf.jpg,Yuan Ji Handmade Noodles,71,Hawker Centre @ Our Tampines Hub,01-38,,,76.0,"[{'Name': 'Ban Mian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/yuanji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Ban Mian']
8,9791,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/8wNGKyTMp5jA_ofanz_sf.jpg,Ofanz Rojak Popiah,68,Hawker Centre @ Our Tampines Hub,01-39,,,0.0,"[{'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Popiah', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/8wNGKyTMp5jA_ofanz_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Rojak', 'Popiah']"
9,9792,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/rSMw83RH5ujs_imthaikitchen_sf.jpg,Im Thai Kitchen,68,Hawker Centre @ Our Tampines Hub,01-40,,Mon - Sun: 11am-Midnight,60.0,"[{'Name': 'Thai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/rSMw83RH5ujs_imthaikitchen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thai']
10,9793,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/iY8SOwa2qVxH_pangpang_sf.jpg,Pang Pang Wanton Noodle,68,Hawker Centre @ Our Tampines Hub,01-41,,Mon - Sun: 8am-11pm,77.0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/iY8SOwa2qVxH_pangpang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
11,9794,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/BHjvTplRJH7S_thaiboatnoodle_sf.jpg,Thai Boat Noodle,68,Hawker Centre @ Our Tampines Hub,01-42,,,72.0,"[{'Name': 'Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/BHjvTplRJH7S_thaiboatnoodle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",[]
12,9795,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/yongsengheng_sf.jpg,Yong Seng Heng Prawn Noodle,71,Hawker Centre @ Our Tampines Hub,01-43,,,65.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Pork Organ Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/yongsengheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Pork Organ Soup']"
13,9796,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/t2acEYplnXcf_thefishsoup_sf.jpg,The Fish Soup,69,Hawker Centre @ Our Tampines Hub,01-44,,,0.0,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Seafood Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/t2acEYplnXcf_thefishsoup_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Seafood Soup']"
14,9797,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/jueshi_sf.jpg,Jue Shi Lor Mee,70,Hawker Centre @ Our Tampines Hub,01-45,,,72.0,"[{'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Spinach Bee Hoon Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/jueshi_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Lor Mee', 'Spinach Soup']"
15,9798,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/justgreens_sf.jpg,Just Greens Vegetarian,72,Hawker Centre @ Our Tampines Hub,01-46,,,79.57142857,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/justgreens_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Vegetarian']
16,9799,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/MmiVUol6hW5F_aitianxin_sf.jpg,Ai Tian Xin Dessert,73,Hawker Centre @ Our Tampines Hub,01-47,,,0.0,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/MmiVUol6hW5F_aitianxin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dessert']
17,9800,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/KkehHNLDX5GE_mkuking_sf.jpg,mKuKing,72,Hawker Centre @ Our Tampines Hub,01-48,,,0.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/KkehHNLDX5GE_mkuking_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chicken Rice & Noodles', 'Char Kway Teow']"
18,9801,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/warongkims_sf.jpg,Warong Kim's Goreng Delights,68,Hawker Centre @ Our Tampines Hub,01-49,,,0.0,"[{'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/warongkims_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Hokkien Mee', 'Carrot Cake']"
19,9802,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/chickenrice_sf.jpg,Chicken Rice,69,Hawker Centre @ Our Tampines Hub,01-52,,,70.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Hawker Centre @ Our Tampines Hub - 43 stalls/chickenrice_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
20,9803,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210319/JlHtxNUeyiUk_Cold:Hot Beverage Coffee:Tea 01-53 @ Our Tampines Hub.jpg,Minum Minum Cold/Hot Beverage Coffee/Tea,0,Hawker Centre @ Our Tampines Hub,01-53,,,81.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210319/JlHtxNUeyiUk_Cold%3AHot%20Beverage%20Coffee%3ATea%2001-53%20%40%20Our%20Tampines%20Hub.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
21,9804,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/TANKyD8XhMLV_mrislamic_sf.jpg,Mr. Islamic Power Rojak,65,Hawker Centre @ Our Tampines Hub,01-54,,,74.0,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Indian Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/TANKyD8XhMLV_mrislamic_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti Prata', 'Indian Rojak']"
