,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,5862,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/UOuyR0vqTe6K_T631llXnS6NK_alehsan_sf.jpg,Al Ehsan Nasi Padang,68,Pasir Panjang Food Centre,01-01,,,73.0,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/UOuyR0vqTe6K_T631llXnS6NK_alehsan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Padang', 'Nasi Lemak']"
1,5863,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/eUkhxwghtZNs_JzS9vpX0WnQO_famoussataybbqchickenwing_sf.jpg,Famous Satay BBQ Chicken Wing,72,Pasir Panjang Food Centre,01-03,,,67.0,"[{'Name': 'BBQ Chicken', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/eUkhxwghtZNs_JzS9vpX0WnQO_famoussataybbqchickenwing_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['BBQ Chicken', 'Satay']"
2,5864,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/1FfcCeqoA2nq_ZERlWeiJHW6o_sinchinheng_sf.jpg,Sin Chin Heng Drinks Corner,0,Pasir Panjang Food Centre,01-05,,,82.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/1FfcCeqoA2nq_ZERlWeiJHW6o_sinchinheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
3,5865,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/V461KOlcDH5E_t0vSDBHwYqNi_tuixin_sf.jpg,Tui Xin,0,Pasir Panjang Food Centre,01-06,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/V461KOlcDH5E_t0vSDBHwYqNi_tuixin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
4,5866,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/YRaS6YENq9uO_QVh21hNqF6Zy_buasiam_sf.jpg,Bua Siam,74,Pasir Panjang Food Centre,01-07,,,0.0,"[{'Name': 'Thai Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/YRaS6YENq9uO_QVh21hNqF6Zy_buasiam_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thai']
5,5867,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/w7MiTKsw5d2p_orrY6K2lmnSH_yatian_sf.jpg,Ya Tian Curry Rice,70,Pasir Panjang Food Centre,01-09,,24 hours daily,77.0,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/w7MiTKsw5d2p_orrY6K2lmnSH_yatian_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Curry']
6,5868,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/3i1NE4VPuP4s_Pox0hoy7sMma_myfamilykitchen_sf.jpg,My Family Kitchen,73,Pasir Panjang Food Centre,01-10,,,67.0,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/3i1NE4VPuP4s_Pox0hoy7sMma_myfamilykitchen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Economy Rice']
7,5869,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/G0VQY751aRLu_n10Qk0qrGah2_liyuan_sf.jpg,Li Yuan,70,Pasir Panjang Food Centre,01-13,,,70.0,"[{'Name': 'Fried Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/G0VQY751aRLu_n10Qk0qrGah2_liyuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fried Rice', 'Oyster Omelette']"
8,5870,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210927/F4vCrNDHOvTS_pz4vgRd6jnBk_4 (1).jpg,Ivy's Hainanese Herbal Mutton Soup,85,Pasir Panjang Food Centre,01-14,,Mon - Sun: 11.30am-9pm,80.0,"[{'Name': 'Mutton Soup (Chinese)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/stall/20210927/A8eqOeg6Q4jj_pz4vgRd6jnBk_4.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Mutton Soup (Chinese)']
9,5871,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/jSGCZmZ4Udwh_7uqrAocHczdx_xinfuji_sf.jpg,Xin Fu Ji,77,Pasir Panjang Food Centre,01-15,,,72.0,"[{'Name': 'Seafood (Crab)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/jSGCZmZ4Udwh_7uqrAocHczdx_xinfuji_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Seafood']
