,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,9260,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/UUh7RrlM9I0L_alrahimsarbat_sf.jpg,Al-Rahim Sarbat Stall,0,Pasir Ris Central Hawker Centre,01-01,,,72.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/UUh7RrlM9I0L_alrahimsarbat_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
1,9261,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/unclepenyet_sf.jpg,Uncle Penyet,67,Pasir Ris Central Hawker Centre,01-02,,,78.0,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Ayam Panggang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/unclepenyet_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Malay Cuisine']"
2,9262,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ibZ69ABEaZcV_alrahim_sf.jpg,Al-Rahim Chicken Rice Delights,70,Pasir Ris Central Hawker Centre,01-03,,,68.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ibZ69ABEaZcV_alrahim_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
3,9263,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/arrahmaan_sf.jpg,Ar Rahmaan Indian Muslim Food,74,Pasir Ris Central Hawker Centre,01-04,,,74.0,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Indian Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/arrahmaan_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Roti Prata', 'Indian Rojak']"
4,9264,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/mingfa_sf.jpg,Ming Fa Fishball Noodles,69,Pasir Ris Central Hawker Centre,01-05,,,77.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/mingfa_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
5,9265,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/xideli_sf.jpg,Xi De Li,71,Pasir Ris Central Hawker Centre,01-06,,"Wed - Mon: 7am-4pm, Closed on Tue",68.0,"[{'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hum Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/xideli_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao']
6,9266,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/vXhdwg5516eL_uncleleesnoodlehouse_sf.jpg,Uncle Lee's Noodle House,68,Pasir Ris Central Hawker Centre,01-07,,,70.0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/vXhdwg5516eL_uncleleesnoodlehouse_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
7,9267,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/1NM9pYZEiSkH_xiangruigourmets_sf.jpg,Xiang Rui Gourmets,72,Pasir Ris Central Hawker Centre,01-08,,Mon - Sun: 7am-10.30pm,0.0,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/1NM9pYZEiSkH_xiangruigourmets_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge']
8,9268,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/fogfwgRUOeFg_yonho_sf.jpg,Yon Ho Hainanese Cuisine,71,Pasir Ris Central Hawker Centre,01-09,,,0.0,"[{'Name': 'Mutton Soup (Chinese)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Pork Organ Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/fogfwgRUOeFg_yonho_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mutton Soup (Chinese)', 'Pork Organ Soup']"
9,9269,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/xiangma_sf.jpg,Xiang Ma Traditional Taste,68,Pasir Ris Central Hawker Centre,01-10,,Mon - Sun: 7am-10.30pm,0.0,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/xiangma_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Mee Siam']"
10,9270,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/junyuan_sf.jpg,Jun Yuan House Of Fish,67,Pasir Ris Central Hawker Centre,01-11,,,70.33333333,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Seafood Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/junyuan_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Seafood Soup']"
11,9271,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/kopiteh_sf.jpg,Kopi.Teh,0,Pasir Ris Central Hawker Centre,01-12,,,72.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/kopiteh_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
12,9272,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/ricegarden_sf.jpg,Rice Garden,70,Pasir Ris Central Hawker Centre,01-13,,Mon - Sun: 7am-10.30pm,0.0,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/ricegarden_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Economy Rice']
13,9273,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/efeiUQS4KJyc_laomiandangjie_sf.jpg,Lao Mian Dang Jie,76,Pasir Ris Central Hawker Centre,01-14,,,71.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/efeiUQS4KJyc_laomiandangjie_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Lor Mee']"
14,9274,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/fHJM3Y3mawhZ_unclejim_sf.jpg,Uncle Jim Fresh Fruit Juice,0,Pasir Ris Central Hawker Centre,01-17,,,70.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/fHJM3Y3mawhZ_unclejim_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
15,9275,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/fangyibaodian_sf.jpg,Fang Yi Bao Dian,68,Pasir Ris Central Hawker Centre,01-18,,,79.0,"[{'Name': 'Dim Sum', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/fangyibaodian_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dim Sum']
16,9276,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/teochewseafood_sf.jpg,Teochew Seafood White Mee Hoon,67,Pasir Ris Central Hawker Centre,01-19,,,74.0,"[{'Name': 'White Mee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/teochewseafood_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['White Bee Hoon']
