,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,9104,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/lI8QdO5rXbHE_youseng_sf.jpg,You Seng Cooked Food,67,Pek Kio Market & Food Centre,01-01,,,0.0,"[{'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/lI8QdO5rXbHE_youseng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chee Cheong Fun', 'Porridge']"
1,9105,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pek Kio Market _ Food Centre - 50 stalls/zhengxing_sf.jpg,Zheng Xing Si Chao,69,Pek Kio Market & Food Centre,01-02,,,70.75,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pek Kio Market _ Food Centre - 50 stalls/zhengxing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Char Kway Teow', 'Hokkien Mee']"
2,9106,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/PpGOpRElljas_delicacy_sf.jpg,Delicacy Fish Soup,66,Pek Kio Market & Food Centre,01-03,,,0.0,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Seafood Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/PpGOpRElljas_delicacy_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Seafood Soup']"
3,9107,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pek Kio Market _ Food Centre - 50 stalls/soonhuat_m1.jpg,Soon Huat Wanton Noodle,66,Pek Kio Market & Food Centre,01-04,,,0.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pek Kio Market _ Food Centre - 50 stalls/soonhuat_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Wanton Mee']
4,9108,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/HiqsgSDLNNIV_famous_sf.jpg,Famous Chicken Rice,70,Pek Kio Market & Food Centre,01-05,,,76.8,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/HiqsgSDLNNIV_famous_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
5,9109,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pek Kio Market _ Food Centre - 50 stalls/cambridge_sf.jpg,Cambridge Coffee Stall,0,Pek Kio Market & Food Centre,01-06,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pek Kio Market _ Food Centre - 50 stalls/cambridge_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
6,9110,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/MvyiB17YREbC_ouyuan_sf.jpg,Ou Yuan,71,Pek Kio Market & Food Centre,01-07,,,0.0,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/MvyiB17YREbC_ouyuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Satay', 'Seafood']"
7,9111,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/vWOyiPq4j2pR_mmabdullah_sf.jpg,M M Abdullah Indian Muslim Food,72,Pek Kio Market & Food Centre,01-08,,,73.0,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/vWOyiPq4j2pR_mmabdullah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti Prata', 'Biryani']"
8,9112,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Pom7CCZJC4qH_johan_sf.jpg,Johan Muslim Food,68,Pek Kio Market & Food Centre,01-09,,,66.5,"[{'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Pom7CCZJC4qH_johan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Siam', 'Mee Rebus']"
9,9113,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pek Kio Market _ Food Centre - 50 stalls/wangwang_sf.jpg,Wang Wang,0,Pek Kio Market & Food Centre,01-10,,,78.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pek Kio Market _ Food Centre - 50 stalls/wangwang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
