,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,11642,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/5GPQiKW5mlvD_khaiyeng_sf.jpg,Khai Yeng Cheong Kee Mixed Vegetable,69,Shunfu Road Blk 320,02-01,,Mon - Sun: 8am-8pm,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/5GPQiKW5mlvD_khaiyeng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Economy Rice']
1,11643,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/hecheng_sf.jpg,He Cheng Cooked Food,71,Shunfu Road Blk 320,02-03,,,72.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/hecheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Nasi Lemak', 'Chwee Kueh']"
2,11644,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/AYmv5lv8N25C_dongnan_sf.jpg,Dong Nan Wanton Noodle,68,Shunfu Road Blk 320,02-04,,"Mon - Sat: 6.30am-3pm, Closed on Sun",70.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/AYmv5lv8N25C_dongnan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Wanton Mee']
3,11645,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/hengheng_sf.jpg,Heng Heng Fish Ball Noodle,67,Shunfu Road Blk 320,02-05,,Mon - Sun: 9.30am-9.30pm,81.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/hengheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Fishball Noodles']
4,11646,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/yBnocxYuDt3t_aroma_sf.jpg,Aroma Biryani,71,Shunfu Road Blk 320,02-06,,,74.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/yBnocxYuDt3t_aroma_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Biryani', 'Roti Prata']"
5,11647,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/FWhE2sEzCljZ_marsilingteochewfishsoup_sf.jpg,Marsiling Teochew Fish Soup,60,Shunfu Road Blk 320,02-07,,"Thu - Tue: 8am-7pm, Closed on Wed",0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/FWhE2sEzCljZ_marsilingteochewfishsoup_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Fish Soup']
6,11648,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/x22vWul6uWgN_happiecafe_sf.jpg,Happie Cafe Hot & Cold Drinks,0,Shunfu Road Blk 320,02-08,,Mon - Sun: 9am-2pm,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/x22vWul6uWgN_happiecafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages']
7,11649,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/huatheng_sf.jpg,Huat Heng Fried Prawn Mee Prawn Mee Soup,69,Shunfu Road Blk 320,02-09,,Mon - Sun: 7am-8pm,0.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/huatheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Prawn Noodles', 'Hokkien Mee']"
8,11650,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/liankee_sf.jpg,Lian Kee Roasted Chicken Rice Noodle Soup,70,Shunfu Road Blk 320,02-10,,Mon - Sun: 9am-8pm,0.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/liankee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Chicken Rice & Noodles']
9,11651,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/DPuQaK5VdcqS_quanann_sf.jpg,Quan Ann Prawn Mee,73,Shunfu Road Blk 320,02-11,,Mon - Sun: 6am-3pm,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/DPuQaK5VdcqS_quanann_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Prawn Noodles']
