,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,5968,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/nasilemak_m1.JPG,Nasi Lemak,68,Taman Jurong Market & Food Centre,03-167,,,74.0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/nasilemak_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Nasi Lemak']
1,5969,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/di3n603vM8m7_HfKw0vZupzT9_haizhen_m1.JPG,Hai Zhen,74,Taman Jurong Market & Food Centre,03-166,,"Mon - Sun: 11am-2pm, 4pm-8.30pm",0.0,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/di3n603vM8m7_HfKw0vZupzT9_haizhen_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/tjqnmA9KCwbw_haizhen_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Zi Char']
2,5970,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/hupsoon_sf.JPG,Hup Soon Rice & Porridge,70,Taman Jurong Market & Food Centre,03-164,,"Mon - Fri: 10am-8.30pm, Closed on Sat & Sun",79.0,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/hupsoon_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Porridge']
3,5971,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/gqenwZklCX4f_I0ki670oFKII_gorhiong_m1.JPG,Gor Hiong Prawn Cracker,69,Taman Jurong Market & Food Centre,03-163,,Mon - Sun: 11.30am-9pm,0.0,"[{'Name': 'Ngoh Hiong Prawn Cracker', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/gqenwZklCX4f_I0ki670oFKII_gorhiong_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/8GkRtALbZ6R5_gorhiong_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Ngoh Hiang']
4,5972,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/mg5Y4godoODA_XoBfavh7NEc2_junekee_m1.JPG,June Kee Noodle House,65,Taman Jurong Market & Food Centre,03-162,,,0.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/mg5Y4godoODA_XoBfavh7NEc2_junekee_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Lor Mee']"
5,5973,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Tpz3Jb4HdPuU_rXERmJgVaqwK_oriental_sf.JPG,Oriential Rojak Cuttlefish Tau Pok,67,Taman Jurong Market & Food Centre,03-161,,"Tue - Sun: 11.30am-8pm, Closed on Mon",67.0,"[{'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Tpz3Jb4HdPuU_rXERmJgVaqwK_oriental_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Rojak']
6,5974,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/yongsheng_m1.JPG,Yong Sheng,68,Taman Jurong Market & Food Centre,03-160,,,0.0,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/yongsheng_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Carrot Cake', 'Char Kway Teow']"
7,5975,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/S5Zw7bjRojhX_jndnIndRbA9E_sinarrezeki_m1.JPG,Sinar Rezeki,69,Taman Jurong Market & Food Centre,03-173,,,71.0,"[{'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/S5Zw7bjRojhX_jndnIndRbA9E_sinarrezeki_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/W3uKBOzbMwLS_sinarrezeki_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Malay Cuisine', 'Mee Rebus']"
8,5976,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/yingji_sf.JPG,Ying Ji Yun Tun Mian,68,Taman Jurong Market & Food Centre,03-172,,,74.25,"[{'Name': '', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 1}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/yingji_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 2}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/yingji_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 3}, {'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Curry Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Wanton Mee', 'Curry']"
9,5977,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/hongguan_sf.JPG,Hong Guan Cooked Food,70,Taman Jurong Market & Food Centre,03-139,,,70.0,"[{'Name': 'Claypot', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/hongguan_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Claypot']
