,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8189,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/O6zvXzkb330P_dt43X9G8ccic_tanzaimian_sf.jpg,Tan Zai Mian,68,Telok Blangah Drive Blk 79,01-01,,,0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/O6zvXzkb330P_dt43X9G8ccic_tanzaimian_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Noodles', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]",[]
1,8190,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/f519B9vZ3i8v_hengs_sf.PNG,Heng's Nasi Lemak,72,Telok Blangah Drive Blk 79,01-02,,"Sat - Thu: 6am-2pm, Closed on Fri",0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/f519B9vZ3i8v_hengs_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Economy Bee Hoon']"
2,8191,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 79 Telok Blangah Drive/hainanesescissorscurryrice_sf.jpg,Hainanese Scissors Curry Rice,69,Telok Blangah Drive Blk 79,01-03,,"Mon - Fri: 10.45am-1pm, Sat & Sun: 10am-1pm",77,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 79 Telok Blangah Drive/hainanesescissorscurryrice_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Curry']
3,8192,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Mps2nhbmeTnY_uYH6T5P6H7aC_mingfeng_sf.jpg,Ming Feng Drink Stall,0,Telok Blangah Drive Blk 79,01-04,,Mon - Sun: 5qm-3.30pm,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Mps2nhbmeTnY_uYH6T5P6H7aC_mingfeng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
4,8193,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ns6CJR3D1uMu_avnhW2uLxdm2_hongjimianshijia_sf.jpg,Hong Ji Mian Shi JIa,76,Telok Blangah Drive Blk 79,01-05,,"Sat - Thu: 6am-8pm, Closed on Fri",0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ns6CJR3D1uMu_avnhW2uLxdm2_hongjimianshijia_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
5,8194,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 79 Telok Blangah Drive/siangkee_sf.jpg,Siang Kee Fishball Minced Pork Noodle,69,Telok Blangah Drive Blk 79,01-06,,,0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 79 Telok Blangah Drive/siangkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
6,8195,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/z44ZQSe4QXBe_9Hd1beBqkhFi_sabeensara_sf.jpg,Sabeen Sara,76,Telok Blangah Drive Blk 79,01-07,,Mon - Sun: 7am-4pm,72,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/z44ZQSe4QXBe_9Hd1beBqkhFi_sabeensara_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti Prata', 'Biryani']"
7,8196,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/MXYwUYK3Y4nP_itYUTbQYeFJ2_angmohkia_sf.jpg,Ang Moh Kia Fishball Mee,69,Telok Blangah Drive Blk 79,01-08,,,66,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/MXYwUYK3Y4nP_itYUTbQYeFJ2_angmohkia_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']"
8,8197,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 79 Telok Blangah Drive/soonlee_sf.jpg,Soon Lee Hot & Cold Drinks,0,Telok Blangah Drive Blk 79,01-09,,24 hours daily,75,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 79 Telok Blangah Drive/soonlee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
9,8198,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/msjd226l55wo_yjrowmozXyIE_qishiniandai_sf.jpg,Qi Shi Nian Dai,0,Telok Blangah Drive Blk 79,01-10,,,81,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/msjd226l55wo_yjrowmozXyIE_qishiniandai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
