,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,11305,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/6uBt5BSoEuWT_laoshen_sf.jpg,Lao Shen Ji Si Mian,72,Toa Payoh Lorong 1 Blk 127,02-01,,"Tue - Sun: 7.30am-2pm, Closed on Mon",77.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/6uBt5BSoEuWT_laoshen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Shredded Chicken Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Fishball Noodles', 'Shredded Chicken Noodles']"
1,11306,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 127 Toa Payoh Lorong 1 - 40 stalls/teochewhandmadepau_sf.jpg,Teochew Handmade Pau,71,Toa Payoh Lorong 1 Blk 127,02-02 / 04,,"Tue - Sun: 6am-2pm, Closed on Mon",70.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 127 Toa Payoh Lorong 1 - 40 stalls/teochewhandmadepau_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 127 Toa Payoh Lorong 1 - 40 stalls/teochewhandmadepau_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Pau', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Dim Sum']
2,11307,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 127 Toa Payoh Lorong 1 - 40 stalls/mushroommincedmeatnoodle_sf.jpg,Mushroom Minced Meat Noodle,69,Toa Payoh Lorong 1 Blk 127,02-03,,"Tue - Sun: 6.30am-3pm, Closed on Mon",0.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 127 Toa Payoh Lorong 1 - 40 stalls/mushroommincedmeatnoodle_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Bak Chor Mee']"
3,11309,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Z6H0hARuWuhi_zhizhelai_sf.jpg,Zhi Zhe Lai You Tiao,72,Toa Payoh Lorong 1 Blk 127,02-05,,Mon - Sun: 6am-2pm,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Z6H0hARuWuhi_zhizhelai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['You Tiao']
4,11310,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/PNrCgKmSuaSh_currycookedfoodporridge_sf.jpg,Curry Cooked Food & Porridge,70,Toa Payoh Lorong 1 Blk 127,02-06,,Mon - Sun: 10am-4.30pm,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/PNrCgKmSuaSh_currycookedfoodporridge_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Economy Rice', 'Porridge']"
5,11311,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/D2gDa2jMiIIy_miaocheng_sf.jpg,Miao Cheng Vegetarian,71,Toa Payoh Lorong 1 Blk 127,02-07,,,77.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/D2gDa2jMiIIy_miaocheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Vegetarian']
6,11312,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ydtPC8Jcmyr8_shizhen_sf.jpg,Shi Zhen Fish Soup,60,Toa Payoh Lorong 1 Blk 127,02-08,,"Wed - Mon: 10.30am-3pm, 4.30pm-10pm, Closed on Tue",0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ydtPC8Jcmyr8_shizhen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Fish Soup']
7,11313,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/6VSMX3FdMt2v_kwongming_sf.jpg,Kwong Ming Cooked Food,69,Toa Payoh Lorong 1 Blk 127,02-09,,,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/6VSMX3FdMt2v_kwongming_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Nasi Lemak']
8,11314,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Zw1c8BXWw8Jh_angliang_sf.jpg,Ang Liang Tea House,0,Toa Payoh Lorong 1 Blk 127,02-10,,,73.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Zw1c8BXWw8Jh_angliang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages']
9,11315,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/YOs2z1mdDKEK_135fishballnoodle_sf.jpg,135 Fishball Noodle,71,Toa Payoh Lorong 1 Blk 127,02-11,,"Tue - Sun: 6.30am-3pm, Closed on Mon",67.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/YOs2z1mdDKEK_135fishballnoodle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Fishball Noodles']
