,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,12098,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/xideli_sf.jpg,Xi De Li,67,Whampoa Makan Place Blk 91,01-04,,,0,"[{'Name': 'Hum Chee Peng', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'You TIao', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/xideli_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao']
1,12099,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/xiangxiang_sf.jpg,Xiang Xiang Chwee Kueh,71,Whampoa Makan Place Blk 91,01-05,,"Tue - Sun: 7am-1pm, Closed on Mon",0,"[{'Name': 'Chwee Kueh', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/xiangxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chwee Kueh']
2,12100,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/724amkcarrotcake_sf.jpg,724 AMK Carrot Cake,69,Whampoa Makan Place Blk 91,01-06,,,80,"[{'Name': 'Carrot Cake', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/724amkcarrotcake_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Carrot Cake']
3,12101,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/1TlHZ5aIz3jh_A5iarbLhPeTa_teowchewkwaytiaomee_sf.jpg,Teowchew Kway Tiao Mee,71,Whampoa Makan Place Blk 91,01-07,,"Tues - Sat: 6am - 10.30am, Closed on Mon & Sun",0,"[{'Name': 'Kway Teow', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/1TlHZ5aIz3jh_A5iarbLhPeTa_teowchewkwaytiaomee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Kway Teow']
4,12102,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/VUzx6bEGCxSJ_oX9vy1f94UvS_auntiejunes_sf.jpg,Auntie June's Nasi Lemak,68,Whampoa Makan Place Blk 91,01-08,,"Mon - Sun: 7am-3pm, Closed on Fri ",66,"[{'Name': 'Nasi Lemak', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/VUzx6bEGCxSJ_oX9vy1f94UvS_auntiejunes_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak']
5,12103,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/gPXEWpxAsy72_iEhlEYmCk0Kn_wubajiu_sf.jpg,Wu Ba Jiu Coffee,0,Whampoa Makan Place Blk 91,01-09,,Mon - Sun: 4am-2pm,77,"[{'Name': 'Beverages', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/gPXEWpxAsy72_iEhlEYmCk0Kn_wubajiu_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
6,12104,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/hillviewsteamfood_sf.jpg,Hill View Steam Food,68,Whampoa Makan Place Blk 91,01-10,,"Tues - Sun: 4.30am-10.30am, Closed on Mon",77,"[{'Name': 'Nasi Lemak', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/hillviewsteamfood_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Porridge']"
7,12105,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/wjwTawLnUwZA_eSkHxRiEUTaW_balestiercafe_sf.jpg,Balestier Cafe,0,Whampoa Makan Place Blk 91,01-11,,,77,"[{'Name': 'Beverages', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/wjwTawLnUwZA_eSkHxRiEUTaW_balestiercafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
8,12106,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/hengkeecookedfood_sf.jpg,Heng Kee Cooked Food,71,Whampoa Makan Place Blk 91,01-12,,Mon - Sun: 7am-2pm,0,"[{'Name': 'Fishball Noodles', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Seafood Soup', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/hengkeecookedfood_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Seafood Soup']"
9,12107,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/curryrice_sf.jpg,Curry Rice,71,Whampoa Makan Place Blk 91,01-13,,Mon - Sun: 7am-11am,73,"[{'Name': 'Curry Rice', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/curryrice_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Curry']
