id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
sRFkYhzx5UUmqXefIGCN4Q,maxwell-food-centre-singapore-3,Maxwell Food Centre,https://s3-media1.fl.yelpcdn.com/bphoto/y69PToqhMANkSizV-U4fUA/o.jpg,False,https://www.yelp.com/biz/maxwell-food-centre-singapore-3?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,242,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",4.5,"{'latitude': 1.28033870373862, 'longitude': 103.844763135292}",[],$,"{'address1': '1 Kadayanallur St', 'address2': None, 'address3': None, 'city': 'Singapore', 'zip_code': '069184', 'country': 'SG', 'state': 'SG', 'display_address': ['1 Kadayanallur St', 'Singapore 069184', 'Singapore']}",+6562255632,+65 6225 5632,3785.312108718944
SlCla45T3fD6BgJAoVhVAA,lau-pa-sat-singapore-2,Lau Pa Sat,https://s3-media2.fl.yelpcdn.com/bphoto/63S8TVG1UXzOf4It630Hug/o.jpg,False,https://www.yelp.com/biz/lau-pa-sat-singapore-2?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,135,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",4.0,"{'latitude': 1.2805001, 'longitude': 103.8500214}",[],$,"{'address1': '18 Raffles Quay', 'address2': '', 'address3': '', 'city': 'Singapore', 'zip_code': '048582', 'country': 'SG', 'state': 'SG', 'display_address': ['18 Raffles Quay', 'Singapore 048582', 'Singapore']}",+6562202138,+65 6220 2138,3722.4593372426652
c7Ri-jVC0lvZbJtSPIsSEw,old-airport-road-food-centre-singapore,Old Airport Road Food Centre,https://s3-media1.fl.yelpcdn.com/bphoto/RQ2oY9RFsCvqwPepyjnaZA/o.jpg,False,https://www.yelp.com/biz/old-airport-road-food-centre-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,63,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}, {'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'latitude': 1.30817, 'longitude': 103.8857}",[],$,"{'address1': 'Block 51 Old Airport Rd', 'address2': '# 01-91', 'address3': '', 'city': 'Singapore', 'zip_code': '390051', 'country': 'SG', 'state': 'SG', 'display_address': ['Block 51 Old Airport Rd', '# 01-91', 'Singapore 390051', 'Singapore']}",+6590812898,+65 9081 2898,4153.997553679925
x2jTHznf6JPV0VXyt_J-wA,tiong-bahru-food-market-and-hawker-centre-singapore,Tiong Bahru Food Market & Hawker Centre,https://s3-media3.fl.yelpcdn.com/bphoto/KcKt_wn-tSKCwudQCd0hiA/o.jpg,False,https://www.yelp.com/biz/tiong-bahru-food-market-and-hawker-centre-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,50,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",4.5,"{'latitude': 1.28540603379402, 'longitude': 103.833169730234}",[],$,"{'address1': '30 Seng Poh Rd', 'address2': '#02-74', 'address3': '', 'city': 'Singapore', 'zip_code': '168898', 'country': 'SG', 'state': 'SG', 'display_address': ['30 Seng Poh Rd', '#02-74', 'Singapore 168898', 'Singapore']}",,,3643.4016180921144
hinGqQYvot8HtRYxSdr6FA,newton-food-centre-singapore,Newton Food Centre,https://s3-media2.fl.yelpcdn.com/bphoto/effCfCDqEKtuNpkY9DlRlw/o.jpg,False,https://www.yelp.com/biz/newton-food-centre-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,118,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",3.5,"{'latitude': 1.31213, 'longitude': 103.83933}",[],$,"{'address1': '500 Clemenceau Ave', 'address2': None, 'address3': None, 'city': 'Singapore', 'zip_code': '229495', 'country': 'SG', 'state': 'SG', 'display_address': ['500 Clemenceau Ave', 'Singapore 229495', 'Singapore']}",,,1100.5899089999687
bGLumbqXl6w5OFlbpC5dbg,east-coast-lagoon-food-village-singapore-2,East Coast Lagoon Food Village,https://s3-media4.fl.yelpcdn.com/bphoto/3MR_9kqoVAO5zTR-eRLjMA/o.jpg,False,https://www.yelp.com/biz/east-coast-lagoon-food-village-singapore-2?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,37,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",4.5,"{'latitude': 1.3070300000000001, 'longitude': 103.93508}",[],$,"{'address1': '1220 East Coast Pkwy', 'address2': '', 'address3': '', 'city': 'Singapore', 'zip_code': '468960', 'country': 'SG', 'state': 'SG', 'display_address': ['1220 East Coast Pkwy', 'Singapore 468960', 'Singapore']}",,,9597.881716581056
PLpsaOguQRtzxCCToKP8Jg,tekka-market-food-centre-singapore,Tekka Market Food Centre,https://s3-media4.fl.yelpcdn.com/bphoto/ORDNEWhwXxS4wmQBlwxATA/o.jpg,False,https://www.yelp.com/biz/tekka-market-food-centre-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,34,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",4.0,"{'latitude': 1.3066200000000001, 'longitude': 103.85077}",[],$,"{'address1': '665 Buffalo Rd', 'address2': 'Tekka Market', 'address3': None, 'city': 'Singapore', 'zip_code': '210665', 'country': 'SG', 'state': 'SG', 'display_address': ['665 Buffalo Rd', 'Tekka Market', 'Singapore 210665', 'Singapore']}",+6562944901,+65 6294 4901,882.1254600369343
iTLXia_dix_EKkDPMkf4Mg,chinatown-complex-market-and-food-centre-singapore,Chinatown Complex Market & Food Centre,https://s3-media2.fl.yelpcdn.com/bphoto/nDUvA30_LM9_XSmDSEDpbA/o.jpg,False,https://www.yelp.com/biz/chinatown-complex-market-and-food-centre-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,36,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",4.0,"{'latitude': 1.2825579999999999, 'longitude': 103.843122}",[],$,"{'address1': '335 Smith St', 'address2': '#02-127', 'address3': '', 'city': 'Singapore', 'zip_code': '050335', 'country': 'SG', 'state': 'SG', 'display_address': ['335 Smith St', '#02-127', 'Singapore 050335', 'Singapore']}",+6563720478,+65 6372 0478,3569.130511729368
lF5yLXVr7-VxTO1A8xU19g,amoy-street-food-centre-singapore,Amoy Street Food Centre,https://s3-media4.fl.yelpcdn.com/bphoto/tR4rBLLNeK_KnajD2IEo_w/o.jpg,False,https://www.yelp.com/biz/amoy-street-food-centre-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,24,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",4.5,"{'latitude': 1.2794, 'longitude': 103.84665}",[],$,"{'address1': '7 Maxwell Rd', 'address2': '', 'address3': '', 'city': 'Singapore', 'zip_code': '069111', 'country': 'SG', 'state': 'SG', 'display_address': ['7 Maxwell Rd', 'Singapore 069111', 'Singapore']}",,,3868.9003717359737
7BxPtWZXCZD8KNe59gCeTw,chomp-chomp-food-centre-singapore,Chomp Chomp Food Centre,https://s3-media4.fl.yelpcdn.com/bphoto/bCQEqbyIDFzL-FV06Ifhqw/o.jpg,False,https://www.yelp.com/biz/chomp-chomp-food-centre-singapore?adjust_creative=c4GcTek151L4GUCF32G4Xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=c4GcTek151L4GUCF32G4Xg,33,"[{'alias': 'hawkercentre', 'title': 'Hawker Centre'}]",4.0,"{'latitude': 1.3642399, 'longitude': 103.86649}",[],$,"{'address1': '20 Kensington Park Rd', 'address2': None, 'address3': None, 'city': 'Singapore', 'zip_code': '557269', 'country': 'SG', 'state': 'SG', 'display_address': ['20 Kensington Park Rd', 'Singapore 557269', 'Singapore']}",,,5906.839570439986
