,carpark_number,update_datetime,total_lots,lot_type,lots_available
0,HE12,2022-01-27T15:39:54,105,C,0
1,HLM,2022-01-27T15:39:33,583,C,81
2,RHM,2022-01-27T15:39:54,329,C,192
3,BM29,2022-01-27T15:39:52,97,C,0
4,Q81,2022-01-27T15:39:42,96,C,18
5,C20,2022-01-27T15:39:48,177,C,7
6,FR3M,2022-01-27T15:39:41,228,C,130
7,C32,2022-01-27T15:39:27,289,C,179
8,C6,2022-01-27T15:39:48,332,C,167
9,TG2,2022-01-27T15:39:55,273,C,10
10,BP1,2022-01-27T15:39:48,543,C,317
11,TG1,2022-01-27T15:39:49,133,C,88
12,TGM2,2022-01-27T15:39:55,189,C,133
13,TE14,2022-01-27T15:39:28,138,C,62
14,BM3,2022-01-27T15:39:28,48,C,17
15,BM9,2018-12-17T07:42:34,612,C,121
16,HG44,2022-01-27T15:39:01,143,C,1
17,HG64,2022-01-27T15:38:49,81,C,4
18,PM27,2022-01-27T15:38:57,308,C,207
19,PM28,2022-01-27T15:38:38,302,C,164
20,TM36,2022-01-27T15:39:01,221,C,134
21,TM37,2022-01-27T15:38:46,238,C,145
22,T50,2022-01-27T15:38:43,362,C,218
23,T51,2022-01-27T15:38:41,351,C,206
24,TM43,2022-01-27T15:38:44,249,C,152
25,T15,2022-01-27T15:38:40,30,C,0
26,T16,2022-01-27T15:38:35,107,C,59
27,T17,2022-01-27T15:38:42,245,C,111
28,T18,2022-01-27T15:38:36,84,C,5
29,B9,2022-01-27T15:38:49,197,C,153
30,B10,2022-01-27T15:38:53,511,C,300
31,B14,2018-10-29T09:18:49,208,C,61
32,WCB,2022-01-27T15:38:57,143,C,13
33,ACB,2022-01-27T15:39:24,96,C,7
34,CY,2022-01-27T15:39:24,30,C,0
35,AM46,2022-01-27T15:39:41,408,C,220
36,A12,2022-01-27T15:39:30,205,C,145
37,BE45,2022-01-27T15:39:44,363,C,200
38,BE39,2022-01-27T15:39:55,707,C,419
39,BE40,2019-06-18T10:58:35,339,C,201
40,RCB,2017-03-31T12:00:21,320,C,181
41,CR29,2022-01-27T15:39:42,56,C,0
42,KLM,2022-01-27T15:38:42,352,C,190
43,SE34,2022-01-27T15:39:26,270,C,132
44,KB7,2022-01-27T15:39:08,65,C,10
45,SE31,2022-01-27T15:39:49,181,C,84
46,J56,2022-01-27T15:38:11,15,C,0
47,J57,2022-01-27T15:38:59,362,C,100
48,J57L,2022-01-27T15:38:59,13,C,1
49,J33,2022-01-27T15:38:47,129,C,90
50,J34,2022-01-27T15:39:52,123,C,80
51,BL8,2022-01-27T15:39:41,679,C,313
52,J36,2022-01-27T15:39:16,482,C,300
53,J54,2022-01-27T15:38:59,226,C,76
54,J55,2022-01-27T15:38:56,141,C,85
55,J43,2022-01-27T15:39:43,190,C,112
56,J46,2022-01-27T15:39:21,63,C,0
57,KB1,2022-01-27T15:39:58,239,C,87
58,GBM,2022-01-27T15:39:58,677,C,462
59,SE14,2022-01-27T15:39:53,187,C,110
60,SE50,2022-01-27T15:39:53,591,C,450
61,J40,2022-01-27T15:39:25,206,C,97
62,JM1,2022-01-27T15:38:56,341,C,252
63,J32,2022-01-27T15:39:30,199,C,128
64,A11,2022-01-27T15:39:28,368,C,210
65,TR1,2022-01-27T15:39:34,391,C,175
66,JBM,2022-01-27T15:39:39,342,C,257
67,TE2,2022-01-27T15:39:32,213,C,167
68,CR31,2022-01-27T15:39:31,92,C,17
69,J1,2022-01-27T15:39:07,368,C,221
70,J2,2022-01-27T15:38:31,200,C,142
71,J3,2022-01-27T15:39:12,308,C,209
72,T37,2022-01-27T15:38:46,1174,C,708
73,KB3,2022-01-27T15:39:58,149,C,70
74,KBM,2022-01-27T15:38:57,239,C,180
75,J4,2022-01-27T15:39:16,172,C,74
76,TGM1,2022-01-27T15:39:46,388,C,296
77,TG3,2022-01-27T15:39:45,208,C,132
78,TG6,2022-01-27T15:39:45,176,C,118
79,TG7,2022-01-27T15:39:45,362,C,192
80,CR30,2022-01-27T15:39:21,54,C,5
81,RCM,2022-01-27T15:39:21,151,C,62
82,EPM,2022-01-27T15:39:45,286,C,52
83,TGM3,2022-01-27T15:39:49,553,C,368
84,KB14,2022-01-27T15:39:59,58,C,0
85,J41,2022-01-27T15:39:31,350,C,215
86,JBM2,2022-01-27T15:39:31,144,C,73
87,J39,2022-01-27T15:39:23,250,C,134
88,J52,2022-01-27T15:39:48,626,C,377
89,J51,2022-01-27T15:39:59,655,C,451
90,J53,2022-01-27T15:37:30,215,C,147
91,T19,2022-01-27T15:38:46,866,C,51
92,J49,2022-01-27T15:39:16,922,C,728
93,J27,2022-01-27T15:39:59,291,C,173
94,TB14,2022-01-27T15:39:50,43,C,8
95,U19,2022-01-27T15:38:57,501,C,222
96,U6,2022-01-27T15:38:51,95,C,0
97,U45,2022-01-27T15:38:57,159,C,75
98,BBM7,2022-01-27T15:38:18,175,C,118
99,BE12,2022-01-27T15:39:47,459,C,205
100,HG41,2022-01-27T15:38:52,475,C,272
101,HG43,2022-01-27T15:39:01,513,C,343
102,MN1,2022-01-27T15:39:33,257,C,142
103,MNRM,2022-01-27T15:38:44,355,C,251
104,MN2,2022-01-27T15:39:26,303,C,181
105,C7,2022-01-27T15:39:38,459,C,194
106,C17,2022-01-27T15:31:31,66,C,5
107,C20M,2022-01-27T15:39:30,550,C,414
108,T41,2022-01-27T15:38:49,217,C,0
109,T42,2022-01-27T15:38:43,82,C,3
110,TM42,2022-01-27T15:38:48,259,C,203
111,J48,2022-01-27T15:39:48,745,C,466
112,BH1,2022-01-27T15:34:34,57,C,0
113,BH2,2022-01-27T15:32:28,47,C,23
114,BKE7,2022-01-27T15:38:44,172,C,123
115,BR5,2022-01-27T15:39:37,150,C,77
116,BRM3,2022-01-27T15:39:37,406,C,279
117,BRM4,2022-01-27T15:38:22,176,C,91
118,M16,2022-01-27T15:39:37,124,C,70
119,M20,2022-01-27T15:38:49,36,C,9
120,M35,2022-01-27T15:38:39,91,C,44
121,M36,2022-01-27T15:37:28,17,C,0
122,M37,2022-01-27T15:38:54,35,C,4
123,M38,2022-01-27T15:39:00,39,C,17
124,MM3,2022-01-27T15:39:45,222,C,164
125,MP12,2022-01-27T15:39:50,220,C,57
126,MP13,2022-01-27T15:39:50,396,C,202
127,MP1M,2022-01-27T15:39:49,522,C,328
128,PP1,2022-01-27T15:39:00,257,C,101
129,PP2,2022-01-27T15:38:57,192,C,112
130,PP3,2022-01-27T15:39:45,345,C,170
131,PP4,2022-01-27T15:39:03,166,C,33
132,PP5,2022-01-27T15:39:20,346,C,179
133,TP10,2022-01-27T15:38:57,83,C,47
134,TP14,2022-01-27T15:39:15,53,C,23
135,TP16,2022-01-27T15:39:38,668,C,288
136,TP17,2022-01-27T15:39:32,119,C,0
137,TP18,2022-01-27T15:39:50,383,C,121
138,TP2,2022-01-27T15:39:51,85,C,1
139,TPMG,2022-01-27T15:39:31,116,C,68
140,TP36,2022-01-27T15:39:19,247,C,106
141,TPM4,2022-01-27T15:39:51,343,C,221
142,TPM5,2022-01-27T15:39:29,342,C,239
143,TPM6,2022-01-27T15:39:19,358,C,229
144,TP27,2022-01-27T15:39:31,257,C,132
145,TPMN,2022-01-27T15:39:39,815,C,547
146,TPMP,2022-01-27T15:39:09,808,C,467
147,WDB1,2022-01-27T15:38:14,75,C,32
148,Y23,2022-01-27T15:39:44,823,C,502
149,Y24,2022-01-27T15:39:44,181,C,102
150,Y56,2022-01-27T15:39:33,45,C,11
151,BBM1,2022-01-27T15:39:48,406,C,314
152,BBM8,2022-01-27T15:39:02,329,C,189
153,BJ10,2022-01-27T15:39:51,310,C,187
154,BJ11,2022-01-27T15:39:08,100,C,57
155,BJ12,2022-01-27T15:39:24,550,C,340
156,BJ17,2022-01-27T15:39:49,172,C,119
157,BJ18,2022-01-27T15:39:49,324,C,214
158,BJ28,2022-01-27T15:39:16,669,C,513
159,BJ3,2022-01-27T15:39:59,1054,C,636
160,BJ33,2022-01-27T15:39:15,366,C,296
161,BJ42,2022-01-27T15:39:23,450,C,289
162,BJ45,2022-01-27T15:39:23,232,C,169
163,CK21,2020-03-26T14:26:12,192,C,142
164,U48,2022-01-27T15:37:46,93,C,67
165,U5,2022-01-27T15:38:14,101,C,71
166,JM14,2022-01-27T15:40:28,490,C,381
167,JM12,2022-01-27T15:40:08,462,C,365
168,W39,2022-01-27T15:39:46,205,C,97
169,PL67,2022-01-27T15:39:27,735,C,507
170,W2,2017-12-04T10:54:50,1000,C,19
171,W1,2017-12-04T10:54:50,1000,C,53
172,U9,2022-01-27T15:38:54,400,C,205
173,U26,2022-01-27T15:38:32,595,C,344
174,U25,2022-01-27T15:38:11,625,C,385
175,U24T,2022-01-27T15:38:42,46,C,34
176,U24,2022-01-27T15:38:42,364,C,184
177,U23,2022-01-27T15:38:44,713,C,445
178,U22,2022-01-27T15:38:58,495,C,312
179,U21,2022-01-27T15:38:42,313,C,211
180,U2,2022-01-27T15:38:59,1109,C,656
181,J45,2022-01-27T15:39:47,361,C,234
182,TM25,2022-01-27T15:38:41,123,C,68
183,TM26,2022-01-27T15:38:43,126,C,73
184,TM27,2022-01-27T15:38:59,223,C,175
185,J37,2022-01-27T15:39:04,269,C,153
186,BM1,2022-01-27T15:39:35,60,C,4
187,BM2,2022-01-27T15:39:36,53,C,15
188,BM26,2022-01-27T15:39:35,460,C,311
189,BWM,2022-01-27T15:39:35,220,C,107
190,TBMT,2022-01-27T15:29:01,150,C,24
191,TPM,2022-01-27T15:39:49,384,C,87
192,U29,2022-01-27T15:40:10,338,C,275
193,U27,2022-01-27T15:40:05,20,C,0
194,U18,2022-01-27T15:40:18,312,C,170
195,U30,2022-01-27T15:40:15,143,C,105
196,EPML,2015-12-30T10:38:36,25,C,0
197,TE25,2022-01-27T15:39:52,298,C,110
198,TE3,2022-01-27T15:39:32,19,C,0
199,TE4,2022-01-27T15:39:40,30,C,0
200,U28,2022-01-27T15:40:30,15,C,15
201,A15,2022-01-27T15:39:27,59,C,22
202,BM28,2022-01-27T15:29:01,47,C,3
203,BM30,2022-01-27T15:26:51,46,C,41
204,BTM,2022-01-27T15:26:59,292,C,94
205,BTM2,2022-01-27T15:29:01,496,C,247
206,SAM2,2022-01-27T15:26:57,336,C,109
207,TBM2,2022-01-27T15:26:57,243,C,54
208,TJ34,2022-01-27T15:40:23,350,C,289
209,U31,2022-01-27T15:40:15,348,C,257
210,BL13,2022-01-27T15:40:31,413,C,302
211,HG10,2022-01-27T15:38:56,228,C,57
212,W3,2018-12-20T03:59:43,1000,C,217
213,BJ65,2022-01-27T15:40:24,224,C,136
214,CK19,2022-01-27T15:40:24,70,C,27
215,CK4,2022-01-27T15:40:10,10,C,5
216,CK42,2022-01-27T15:40:05,453,C,267
217,CK7,2022-01-27T15:40:26,298,C,230
218,TW1,2022-01-27T15:40:10,108,C,36
219,TW2,2022-01-27T15:40:17,355,C,197
220,TW3,2022-01-27T15:40:12,338,C,196
221,BL18M,2016-02-04T18:15:45,353,C,286
222,B16,2022-01-27T15:39:17,348,C,197
223,B17,2022-01-27T15:39:19,392,C,160
224,B20,2022-01-27T15:39:24,380,C,174
225,B42,2022-01-27T15:38:37,121,C,37
226,B45,2022-01-27T15:39:00,68,C,12
227,B6,2022-01-27T15:39:17,578,C,284
228,B63,2022-01-27T15:38:58,100,C,0
229,B65,2022-01-27T15:38:58,743,C,414
230,B7,2022-01-27T15:38:56,85,C,0
231,B70,2022-01-27T15:38:59,39,C,16
232,B71,2022-01-27T15:38:55,236,C,149
233,B7A,2022-01-27T15:38:59,129,C,0
234,B8,2022-01-27T15:38:59,106,C,36
235,B80,2022-01-27T15:38:39,247,C,210
236,B84,2022-01-27T15:38:59,551,C,523
237,B88M,2015-03-03T05:02:19,120,C,120
238,B90,2015-03-03T05:02:19,75,C,75
239,B90M,2015-03-03T05:02:19,75,C,75
240,CC5,2022-01-27T15:38:24,104,C,58
241,CC6,2022-01-27T15:38:55,57,C,30
242,B30,2022-01-27T15:39:07,341,C,0
243,B31,2022-01-27T15:39:29,414,C,272
244,TJ28,2022-01-27T15:40:20,755,C,602
245,TJ31,2022-01-27T15:40:31,833,C,621
246,TJ37,2019-12-01T08:28:01,384,C,384
247,TJSF,2018-08-28T17:22:10,842,C,829
248,AM16,2022-01-27T15:16:47,115,C,81
249,AM32,2022-01-27T15:14:41,91,C,52
250,BJ2,2022-01-27T15:40:24,385,C,222
251,CK48,2022-01-27T15:40:27,287,C,190
252,BE8,2022-01-27T15:15:28,544,C,328
253,SE11,2022-01-27T15:15:56,198,C,3
254,SE20,2022-01-27T15:15:46,548,C,392
255,SE21,2022-01-27T15:15:46,29,C,0
256,SE22,2022-01-27T15:15:46,20,C,2
257,SE23,2022-01-27T15:15:36,185,C,104
258,SE24,2022-01-27T15:15:59,167,C,0
259,SE53,2022-01-27T15:15:08,309,C,251
260,SM9A,2016-04-25T17:56:45,19,C,0
261,SM9B,2016-04-25T17:56:46,28,C,2
262,FR4M,2022-01-27T15:31:51,88,C,35
263,BJ31,2022-01-27T15:40:16,88,C,45
264,BJ32,2022-01-27T15:40:27,484,C,382
265,BJ34,2022-01-27T15:40:31,140,C,99
266,BJ35,2022-01-27T15:40:27,140,C,97
267,BJ36,2022-01-27T15:40:18,140,C,90
268,BJ37,2022-01-27T15:40:18,512,C,396
269,TP31,2022-01-27T15:15:51,50,C,1
270,BJ38,2022-01-27T15:40:15,216,C,165
271,BJ39,2022-01-27T15:40:21,550,C,450
272,BJ40,2022-01-27T15:40:27,585,C,430
273,CK38,2022-01-27T15:40:20,344,C,222
274,A38,2022-01-27T15:16:57,938,C,457
275,A43,2022-01-27T15:16:20,141,C,64
276,CK8,2022-01-27T15:40:28,750,C,498
277,CK8A,2022-01-27T15:40:03,373,C,312
278,CK39,2022-01-27T15:40:26,371,C,236
279,CK41,2022-01-27T15:40:03,444,C,300
280,CK46,2022-01-27T15:40:22,673,C,480
281,CK47,2020-11-03T08:46:36,695,C,533
282,SE32,2022-01-27T15:15:09,396,C,226
283,SE33,2022-01-27T15:15:36,302,C,175
284,SE39,2022-01-27T15:15:36,198,C,114
285,BJ43,2022-01-27T15:38:00,1004,C,826
286,CK22,2022-01-27T15:40:08,387,C,253
287,CK36,2022-01-27T15:40:24,420,C,292
288,CK37,2022-01-27T15:40:22,306,C,210
289,A25,2022-01-27T15:16:53,543,C,341
290,A81,2022-01-27T15:16:54,118,C,46
291,A82,2022-01-27T15:16:54,201,C,119
292,A9,2022-01-27T15:16:57,146,C,69
293,A98,2022-01-27T15:13:15,108,C,73
294,BJ55,2022-01-27T15:40:31,873,C,704
295,BJ56,2022-01-27T15:40:18,554,C,406
296,CK44,2022-01-27T15:40:23,285,C,213
297,CK45,2022-01-27T15:40:18,220,C,119
298,SE35,2022-01-27T15:15:50,300,C,163
299,SE38,2022-01-27T15:15:50,300,C,187
300,SE40,2022-01-27T15:15:55,407,C,271
301,BJ30,2022-01-27T15:40:32,611,C,494
302,CK16,2022-01-27T15:40:05,202,C,91
303,CK49,2022-01-27T15:40:23,767,C,549
304,CK50,2021-02-22T09:02:22,374,C,248
305,CKT1,2022-01-27T15:40:12,104,C,67
306,CK51,2022-01-27T15:40:04,318,C,217
307,CK12,2022-01-27T15:40:17,218,C,135
308,CK13,2022-01-27T15:40:18,326,C,217
309,CK17,2022-01-27T15:40:13,185,C,102
310,CK30,2022-01-27T15:40:24,136,C,83
311,CK31,2022-01-27T15:40:16,290,C,214
312,BJ41,2022-01-27T15:40:11,389,C,277
313,CK20,2022-01-27T15:40:06,931,C,630
314,CK23,2021-07-06T09:42:53,232,C,143
315,CK34,2022-01-27T15:40:31,318,C,202
316,CKM1,2021-07-06T09:42:54,669,C,573
317,BJ1,2022-01-27T15:40:19,457,C,272
318,BJ48,2022-01-27T15:40:29,672,C,477
319,CK33,2022-01-27T15:40:14,235,C,161
320,A37,2022-01-27T15:16:55,193,C,16
321,A39,2022-01-27T15:16:57,200,C,81
322,A68,2022-01-27T15:16:47,158,C,77
323,A70,2022-01-27T15:16:47,134,C,45
324,A71,2022-01-27T15:16:47,185,C,42
325,CK40,2022-01-27T15:40:29,500,C,394
326,A40,2022-01-27T15:16:50,520,C,374
327,A66,2022-01-27T15:16:52,150,C,77
328,A69,2022-01-27T15:16:45,476,C,349
329,A30,2022-01-27T15:16:58,12,C,0
330,AM80,2022-01-27T15:16:58,191,C,117
331,AM81,2022-01-27T15:16:58,222,C,175
332,CC7,2022-01-27T15:38:20,200,C,121
333,B88,2022-01-27T15:38:54,388,C,220
334,B71M,2016-03-09T15:26:24,253,C,252
335,B66,2022-01-27T15:38:29,584,C,404
336,B53,2022-01-27T15:39:03,200,C,99
337,B52,2022-01-27T15:39:12,285,C,165
338,B51,2022-01-27T15:38:33,318,C,207
339,B45B,2015-08-19T13:50:02,64,C,15
340,B45A,2015-08-19T13:50:01,75,C,14
341,B35,2022-01-27T15:38:43,196,C,110
342,B34,2022-01-27T15:37:47,272,C,210
343,B33,2022-01-27T15:39:13,250,C,214
344,B32,2022-01-27T15:39:13,250,C,215
345,KB17,2022-01-27T15:15:45,50,C,8
346,KB10,2022-01-27T15:15:30,164,C,61
347,KB11,2022-01-27T15:15:30,212,C,97
348,SD9,2022-01-27T15:14:32,41,C,14
349,W54,2022-01-27T15:41:45,267,C,183
350,BE23,2022-01-27T15:39:44,563,C,383
351,Y52M,2022-01-27T15:42:06,361,C,255
352,Y9,2022-01-27T15:42:09,262,C,149
353,Y20,2022-01-27T15:42:13,60,C,13
354,Y10,2022-01-27T15:41:54,1145,C,780
355,PM30,2022-01-27T15:38:49,353,C,224
356,PM3,2022-01-27T15:38:30,419,C,311
357,TWM3,2022-01-27T15:37:59,998,C,898
358,CK61,2022-01-27T15:38:01,1272,C,1135
359,CK60,2022-01-27T15:37:54,1318,C,1193
360,SK91,2022-01-27T15:41:59,381,C,257
361,SK75,2022-01-27T15:41:53,167,C,65
362,SK74,2022-01-27T15:42:13,225,C,151
363,SK88,2022-01-27T15:41:48,369,C,255
364,SK71,2022-01-27T15:42:07,233,C,129
365,SK43,2022-01-27T15:41:57,317,C,251
366,SK70,2022-01-27T15:42:11,162,C,90
367,SK92,2022-01-27T15:41:54,296,C,196
368,SK80,2022-01-27T15:42:06,354,C,208
369,SK72,2022-01-27T15:42:05,200,C,115
370,SK73,2022-01-27T15:42:06,208,C,151
371,SK83,2022-01-27T15:42:03,94,C,52
372,SK86,2022-01-27T15:41:50,374,C,276
373,SK78,2022-01-27T15:42:08,264,C,167
374,SK68,2022-01-27T15:42:13,233,C,138
375,SK3,2022-01-27T15:41:55,700,C,539
376,SK58,2022-01-27T15:41:45,1164,C,848
377,SK62,2019-11-01T10:05:39,646,C,473
378,SK87,2022-01-27T15:41:48,113,C,78
379,CK3A,2022-01-27T15:37:51,517,C,463
380,CK3,2022-01-27T15:38:01,282,C,189
381,CK55,2022-01-27T15:40:32,356,C,197
382,CK29,2022-01-27T15:40:21,26,C,14
383,CK28,2022-01-27T15:40:09,184,C,137
384,AM22,2022-01-27T15:16:57,289,C,178
385,AM20,2022-01-27T15:16:57,676,C,517
386,AM18,2022-01-27T15:16:57,451,C,254
387,A20,2022-01-27T15:16:57,83,C,0
388,A65,2022-01-27T15:16:58,97,C,69
389,A60,2022-01-27T15:16:30,517,C,370
390,A50,2022-01-27T15:16:40,206,C,84
391,HG22,2022-01-27T15:38:14,116,C,47
392,CK25,2022-01-27T15:40:25,183,C,113
393,CK24,2022-01-27T15:40:16,36,C,11
394,STAM,2022-01-27T15:25:06,250,C,106
395,AM79,2022-01-27T15:16:56,472,C,336
396,A34,2022-01-27T15:16:50,220,C,123
397,AM96,2022-01-27T15:16:14,525,C,366
398,A85,2022-01-27T15:16:43,93,C,47
399,A72,2022-01-27T15:16:45,358,C,244
400,A67,2022-01-27T15:16:52,717,C,496
401,JMSU,2018-11-30T11:23:35,1052,C,0
402,JMSC,2018-11-30T11:26:13,644,C,443
403,BMVM,2022-01-27T15:36:58,361,C,194
404,HE3,2022-01-27T15:29:24,148,C,0
405,TB2,2022-01-27T15:29:21,51,C,8
406,JKM,2022-01-27T15:27:34,360,C,281
407,JKS,2022-01-27T15:27:34,42,C,33
408,SPM,2022-01-27T15:25:10,719,C,328
409,FR2C,2022-01-27T15:29:11,315,C,169
410,GM1A,2022-01-27T15:31:17,414,C,204
411,AR5M,2022-01-27T15:32:09,419,C,179
412,AR9,2022-01-27T15:32:09,64,C,0
413,C5,2022-01-27T15:32:12,420,C,128
414,C9,2022-01-27T15:27:31,316,C,142
415,U46,2022-01-27T15:40:11,241,C,144
416,U15,2022-01-27T15:40:29,419,C,295
417,U3,2022-01-27T15:40:11,159,C,14
418,U32,2022-01-27T15:40:28,128,C,86
419,B75,2022-01-27T15:38:45,325,C,275
420,U38,2022-01-27T15:38:27,115,C,50
421,U10,2022-01-27T15:38:41,214,C,138
422,C8,2022-01-27T15:39:49,347,C,255
423,J60M,2022-01-27T15:40:23,543,C,415
424,J38,2022-01-27T15:40:24,27,C,0
425,UBKM,2022-01-27T15:15:55,343,C,227
426,UBK2,2022-01-27T15:15:55,287,C,87
427,UBK5,2022-01-27T15:15:30,143,C,100
428,HE8,2016-02-15T15:12:52,76,C,45
429,U17,2022-01-27T15:40:11,427,C,290
430,U4,2022-01-27T15:40:28,259,C,81
431,U1,2022-01-27T15:40:33,516,C,319
432,TGML,2022-01-27T15:39:46,4,C,0
433,BRBL,2022-01-27T15:39:39,12,C,5
434,BL18,2022-01-27T15:40:06,401,C,347
435,BRB1,2022-01-27T15:39:39,168,C,60
436,J61,2022-01-27T15:40:29,779,C,501
437,J73,2022-01-27T15:40:10,713,C,491
438,J74,2022-01-27T15:40:21,367,C,216
439,U39,2022-01-27T15:40:15,248,C,213
440,U40,2022-01-27T15:40:23,288,C,243
441,U41,2022-01-27T15:40:23,28,C,26
442,C3M,2022-01-27T15:26:41,882,C,276
443,C4M,2022-01-27T15:31:26,392,C,164
444,J70,2022-01-27T15:40:15,147,C,63
445,J75M,2022-01-27T15:40:04,326,C,220
446,JM15,2022-01-27T15:40:07,474,C,411
447,JM18,2022-01-27T15:40:28,559,C,450
448,C24,2022-01-27T15:29:03,450,C,52
449,C27,2022-01-27T15:32:10,16,C,0
450,KTM5,2022-01-27T15:31:18,512,C,202
451,KTM6,2019-08-01T08:03:57,252,C,248
452,BP2,2022-01-27T15:39:49,466,C,230
453,BBM3,2022-01-27T15:40:11,1214,C,854
454,BBM5,2022-01-27T15:40:20,951,C,640
455,U33,2022-01-27T15:40:19,290,C,184
456,U34,2022-01-27T15:40:29,303,C,165
457,J84M,2022-01-27T15:40:22,285,C,203
458,J85M,2022-01-27T15:40:17,269,C,182
459,Q84,2022-01-27T15:29:20,207,C,21
460,Q87,2022-01-27T15:25:18,430,C,223
461,Q89,2022-01-27T15:29:20,435,C,246
462,BM5,2022-01-27T15:29:22,46,C,12
463,TB1,2022-01-27T15:29:17,58,C,0
464,TB3,2022-01-27T15:31:20,154,C,10
465,TB9,2022-01-27T15:25:13,77,C,18
466,TBC3,2022-01-27T15:31:18,106,C,47
467,C26,2022-01-27T15:32:04,35,C,27
468,C25,2022-01-27T15:32:04,154,C,50
469,C22M,2022-01-27T15:32:10,188,C,153
470,JM7,2022-01-27T15:40:21,1165,C,941
471,JM30,2022-01-27T15:40:21,754,C,609
472,J72,2022-01-27T15:40:31,220,C,122
473,J69,2022-01-27T15:40:49,222,C,139
474,JM23,2019-12-01T08:16:38,793,C,227
475,JM19,2022-01-27T15:40:04,1176,C,860
476,U43,2022-01-27T15:38:40,270,C,175
477,U43Z,2019-07-03T03:59:43,1000,C,85
478,W21,2022-01-27T15:39:37,499,C,252
479,W24,2022-01-27T15:39:48,557,C,294
480,M25,2022-01-27T15:39:42,424,C,274
481,M3,2022-01-27T15:39:47,126,C,58
482,M4,2022-01-27T15:39:39,470,C,272
483,MM1,2022-01-27T15:39:47,176,C,134
484,MM2,2022-01-27T15:39:42,563,C,485
485,MM4,2022-01-27T15:39:47,288,C,205
486,UA2,2022-01-27T15:39:58,73,C,10
487,UA3,2022-01-27T15:38:25,245,C,131
488,UA5,2022-01-27T15:38:22,337,C,212
489,UAM1,2022-01-27T15:38:56,466,C,361
490,JM31,2022-01-27T15:40:10,188,C,126
491,BBM9,2022-01-27T15:40:09,1200,C,776
492,C21M,2022-01-27T15:29:02,383,C,188
493,U13,2022-01-27T15:40:11,661,C,388
494,C13M,2022-01-27T15:32:10,280,C,142
495,C12,2022-01-27T15:32:09,323,C,150
496,C14M,2022-01-27T15:26:59,212,C,92
497,C10,2022-01-27T15:27:07,767,C,314
498,BL10,2022-01-27T15:40:13,239,C,164
499,BL19,2022-01-27T15:40:19,369,C,305
500,BL3,2022-01-27T15:40:19,196,C,171
501,J50,2022-01-27T15:40:17,427,C,245
502,J60L,2022-01-27T15:40:17,10,C,5
503,J62,2022-01-27T15:40:20,376,C,0
504,J62M,2022-01-27T15:40:28,200,C,166
505,J63,2022-01-27T15:40:23,150,C,73
