,serial_no,remarks_other_works,q2_cleaningenddate,address_myenv,remarks_q4,remarks_q3,remarks_q2,remarks_q1,other_works_startdate,q4_cleaningstartdate,google_for_stall,no_of_market_stalls,longitude_hc,q4_cleaningenddate,q1_cleaningstartdate,q1_cleaningenddate,status,other_works_enddate,no_of_food_stalls,q2_cleaningstartdate,description_myenv,q3_cleaningenddate,name,photourl,latitude_hc,google_3d_view,q3_cleaningstartdate,_id
0,1,nil,2/6/2022,"2, Adam Road, Singapore 289876",nil,nil,nil,nil,NA,5/12/2022,nil,0,103.8141632,6/12/2022,7/3/2022,7/3/2022,Existing,NA,32,2/6/2022,"Built in 1974, Adam Food Centre comprises 32 cooked food stalls.  Although small in size, the hawker centre has a huge reputation.  Popular food offered in the centre includes BBQ Seafood, Nasi Lemak, Prawn Noodles etc.",1/9/2022,Adam Road Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267437914368.jpg,1.324131966,https://goo.gl/maps/ZMLJeP8STKpDP9so9,1/9/2022,1
1,2,nil,7/6/2022,"Blk 117, Aljunied Ave 2, Singapore 380117",nil,nil,nil,nil,NA,12/12/2022,nil,82,103.8870926,13/12/2022,14/3/2022,15/3/2022,Existing,NA,79,6/6/2022,"Next to Geylang East Swimming Complex and other amenities, the hawker centre caters to the marketing and dining needs of the residents at Geylang East. The centre was built in 1978 and comprises 79 cooked food stalls and 82 market stalls.",15/9/2022,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154437879.jpg,1.320709944,https://goo.gl/maps/XVjxu6hgpcwt15JC8,12/9/2022,2
2,3,Repairs and Redecoration,7/5/2022,"National Development Building, Annex B, Telok Ayer Street, Singapore 069111",nil,nil,nil,nil,11/10/2021,10/11/2022,nil,1,103.8469849,12/11/2022,TBC,TBC,Existing,10/1/2022,134,7/5/2022,"Built in 1983, the two-storey food centre is located within the central business district.  Housing many well-known stalls, the centre has evolved into a favourite lunch venue for executives working near Shenton Way. Be spoilt by the choice of hawker fare at affordable prices!",6/8/2022,Amoy Street Food Centre (Telok Ayer Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265968760190.jpg,1.279129028,https://goo.gl/maps/RiX319zQXRFeHWPE6,6/8/2022,3
3,4,nil,6/6/2022,"Blk 226D, Ang Mo Kio Ave 1, Singapore 564226",nil,nil,nil,nil,NA,12/12/2022,nil,101,103.8391876,12/12/2022,7/3/2022,9/3/2022,Existing,NA,10,6/6/2022,"Located next to a food centre, the hawker centre at Block 226D Ang Mo Kio Ave 1 serves the marketing and dining needs of residents living in the Kebun Baru area. The centre was upgraded in 2010 and consists predominantly of market stalls.",12/9/2022,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154827180.jpg,1.366950035,https://goo.gl/maps/CAJGbiEU4o46xfbR8,12/9/2022,4
4,5,nil,10/5/2022,"Blk 341, Ang Mo Kio Ave 1, Singapore 560341",nil,nil,nil,nil,NA,14/11/2022,nil,86,103.84832,16/11/2022,21/2/2022,22/2/2022,Existing,NA,32,9/5/2022,"Located in the heart of Teck Ghee estate and opposite Bishan Park, the 32 cooked food stalls and 86 market stalls within the hawker centre remain a popular choice among patrons despite the availability of alternative marketing and dining facilities nearby.  Popular local dishes are whipped up daily to satisfy patrons' desires for good food!",16/8/2022,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538105392.jpg,1.364169955,https://goo.gl/maps/quL2H4mojGZfZsHA6,15/8/2022,5
5,6,nil,7/6/2022,"Blk 409, Ang Mo Kio Ave 10, Singapore 560409",nil,nil,nil,nil,NA,12/12/2022,nil,148,103.8553772,14/12/2022,7/3/2022,8/3/2022,Existing,NA,40,6/6/2022,"Also known as Teck Ghee Square, it is one of the three hawker centres that are situated along Ang Mo Kio Ave 10. Built in 1979, the hawker centre comprises 40 cooked food stalls and 148 market stalls.",6/9/2022,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538704472.jpg,1.362730026,https://goo.gl/maps/9AShxY98qfHC4yFK6,5/9/2022,6
6,7,nil,24/5/2022,"Blk 453A, Ang Mo Kio Ave 10, Singapore 561453",nil,nil,nil,nil,NA,28/11/2022,nil,113,103.8564377,30/11/2022,21/2/2022,22/2/2022,Existing,NA,39,23/5/2022,"Built in 1979, the hawker centre at Blk 453A Ang Mo Kio Ave 10 consists of 38 cooked food stalls and 184 market stalls.",23/8/2022,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259902043777.jpg,1.368299961,https://goo.gl/maps/yRhwwdeCwrNUEGPb8,22/8/2022,7
7,8,nil,7/6/2022,"Blk 527, Ang Mo Kio Ave 10, Singapore 560527",nil,nil,nil,nil,NA,12/12/2022,nil,100,103.8544464,14/12/2022,7/3/2022,8/3/2022,Existing,NA,50,6/6/2022,"Commonly known as Cheng San Market and Cooked Food Centre, Blk 527 Ang Mo Kio Ave 10 is one of the three hawker centres located along Ang Mo Kio Ave 10. The hawker centre was built in 1979 to serve the dining and marketing needs of nearby residents. Upgraded in 2004, it houses 50 cooked food stalls and 100 market stalls.",13/9/2022,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165592824.jpg,1.37270999,https://goo.gl/maps/1i5LTCTThDSpkEoL6,12/9/2022,8
8,9,nil,27/6/2022,"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162",nil,nil,nil,nil,NA,19/12/2022,nil,84,103.839241,21/12/2022,21/3/2022,21/3/2022,Existing,NA,40,27/6/2022,"Commonly known as Mayflower Market, the hawker centre was built in 1981. It comprises 40 cooked food stalls and 84 market stalls to serve the marketing and dining needs of residents.",19/9/2022,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165416622.jpg,1.374600053,https://goo.gl/maps/JfAERHoWCXLcLxFj8,19/9/2022,9
9,10,nil,22/6/2022,"Blk 628, Ang Mo Kio Ave 4, Singapore 560628",nil,nil,nil,nil,NA,12/12/2022,nil,166,103.8407516,16/12/2022,7/3/2022,9/3/2022,Existing,NA,52,20/6/2022,"Originally built in 1979, the hawker centre is located opposite Yio Chu Kang CC and near schools, temples and residential flats.   After the upgrading in 2010, the rebuilt centre consists of  52 cooked food stalls and 166 market stalls to serve the marketingand dining needs of patrons.",14/9/2022,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-628-ang-mo-kio-ave-4.jpg,1.38066268,https://goo.gl/maps/pakHuJhMHAXm2A378,12/9/2022,10
