,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,9925,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ZcNRqDuJ0ErI_nXg4AesDHGU0_lindama_sf.jpg,Lin Da Ma Lei Cha,69,,01-02,0,,,lindama,,1,465,"Mon - Sat: 7.30am-8pm, Closed on Sun",73.0,0,1,0,2020-10-26T04:14:49.000Z,2021-10-14T03:09:39.000Z,"[{'Name': 'Thunder Rice Tea', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ZcNRqDuJ0ErI_nXg4AesDHGU0_lindama_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thunder Tea Rice'],False,abcbrickworksmarketfc,ABC Brickworks Market & Food Centre,465,,,en,[], 
1,9926,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/ABC Brickworks Market _ Food Centre/hongsheng_sf.jpg,Hong Sheng Fish Soup,68,,01-03,0,,,hongsheng,,1,465,,0.0,1,0,73,2020-10-26T04:14:49.000Z,2021-11-08T16:13:18.000Z,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Spinach Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/ABC Brickworks Market _ Food Centre/hongsheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Spinach Soup']",False,abcbrickworksmarketfc,ABC Brickworks Market & Food Centre,465,,,en,[], 
2,9927,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/uT5K6M388j6R_ezCThAyBy460_thebowlstory_sf.jpg,The Bowl Story,73,,01-04,0,,,thebowlstory,,1,465,"Mon - Sat: 11.45am-8pm, Closed on Sun",0.0,5,1,77,2020-10-26T04:14:49.000Z,2021-10-14T03:09:40.000Z,"[{'Name': 'Japanese', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/uT5K6M388j6R_ezCThAyBy460_thebowlstory_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Japanese Cuisine'],False,abcbrickworksmarketfc,ABC Brickworks Market & Food Centre,465,,,en,[], 
3,9928,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/tdj8bYl7XrsJ_rosmuslim_sf.PNG,Ros Muslim Food Stall,68,,01-05,0,,,rosmuslim,,1,465,"Mon - Sat: 6am-4pm, Closed on Sundays",70.0,7,1,70,2020-10-26T04:14:49.000Z,2022-01-17T20:00:01.000Z,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/tdj8bYl7XrsJ_rosmuslim_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Mee Siam', 'Mee Soto', 'Lontong', 'Nasi Lemak']",False,abcbrickworksmarketfc,ABC Brickworks Market & Food Centre,465,,,en,[], 
4,9929,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/SKSeQ7lWSut5_makskitchen_sf.PNG,Mak's Kitchen,67,,01-06,0,,,makskitchen,,1,465,Mon - Sun: 9.30am-10pm,72.0,2,1,72,2020-10-26T04:14:49.000Z,2022-01-17T20:00:01.000Z,"[{'Name': 'Fried Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hor Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/SKSeQ7lWSut5_makskitchen_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fried Rice', 'Hor Fun']",False,abcbrickworksmarketfc,ABC Brickworks Market & Food Centre,465,,,en,[], 
5,9930,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/rhCiLyovNvfI_47uBWRmeCBgN_abangbotakcorner_sf.jpg,Abang Botak Corner,68,,01-01/07,0,,,abangbotakcorner,,1,465,"Mon - Sat: 9am-9pm, Closed on Sun",78.0,10,0,78,2020-10-26T04:14:49.000Z,2021-11-08T16:13:18.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rhCiLyovNvfI_47uBWRmeCBgN_abangbotakcorner_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chicken Rice & Noodles', 'Satay']",False,abcbrickworksmarketfc,ABC Brickworks Market & Food Centre,465,,,en,[], 
6,9931,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/TOEXogZys1sb_opy0Wrcr90qj_habibspower_sf.jpg,Habib's Power Mee Stall,65,,01-08,0,,,habibspower,,1,465,Mon - Sun: 6am-9.30pm,68.0,2,1,68,2020-10-26T04:14:49.000Z,2021-12-20T15:43:45.000Z,"[{'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/TOEXogZys1sb_opy0Wrcr90qj_habibspower_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mutton Soup (Indian)', 'Mee Goreng', 'Nasi Goreng', 'Roti John', 'Indian Rojak', 'Murtabak']",False,abcbrickworksmarketfc,ABC Brickworks Market & Food Centre,465,,,en,[], 
7,9932,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Cv87CqM0TENj_oUDCADiKDMS1_mjcafecorner_sf.J%20Cafe%20Corner%2009.jpg,M.J Cafe Corner,0,,01-09,0,,,mjcafecorner,,1,465,Mon - Sun: 6am-9pm,74.0,1,1,74,2020-10-26T04:14:49.000Z,2021-11-08T16:13:41.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Cv87CqM0TENj_oUDCADiKDMS1_mjcafecorner_sf.J%2520Cafe%2520Corner%252009.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,abcbrickworksmarketfc,ABC Brickworks Market & Food Centre,465,,,en,[], 
8,9933,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/OFM5DvrOj1ek_WC9PKIYcZlXa_yrarasoolfatimah_sf.jpg,Y.R.A Rasool Fatimah,82,,01-10,0,,,yrarasoolfatimah,,1,465,"Fri - Wed: 7am-9pm, Closed on Thu",77.0,8,1,77,2020-10-26T04:14:49.000Z,2021-10-14T03:09:41.000Z,"[{'Name': 'Mee Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Tulang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/OFM5DvrOj1ek_WC9PKIYcZlXa_yrarasoolfatimah_sf.R.A%2520Rasool%2520Fatimah%252010.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Goreng', 'Tulang', 'Nasi Goreng', 'Mutton Soup (Indian)']",False,abcbrickworksmarketfc,ABC Brickworks Market & Food Centre,465,,,en,[], 
9,9934,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201124/ETDvCZHZbzZS_HP Maskhead2-02.jpg,Mohd Zaid Kueh,73,,01-11,0,,,mohdzaidkueh,,1,465,Mon - Sun: 5am-6pm,67.0,5,0,67,2020-10-26T04:14:49.000Z,2022-01-17T20:00:01.000Z,"[{'Name': 'Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201124/ETDvCZHZbzZS_HP%20Maskhead2-02.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Kueh'],False,abcbrickworksmarketfc,ABC Brickworks Market & Food Centre,465,,,en,[], 
