,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,5258,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Adam Road /adamchickenrice_sf.JPG,Adam Chicken Rice,79,Adam Road Food Centre,01-08,,Mon - Sun: 11am-8pm,76,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Adam Road /adamchickenrice_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Adam Road /adamchickenrice_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Roti John']"
1,5259,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Adam Road /AdamDrinksStall_sf.JPG,Adam Drinks Stall,0,Adam Road Food Centre,01-32,,,70,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Adam Road /AdamDrinksStall_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
2,5260,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/HvlO0EGbwbLM_5cSK0gNDKWFy_AdamFishballNoodle_sf.JPG,Adam Fishball Noodle,76,Adam Road Food Centre,01-25,,"Wed-Fri: 7.30am - 4.30pm, Sat-Mon: 7.30am-7.30pm",80,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bak Chor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/HvlO0EGbwbLM_5cSK0gNDKWFy_AdamFishballNoodle_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Adam Road /AdamFishballNoodle_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']"
3,5261,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/JxlquUzddtKf_3w93ox8oGYbY_AdamRdNooChengBigPrawnNoodles_sf.JPG,Adam Rd Noo Cheng Big Prawn Noodles,77,Adam Road Food Centre,01-27,,"10.30am - 4pm, 6.30pm - 2am, closed on Mondays",0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/JxlquUzddtKf_3w93ox8oGYbY_AdamRdNooChengBigPrawnNoodles_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/c9ADTIZXDIQR_AdamRdNooChengBigPrawnNoodles_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
4,5262,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/jAwwz4z63MrJ_MJ5PfboYn6C5_AdamSeafoodBBQ_sf.JPG,Adam Seafood BBQ,69,Adam Road Food Centre,01-18,,,0,"[{'Name': 'Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/jAwwz4z63MrJ_MJ5PfboYn6C5_AdamSeafoodBBQ_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Seafood']
5,5263,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210503/rTWl54bYk2ij_Adam Delighht.jpeg,Adam's Delights,70,Adam Road Food Centre,01-11,,Mon - Sun:10am - 3am,80,"[{'Name': 'Indian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210503/rTWl54bYk2ij_Adam%20Delighht.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Indian']
6,5264,https://hawkerpedia.ewr1.vultrobjects.com/stall/20210914/63na5xMX6iOy_Adam%27s%20Indian%20Rojak%20%40%20Adam%20Road%20FC.jpg,Adam's Indian Rojak,78,Adam Road Food Centre,01-05,,,72,"[{'Name': 'Indian Rojak', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]",['Indian Rojak']
7,5265,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Adam Road /adamsnasilemak_sf.JPG,Adam's Nasi Lemak,70,Adam Road Food Centre,01-01,,"Wed - Mon: 8.30am - 1pm, closed on Tue",0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Adam Road /adamsnasilemak_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Adam Road /adamsnasilemak_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Nasi Lemak']
8,5266,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Adam Road /Al-SheikMeeStall_sf.JPG,Al-Sheik Mee Stall,72,Adam Road Food Centre,01-16,,Mon - Sun: 7.30am - 8.30pm,72,"[{'Name': 'Indian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Adam Road /Al-SheikMeeStall_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Adam Road /Al-SheikMeeStall_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Indian', 'Mee Goreng', 'Roti John']"
9,5267,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ettHZpoiNIjg_ApitDrinkStall_m1.JPG,Apit Drink Stall,0,Adam Road Food Centre,01-06,,,70,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ettHZpoiNIjg_ApitDrinkStall_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/EiBOs9Cg5dPS_rKkxktltShJp_ApitDrinkStall_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
