,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,6134,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/dessertstation_sf.jpg,Dessert Station,72,,01-41,0,,,dessertstation,,1,438,Mon - Sun: 7am-10pm,73,0,0,0,2020-10-26T04:09:33.000Z,2021-10-14T02:46:37.000Z,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Albert Centre Market _ Food Centre - 86 stalls/dessertstation_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dessert'],False,albertcentrefc,Albert Centre Market & Food Centre,438,,,en,[], 
1,6135,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Z3OBAWyL7zu7_queenstreetcoffee_sf.jpg,Queen Street Coffee Stall,0,,01-42,0,,,queenstreetcoffee,,1,438,,0,1,1,78,2020-10-26T04:09:33.000Z,2021-10-14T02:46:37.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Z3OBAWyL7zu7_queenstreetcoffee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,albertcentrefc,Albert Centre Market & Food Centre,438,,,en,[], 
2,6136,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/0i3kV7V4aZMO_serkee_sf.jpg,Ser Kee Restaurant,67,,01-43,0,,,serkee,,1,438,,73,4,0,73,2020-10-26T04:09:34.000Z,2021-10-14T02:46:37.000Z,"[{'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/0i3kV7V4aZMO_serkee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck'],False,albertcentrefc,Albert Centre Market & Food Centre,438,,,en,[], 
3,6137,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/IYtFYGpClEIb_junji_sf.jpg,Jun Ji,66,,01-44,0,,,junji,,1,438,"Mon - Sat: 8am-7pm, Closed on Sun",67,3,1,67,2020-10-26T04:09:34.000Z,2021-10-14T02:46:38.000Z,"[{'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/IYtFYGpClEIb_junji_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chee Cheong Fun', 'Economy Bee Hoon']",False,albertcentrefc,Albert Centre Market & Food Centre,438,,,en,[], 
4,6138,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/M5myYJ3QiCkR_singaporefamousrojak_sf.jpg,Singapore Famous Rojak,71,,01-45,0,,,singaporefamousrojak,,1,438,,0,11,1,69,2020-10-26T04:09:34.000Z,2021-10-14T02:46:38.000Z,"[{'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/M5myYJ3QiCkR_singaporefamousrojak_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Rojak'],False,albertcentrefc,Albert Centre Market & Food Centre,438,,,en,[], 
5,6139,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/uivIjRtHombq_waterloostreetgorengpisang_sf.jpg,Waterloo Street Goreng Pisang,73,,01-46,0,,,waterloostreetgorengpisang,,1,438,Mon - Sun: 8am-5pm,0,0,0,72,2020-10-26T04:09:34.000Z,2022-01-17T19:59:58.000Z,"[{'Name': 'Goreng Pisang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/uivIjRtHombq_waterloostreetgorengpisang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Goreng Pisang', 'Snacks']",False,albertcentrefc,Albert Centre Market & Food Centre,438,,,en,[], 
6,6140,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/9InePRG7KK6Z_queenstreetchankee_sf.jpg,Queen Street Chan Kee Sugar Cane Juice,0,,01-47,0,,,queenstreetchankee,,1,438,,69,0,0,0,2020-10-26T04:09:34.000Z,2021-10-14T02:46:39.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/9InePRG7KK6Z_queenstreetchankee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,albertcentrefc,Albert Centre Market & Food Centre,438,,,en,[], 
7,6141,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/uEFseivDkZjz_tongchengyuan_sf.jpg,Tong Cheng Yuan Soya Bean,68,,01-48,0,,,tongchengyuan,,1,438,Mon - Sun: 7.30am-9.30pm,77,2,0,77,2020-10-26T04:09:34.000Z,2021-11-08T16:13:31.000Z,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/uEFseivDkZjz_tongchengyuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Soya Bean'],False,albertcentrefc,Albert Centre Market & Food Centre,438,,,en,[], 
8,6142,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/f3UfLMPUjpfL_leongyeow_sf.jpg,Leong Yeow Famous Waterloo St Chicken Rice,68,,01-49,0,,,leongyeow,,1,438,Mon - Sun: 11am-8pm,67,1,1,67,2020-10-26T04:09:34.000Z,2021-12-20T15:43:40.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/f3UfLMPUjpfL_leongyeow_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,albertcentrefc,Albert Centre Market & Food Centre,438,,,en,[], 
9,6143,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/4GnYJrLs88Jy_aromacafe_sf.jpg,Aroma Cafe,0,,01-50,0,,,aromacafe,,1,438,Mon - Sun: 7.30am-10pm,70,5,0,70,2020-10-26T04:09:34.000Z,2022-01-17T19:59:58.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/4GnYJrLs88Jy_aromacafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,albertcentrefc,Albert Centre Market & Food Centre,438,,,en,[], 
