,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,10007,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/ABC Brickworks Market _ Food Centre/yuguo_sf.jpg,Yuguo Curry Rice,77,,01-13,0,,,yuguo,,1,488,Mon - Fri: 11am-8.00pm,80.0,3,0,80,2020-10-26T04:14:56.000Z,2022-01-13T07:24:02.000Z,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/ABC Brickworks Market _ Food Centre/yuguo_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Curry'],False,amoystreetfc,Amoy Street Food Centre,488,,,en,[], 
1,10154,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/friedkwayteow_sf.jpg,Fried Kway Teow,66,,01-01,0,,,friedkwayteow,,1,488,"Mon - Sat: 9.30am-2.30pm, Closed on Sun",67.0,5,0,67,2020-10-26T04:15:07.000Z,2021-12-20T15:43:45.000Z,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/friedkwayteow_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Char Kway Teow'],False,amoystreetfc,Amoy Street Food Centre,488,,,en,[], 
2,10155,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/xiangxiang_sf.jpg,Xiang Xiang Hainanese Chicken Rice,69,,01-02,0,,,xiangxiang,,1,488,Mon - Sun: 7am-3.30pm,70.0,0,0,70,2020-10-26T04:15:07.000Z,2021-11-08T16:13:18.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/xiangxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,amoystreetfc,Amoy Street Food Centre,488,,,en,[], 
3,10156,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/yongtaufoo_m1.jpg,Yong Tau Foo,74,,01-03,0,,,yongtaufoo,,1,488,,0.0,12,0,72,2020-10-26T04:15:08.000Z,2021-11-08T16:13:41.000Z,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/yongtaufoo_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Yong Tau Foo'],False,amoystreetfc,Amoy Street Food Centre,488,,,en,[], 
4,10157,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210913/4vTGkCfpWMSe_New Hong Kong Congee @ Amoy Street FC.png,New Hong Kong Congee,90,,01-04,0,,,newhongkong,,1,488,"Mon - Fri: 11.30am-9pm, Closed on Sat & Sun",0.0,8,1,78,2020-10-26T04:15:08.000Z,2021-12-20T15:43:45.000Z,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/stall/20210913/eUQF825SXLV2_New%20Hong%20Kong%20Congee%20%40%20Amoy%20Street%20FC.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/stall/20210913/rxpE03e9RBZf_New%20Hong%20Kong%20Congee%20%281%29%20%40%20Amoy%20Street%20FC.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/stall/20210913/n8jxh5V1ncql_New%20Hong%20Kong%20Congee%20%282%29%20%40%20Amoy%20Street%20FC.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge'],False,amoystreetfc,Amoy Street Food Centre,488,,,en,[], 
5,10158,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/hotcolddrink_sf.jpg,Hot & Cold Drink Stall,0,,01-05,0,,,hotcolddrink,,1,488,Mon - Sun: 6am-4pm,0.0,10,1,78,2020-10-26T04:15:08.000Z,2021-10-14T03:11:16.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/hotcolddrink_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,amoystreetfc,Amoy Street Food Centre,488,,,en,[], 
6,10159,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/DPSY7JwZGFUZ_lhappyduck_sf.jpg,L Happy Duck,69,,01-06,0,,,lhappyduck,,1,488,,80.0,4,0,80,2020-10-26T04:15:08.000Z,2021-10-14T03:11:17.000Z,"[{'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/DPSY7JwZGFUZ_lhappyduck_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck'],False,amoystreetfc,Amoy Street Food Centre,488,,,en,[], 
7,10160,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/USu8DBONt7vG_grandmabanmee_sf.jpg,Grandma Ban Mee,76,,01-07,0,,,grandmabanmee,,1,488,"Mon - Sat: 10am-8pm, Closed on Sun",72.0,1,1,72,2020-10-26T04:15:08.000Z,2021-10-14T03:11:17.000Z,"[{'Name': 'Ban Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/USu8DBONt7vG_grandmabanmee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Ban Mian'],False,amoystreetfc,Amoy Street Food Centre,488,,,en,[], 
8,10161,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/FrWNZsBGTs58_amoystreetlormee_sf.jpg,Famous Amoy Street Lor Mee,73,,01-08,0,,,amoystreetlormee,,1,488,Mon - Sun: 8am-2pm,0.0,3,0,74,2020-10-26T04:15:08.000Z,2021-12-20T15:43:45.000Z,"[{'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/FrWNZsBGTs58_amoystreetlormee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Lor Mee'],False,amoystreetfc,Amoy Street Food Centre,488,,,en,[], 
9,10162,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/soonlee_sf.jpg,Soon Lee Vegetarian,70,,01-09,0,,,soonlee,,1,488,Mon - Sun: 7am-6pm,72.0,3,1,72,2020-10-26T04:15:08.000Z,2021-10-14T03:11:18.000Z,"[{'Name': 'You tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Ham Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Amoy Street Food Centre/soonlee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao'],False,amoystreetfc,Amoy Street Food Centre,488,,,en,[], 
