,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,6958,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201228/ImsMg36t6VQt_amk266H_angmokiofreshfruit _sf.jpg,Ang Mo Kio Fresh Fruit,0,,01-01,0,,,freshfruit,,1,435,Mon - Sun: 11am-9.30pm,0,6,1,71,2020-10-26T04:10:41.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201228/ImsMg36t6VQt_amk266H_angmokiofreshfruit%20_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']",False,angmohkio226h,Ang Mo Kio Street 22 Blk 226H ,435,,,en,[], 
1,6959,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/YCyBTiNwEpm1_a1houseofclaypot_sf.jpg,A1 House Of Claypot,71,,01-02,0,,,a1houseofclaypot,,1,435,,72,12,1,72,2020-10-26T04:10:41.000Z,2022-01-17T20:04:55.000Z,"[{'Name': 'Claypot', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/YCyBTiNwEpm1_a1houseofclaypot_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Claypot'],False,angmohkio226h,Ang Mo Kio Street 22 Blk 226H ,435,,,en,[], 
2,6960,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/0QrjByGWSLMs_lifaji_sf.jpg,Li Fa Ji,72,,01-03,0,,,lifaji,,1,435,,70,3,0,70,2020-10-26T04:10:42.000Z,2021-11-08T16:13:50.000Z,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/0QrjByGWSLMs_lifaji_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Carrot Cake', 'Oyster Omelette']",False,angmohkio226h,Ang Mo Kio Street 22 Blk 226H ,435,,,en,[], 
3,6961,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/kCbM8nrUogj2_jiaxiangjingqin _sf.jpg,Jia Xiang Jing Qin Mixed Rice,72,,01-04,0,,,jiaxiangjingqin,,1,435,,81,2,0,81,2020-10-26T04:10:42.000Z,2021-11-08T16:13:50.000Z,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/kCbM8nrUogj2_jiaxiangjingqin%20_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Economy Rice'],False,angmohkio226h,Ang Mo Kio Street 22 Blk 226H ,435,,,en,[], 
4,6962,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/hockkee_sf.jpg,Hock Kee Wanton Noodle,68,,01-05,0,,,hockkee,,1,435,,74,0,0,74,2020-10-26T04:10:42.000Z,2021-12-20T15:46:30.000Z,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/hockkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Wanton Mee'],False,angmohkio226h,Ang Mo Kio Street 22 Blk 226H ,435,,,en,[], 
5,6963,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/wangxiangchashi_sf.jpg,Wang Xiang Cha Shi,0,,01-06,0,,,wangxiangchashi,,1,435,,0,4,0,77,2020-10-26T04:10:42.000Z,2021-10-14T02:52:20.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/wangxiangchashi_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']",False,angmohkio226h,Ang Mo Kio Street 22 Blk 226H ,435,,,en,[], 
6,6964,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/seletarshengmian_sf.jpg,Seletar Sheng Mian Mian Fen Guo,68,,01-07,0,,,seletarshengmian,,1,435,"Sat - Thu: 5.30am-2pm, Closed on Fri",72,0,0,0,2020-10-26T04:10:42.000Z,2021-10-14T02:52:21.000Z,"[{'Name': 'Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/seletarshengmian_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",[],False,angmohkio226h,Ang Mo Kio Street 22 Blk 226H ,435,,,en,[], 
7,6965,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/vKanaM8idwSm_bonelesschickenrice_sf.jpg,Boneless Chicken Rice,71,,01-08,0,,,bonelesschickenrice,,1,435,Mon - Sun: 9am-7pm,0,2,0,73,2020-10-26T04:10:42.000Z,2021-11-08T16:13:50.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/vKanaM8idwSm_bonelesschickenrice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,angmohkio226h,Ang Mo Kio Street 22 Blk 226H ,435,,,en,[], 
8,6966,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/iEAqIGdwnHV7_jirongvegetarian_sf.jpg,Ji Rong Vegetarian,74,,01-09,0,,,jirongvegetarian,,1,435,,0,3,0,74,2020-10-26T04:10:42.000Z,2021-10-14T02:52:21.000Z,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/iEAqIGdwnHV7_jirongvegetarian_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian'],False,angmohkio226h,Ang Mo Kio Street 22 Blk 226H ,435,,,en,[], 
9,6967,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/chyekee_sf.jpg,Chye Kee Hainanese Chicken Rice,72,,01-10,0,,,chyekee,,1,435,"Tue - Sun: 8am-7pm, Closed on Mon",0,6,1,76,2020-10-26T04:10:42.000Z,2021-10-14T02:52:22.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 226H Ang Mo Kio Street 22 - 29 stalls/chyekee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,angmohkio226h,Ang Mo Kio Street 22 Blk 226H ,435,,,en,[], 
