,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,8651,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/uGhLf3lgLnml_originalnasilemakatok_sf.jpg,Original Nasi Lemak Atok,73,,01-01,0,,,originalnasilemakatok,,1,421,,74,0,1,0,2020-10-26T04:13:05.000Z,2021-10-14T03:02:19.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/uGhLf3lgLnml_originalnasilemakatok_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak'],False,angmokio160,Ang Mo Kio Ave 4 Blks 160/162,421,,,en,[], 
1,8652,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/MNkvvf7K6sZ1_sriayampenyet_sf.jpg,Sri Ayam Penyet,66,,01-02,0,,,sriayampenyet,,1,421,,0,2,1,70,2020-10-26T04:13:05.000Z,2021-12-20T15:46:32.000Z,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/MNkvvf7K6sZ1_sriayampenyet_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Lontong']",False,angmokio160,Ang Mo Kio Ave 4 Blks 160/162,421,,,en,[], 
2,8653,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/iyVytPTREK7B_ahxiang_sf.jpg,Ah Xiang Yong Tau Foo,67,,01-03,0,,,ahxiang,,1,421,,0,3,0,73,2020-10-26T04:13:06.000Z,2022-01-17T20:04:57.000Z,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/iyVytPTREK7B_ahxiang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Yong Tau Foo'],False,angmokio160,Ang Mo Kio Ave 4 Blks 160/162,421,,,en,[], 
3,8654,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/QD0vdci2aHtm_zhenming_sf.jpg,Zhen Ming Pork Ribs Prawn Noodle,79,,01-04,0,,,zhenming,,1,421,,67,0,1,0,2020-10-26T04:13:06.000Z,2021-10-14T03:02:20.000Z,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/QD0vdci2aHtm_zhenming_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Lor Mee']",False,angmokio160,Ang Mo Kio Ave 4 Blks 160/162,421,,,en,[], 
4,8655,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 160-162 Ang Mo Kio Ave 4 - 40 stalls/delisnacks_sf.jpg,Delisnacks,76,,01-05,0,,,delisnacks,,1,421,,0,3,1,80,2020-10-26T04:13:06.000Z,2021-11-08T16:13:23.000Z,"[{'Name': 'Hum Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 160-162 Ang Mo Kio Ave 4 - 40 stalls/delisnacks_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao'],False,angmokio160,Ang Mo Kio Ave 4 Blks 160/162,421,,,en,[], 
5,8656,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/U1q9gCegCCQY_3sisterprawnnoodle_sf.jpg,3 Sister Prawn Noodle,68,,01-06,0,,,3sisterprawnnoodle,,1,421,,0,2,0,84,2020-10-26T04:13:06.000Z,2021-11-08T16:13:23.000Z,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/U1q9gCegCCQY_3sisterprawnnoodle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles'],False,angmokio160,Ang Mo Kio Ave 4 Blks 160/162,421,,,en,[], 
6,8657,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/sdmNp7Saf4rq_zijilai_sf.jpg,Zi Ji Lai Mushroom Meat Noodle,68,,01-07,0,,,zijilai,,1,421,,67,1,1,67,2020-10-26T04:13:06.000Z,2021-11-08T16:13:23.000Z,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/sdmNp7Saf4rq_zijilai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Bak Chor Mee']",False,angmokio160,Ang Mo Kio Ave 4 Blks 160/162,421,,,en,[], 
7,8658,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 160-162 Ang Mo Kio Ave 4 - 40 stalls/sanskitchen_sf.jpg,San's Kitchen Indian Cuisine,68,,01-08,0,,,sanskitchen,,1,421,,72,1,1,72,2020-10-26T04:13:06.000Z,2021-11-08T16:13:23.000Z,"[{'Name': 'Indian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 160-162 Ang Mo Kio Ave 4 - 40 stalls/sanskitchen_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Indian'],False,angmokio160,Ang Mo Kio Ave 4 Blks 160/162,421,,,en,[], 
8,8659,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/p8NeZgh8Mkjn_yazhishipin_sf.jpg,Ya Zhi Shi Pin,70,,01-10,0,,,yazhishipin,,1,421,,70,2,0,70,2020-10-26T04:13:06.000Z,2022-01-17T20:04:57.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/p8NeZgh8Mkjn_yazhishipin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Economy Bee Hoon']",False,angmokio160,Ang Mo Kio Ave 4 Blks 160/162,421,,,en,[], 
9,8660,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/iq9cfc6C8MBN_mandarinhainanchickenrice_sf.jpg,Mandarin Hainan Chicken Rice,70,,01-11,0,,,mandarinhainanchickenrice,,1,421,,0,2,0,70,2020-10-26T04:13:06.000Z,2021-11-08T16:13:55.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/iq9cfc6C8MBN_mandarinhainanchickenrice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,angmokio160,Ang Mo Kio Ave 4 Blks 160/162,421,,,en,[], 
