,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8651,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/uGhLf3lgLnml_originalnasilemakatok_sf.jpg,Original Nasi Lemak Atok,73,Ang Mo Kio Ave 4 Blks 160/162,01-01,,,74,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/uGhLf3lgLnml_originalnasilemakatok_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak']
1,8652,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/MNkvvf7K6sZ1_sriayampenyet_sf.jpg,Sri Ayam Penyet,66,Ang Mo Kio Ave 4 Blks 160/162,01-02,,,0,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/MNkvvf7K6sZ1_sriayampenyet_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Lontong']"
2,8653,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/iyVytPTREK7B_ahxiang_sf.jpg,Ah Xiang Yong Tau Foo,67,Ang Mo Kio Ave 4 Blks 160/162,01-03,,,0,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/iyVytPTREK7B_ahxiang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Yong Tau Foo']
3,8654,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/QD0vdci2aHtm_zhenming_sf.jpg,Zhen Ming Pork Ribs Prawn Noodle,79,Ang Mo Kio Ave 4 Blks 160/162,01-04,,,67,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/QD0vdci2aHtm_zhenming_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Lor Mee']"
4,8655,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 160-162 Ang Mo Kio Ave 4 - 40 stalls/delisnacks_sf.jpg,Delisnacks,76,Ang Mo Kio Ave 4 Blks 160/162,01-05,,,0,"[{'Name': 'Hum Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 160-162 Ang Mo Kio Ave 4 - 40 stalls/delisnacks_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao']
5,8656,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/U1q9gCegCCQY_3sisterprawnnoodle_sf.jpg,3 Sister Prawn Noodle,68,Ang Mo Kio Ave 4 Blks 160/162,01-06,,,0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/U1q9gCegCCQY_3sisterprawnnoodle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
6,8657,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/sdmNp7Saf4rq_zijilai_sf.jpg,Zi Ji Lai Mushroom Meat Noodle,68,Ang Mo Kio Ave 4 Blks 160/162,01-07,,,67,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/sdmNp7Saf4rq_zijilai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Bak Chor Mee']"
7,8658,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 160-162 Ang Mo Kio Ave 4 - 40 stalls/sanskitchen_sf.jpg,San's Kitchen Indian Cuisine,68,Ang Mo Kio Ave 4 Blks 160/162,01-08,,,72,"[{'Name': 'Indian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 160-162 Ang Mo Kio Ave 4 - 40 stalls/sanskitchen_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Indian']
8,8659,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/p8NeZgh8Mkjn_yazhishipin_sf.jpg,Ya Zhi Shi Pin,70,Ang Mo Kio Ave 4 Blks 160/162,01-10,,,70,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/p8NeZgh8Mkjn_yazhishipin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Economy Bee Hoon']"
9,8660,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/iq9cfc6C8MBN_mandarinhainanchickenrice_sf.jpg,Mandarin Hainan Chicken Rice,70,Ang Mo Kio Ave 4 Blks 160/162,01-11,,,0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/iq9cfc6C8MBN_mandarinhainanchickenrice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
