,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,7133,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210812/GRMlGNGbS5ZD_Hock Heng Delights @ Teck Ghee FC.jpeg,Hock Heng Delights,65,,01-01,0,,,hockheng,,1,443,"Mon - Sun: 10am-2pm, 5pm-10pm",68.0,2,0,68,2020-10-26T04:10:56.000Z,2021-10-14T02:52:55.000Z,"[{'Name': 'Fish Head Curry', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210615/z8Cjxvd8CGYd_49j7Ol3uadXh_stallfront%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210615/IM16s4T9OK7Y_QSW4ClleOQYM_full%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210615/Qitca45iVXeh_wPVquaq2UEUQ_asam%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210615/HzVJjCx8A42z_DeBq1Zi6ZThp_beehoon%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fish Head Curry'],False,angmokio341,Ang Mo Kio Ave 1 Blk 341,443,,,en,[], 
1,7134,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ydfm60ELOxtC_sweehenghillview_sf.jpg,Swee Heng Hillview Steam Food,68,,01-02,0,,,sweehenghillview,,1,443,"Wed - Mon: 5.45am-10.30pm, Closed on Tue",83.0,10,0,83,2020-10-26T04:10:56.000Z,2022-01-17T20:04:55.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ydfm60ELOxtC_sweehenghillview_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Nasi Lemak']",False,angmokio341,Ang Mo Kio Ave 1 Blk 341,443,,,en,[], 
2,7135,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/yuanwei_sf.jpg,Yuan Wei Sha Bo Xiao Shi,65,,01-03,0,,,yuanwei,,1,443,Mon - Sun: 5am-5pm,0.0,9,1,79,2020-10-26T04:10:56.000Z,2022-01-17T20:04:55.000Z,"[{'Name': 'Claypot Dishes', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/yuanwei_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Claypot'],False,angmokio341,Ang Mo Kio Ave 1 Blk 341,443,,,en,[], 
3,7136,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/yongji_sf.jpg,Yong Ji Rou Gu Cha,75,,01-04,0,,,yongji,,1,443,"Tue- Sun: 10am-3pm, Closed on Mon",71.0,1,1,71,2020-10-26T04:10:57.000Z,2021-11-08T16:13:51.000Z,"[{'Name': 'Bak Kut Teh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/yongji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Bak Kut Teh'],False,angmokio341,Ang Mo Kio Ave 1 Blk 341,443,,,en,[], 
4,7137,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/bMRK0jQ17eW3_ommanipadmehum_sf.jpg,Vegetarian Food Om Mani Padme Hum,68,,01-05,0,,,ommanipadmehum,,1,443,"Mon - Sun: 7am-1.30pm, 3.30pm-8pm",0.0,0,1,78,2020-10-26T04:10:57.000Z,2021-11-08T16:13:51.000Z,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/bMRK0jQ17eW3_ommanipadmehum_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian'],False,angmokio341,Ang Mo Kio Ave 1 Blk 341,443,,,en,[], 
5,7138,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/2a9cJUvg9SJG_yongcoffeeteahouse_sf.jpg,Yong Coffee Tea House,0,,01-06,0,,,yongcoffeeteahouse,,1,443,Mon - Sun: 3am-3pm,69.0,3,0,69,2020-10-26T04:10:57.000Z,2022-01-17T20:04:55.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/2a9cJUvg9SJG_yongcoffeeteahouse_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,angmokio341,Ang Mo Kio Ave 1 Blk 341,443,,,en,[], 
6,7139,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/hupsenghuat_sf.jpg,Hup Seng Huat Cooked Food,68,,01-07,0,,,hupsenghuat,,1,443,"Sat - Thu: 7.30am-2pm, Closed on Fri",0.0,1,0,77,2020-10-26T04:10:57.000Z,2021-12-20T15:46:30.000Z,"[{'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/hupsenghuat_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Laksa', 'Minced Meat Noodles', 'Bak Chor Mee']",False,angmokio341,Ang Mo Kio Ave 1 Blk 341,443,,,en,[], 
7,7140,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/341cookedfood_sf.jpg,341 Cooked Food,71,,01-08,0,,,341cookedfood,,1,443,,66.0,3,1,66,2020-10-26T04:10:57.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/341cookedfood_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Mee Siam', 'Lor Mee']",False,angmokio341,Ang Mo Kio Ave 1 Blk 341,443,,,en,[], 
8,7141,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/engkee_sf.jpg,Eng Kee,72,,01-09,0,,,engkee,,1,443,Mon - Sun: 8am-3pm,75.0,0,0,75,2020-10-26T04:10:57.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/engkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Prawn Noodles']",False,angmokio341,Ang Mo Kio Ave 1 Blk 341,443,,,en,[], 
9,7142,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/boontongkee_sf.jpg,Boon Tong Kee Kway Chap Braised Duck,68,,01-10,0,,,boontongkee,,1,443,,81.0,2,0,81,2020-10-26T04:10:57.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Kway Chap', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 341 Ang Mo Kio Ave 1 - 32 stalls/boontongkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Kway Chap', 'Braised Meat & Duck']",False,angmokio341,Ang Mo Kio Ave 1 Blk 341,443,,,en,[], 
10,7143,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/DhhVzzyWf0qO_songseng_sf.jpg,Soon Seng Coffee Stall,0,,01-11,0,,,songseng,,1,443,Mon - Sun: 7am-2pm,0.0,2,0,76,2020-10-26T04:10:57.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/DhhVzzyWf0qO_songseng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,angmokio341,Ang Mo Kio Ave 1 Blk 341,443,,,en,[], 
11,7144,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/007fdyEUmDRk_friedkwayteowfriedoystercarrotcake_sf.jpg,Fried Kway Teow Fried Oyster Carrot Cake,71,,01-12,0,,,friedkwayteowfriedoystercarrotcake,,1,443,Mon - Sun: 6am-9pm,0.0,3,0,74,2020-10-26T04:10:57.000Z,2022-01-17T20:04:55.000Z,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/007fdyEUmDRk_friedkwayteowfriedoystercarrotcake_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Char Kway Teow', 'Carrot Cake']",False,angmokio341,Ang Mo Kio Ave 1 Blk 341,443,,,en,[], 
